Chìchi tö Po'tak kuèke̠	Kë̀ chìchi é̠n a̠ Po'tak kua'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö Po'tak kuè	Kë̀ chìchi tö Po'tak kue	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kàsir të' ye' tö i sík	Ye' kë̀ ku̠ kàsir tö́k ye' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' dör àrros tó̠ ñè̠ ye' tö i sík	Ye' kë̀ ku̠'bak àrros ta̠ú̠k ñè̠ ye' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG
Ye' tso kàsir tö́k	Ye' tö kàsir tèmi̠	TENSE:FUT_POT;ASPECT:IPFV
Kë̀ ye' dör àrros ta̠u̠k ñè̠	Kë̀ àrros to̠r ñè̠	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;PERSON:NA
Be' e̠' tkére	Be' e̠' tkö́rö	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;PERSON:2_SI
Be' dör ye' tsí bémi̠	Be' dör ye' tsí bémi̠	NOCHANGE
Kë̀ ye' shkàne̠	Kë̀ shkàrku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Po'tak kö̀r	Kë̀ Po'tak kuwar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID
A' tso i skö́k	Ie' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_SI
Be' dör ye' tsí bé	Kë̀ be' dör ye' tsí biök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Po'tak kö̀na̠	Kë̀ Po'tak kö̀nu̠k	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV;VOICE:MID
Ye' tsí bìr	Kë̀ ye' tsí biar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;PERSON:NA
Ye' tö i skè	Ie' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:3_SI
