Ie' tö i shkè̠wè̠ke	Ie' tö i shkè̠wè̠ke	NOCHANGE
E' shù̠ a̠ ie'pa wa̠ shka̠lá̠ mí̠rwa̠	E' shù̠ a̠ ie'pa wa̠ shka̠lá̠ mí̠rwa̠	NOCHANGE
Ye'r e'köl	Ye'r e'köl	NOCHANGE
Kiè ë́ltë e̠na̠ tté shtáwo̠k	Kiè ë́ltë e̠na̠ tté shtáwo̠k	NOCHANGE
Be' tö i katèke	Be' tö i katèke	NOCHANGE
I dátsi̠ke cha	I dátsi̠ke cha	NOCHANGE
Dabòm tkë́yök	Dabòm tkë́yök	NOCHANGE
Be' shkö̀ke	Be' shkö̀ke	NOCHANGE
Ye' é̠n be' dawö' ie irir	Ye' é̠n be' dawö' ie irir	NOCHANGE
Ye' wa̠ ù ta̠'	Ye' wa̠ ù ta̠'	NOCHANGE
Kàsir se' tsiríwè̠ke̠ wa	Kàsir se' tsiríwè̠ke̠ wa	NOCHANGE
Ma̠ e's i yawèke̠	Ma̠ e's i yawèke̠	NOCHANGE
E' dalö̀ ta̠ e' a̠ ie' rö íyi a̠mé̠a̠t e' dalö̀ ta̠	E' dalö̀ ta̠ e' a̠ ie' rö íyi a̠mé̠a̠t e' dalö̀ ta̠	NOCHANGE
Ye' tö i ppèke	Ye' tö i ppèke	NOCHANGE
Kaë̀ chkàla wë́rke̠ ta̠ e' mi̠'ke̠	Kaë̀ chkàla wë́rke̠ ta̠ e' mi̠'ke̠	NOCHANGE
Kë̀ be' é̠u̠k e's!	Kë̀ be' é̠u̠k e's!	NOCHANGE
Të́shtesh	Të́shtesh	NOCHANGE
Ie' tö i tèke	Ie' tö i tèke	NOCHANGE
Ye'r i kít	Ye'r i kít	NOCHANGE
Ajá e' ku̠é̠ki̠ kë̀ ie'pa i kuke	Ajá e' ku̠é̠ki̠ kë̀ ie'pa i kuke	NOCHANGE
Ye'r i paa'	Ye'r i paa'	NOCHANGE
Namù̠ tú̠n kö̀tkkö̀tk	Namù̠ tú̠n kö̀tkkö̀tk	NOCHANGE
E' ká̠ mí̠tkene̠ báne̠t	E' ká̠ mí̠tkene̠ báne̠t	NOCHANGE
Ie' tö i tkè	Ie' tö i tkè	NOCHANGE
Ma̠ i kuátkök	Ma̠ i kuátkök	NOCHANGE
Dabòm èyök kí̠ èköl	Dabòm èyök kí̠ èköl	NOCHANGE
Ie' tö i alè	Ie' tö i alè	NOCHANGE
Ie' tö i kínè̠	Ie' tö i kínè̠	NOCHANGE
Ye' kë̀ bák ujtö́k	Ye' kë̀ bák ujtö́k	NOCHANGE
Yèri na̠i̠' sú̠rku̠	Yèri na̠i̠' sú̠rku̠	NOCHANGE
I klö̀	I klö̀	NOCHANGE
Be' shakö bétbet!	Be' shakö bétbet!	NOCHANGE
Ie' déne̠ i dawö' a̠ i chö́k tö à! dawö'	Ie' déne̠ i dawö' a̠ i chö́k tö à! dawö'	NOCHANGE
Ye'r i bík	Ye'r i bík	NOCHANGE
Ye'r i ali'	Ye'r i ali'	NOCHANGE
Mí̠shka balo' yök	Mí̠shka balo' yök	NOCHANGE
Ie' tö i shkè̠wè̠	Ie' tö i shkè̠wè̠	NOCHANGE
Kë̀ ie' kapé ta̠	Kë̀ ie' kapé ta̠	NOCHANGE
Aíjka ye' wö́kela sé̠rke̠	Aíjka ye' wö́kela sé̠rke̠	NOCHANGE
Juan dör kö̀chí mo̠'	Juan dör kö̀chí mo̠'	NOCHANGE
Ma̠'tk	Ma̠'tk	NOCHANGE
Ye' tö i batörè	Ye' tö i batörè	NOCHANGE
Ie' tö i shtèke	Ie' tö i shtèke	NOCHANGE
Ajkö́ e' shù̠ a̠ se' té̠rse̠ wé̠shke̠ ajkö̀ ma̠wé̠wa̠ bua' ie ie'pa rö	Ajkö́ e' shù̠ a̠ se' té̠rse̠ wé̠shke̠ ajkö̀ ma̠wé̠wa̠ bua' ie ie'pa rö	NOCHANGE
Ie' akuö̀	Ie' akuö̀	NOCHANGE
Ese' ichè irir	Ese' ichè irir	NOCHANGE
Ta̠ bua' i wö̀na̠	Ta̠ bua' i wö̀na̠	NOCHANGE
Wö́su̠k ta̠	Wö́su̠k ta̠	NOCHANGE
Be' ë́l sé̠rke̠ limón	Be' ë́l sé̠rke̠ limón	NOCHANGE
Ie' ttö̀ke	Ie' ttö̀ke	NOCHANGE
I shtö́	I shtö́	NOCHANGE
Ie' tö i wèke	Ie' tö i wèke	NOCHANGE
Ie' tsö̀ke	Ie' tsö̀ke	NOCHANGE
Ye' tö i kàchè	Ye' tö i kàchè	NOCHANGE
Ie' dawö' bité̠ a̠ ie' apàkök	Ie' dawö' bité̠ a̠ ie' apàkök	NOCHANGE
E' wa ie'pa i ujtèke̠	E' wa ie'pa i ujtèke̠	NOCHANGE
Pero e' dalë́r wa̠	Pero e' dalë́r wa̠	NOCHANGE
A̠wì̠ ák wé mé̠rka̠ e' kiè alòwe	A̠wì̠ ák wé mé̠rka̠ e' kiè alòwe	NOCHANGE
Ye' ka̠nè̠balö̀ke	Ye' ka̠nè̠balö̀ke	NOCHANGE
I alö́	I alö́	NOCHANGE
Be' tsö̀	Be' tsö̀	NOCHANGE
Ma̠ñè̠k	Ma̠ñè̠k	NOCHANGE
Ajkö́kicha yö́k se' mi̠'ke̠	Ajkö́kicha yö́k se' mi̠'ke̠	NOCHANGE
U̠jú̠! e' ë̀me̠	U̠jú̠! e' ë̀me̠	NOCHANGE
Kàl ö i' e' talárke̠ ie' jkö̀ mi̠k	Kàl ö i' e' talárke̠ ie' jkö̀ mi̠k	NOCHANGE
Sa' tö klö́m akëwe̠	Sa' tö klö́m akëwe̠	NOCHANGE
Ie' tö i kuátkèke	Ie' tö i kuátkèke	NOCHANGE
Ye' kutà be' diö́köl mu̠é̠ka̠ ako̠' â̠mi̠k	Ye' kutà be' diö́köl mu̠é̠ka̠ ako̠' â̠mi̠k	NOCHANGE
Kérwala diàla tö́kla se' mí̠ dé dur ki̠la se' mí̠ dé dá kë̀ se'la	Kérwala diàla tö́kla se' mí̠ dé dur ki̠la se' mí̠ dé dá kë̀ se'la	NOCHANGE
Bétk bétk ë á̠jà̠ e' yë̀na̠	Bétk bétk ë á̠jà̠ e' yë̀na̠	NOCHANGE
E' rö se' icha wake'	E' rö se' icha wake'	NOCHANGE
Ie' tö i shtèke	Ie' tö i shtèke	NOCHANGE
Se' kë̀ wa̠ e' bitséitse̠ ta̠ wè̠s wè̠s se' wé̠ne̠ irir	Se' kë̀ wa̠ e' bitséitse̠ ta̠ wè̠s wè̠s se' wé̠ne̠ irir	NOCHANGE
Ù tkër di' á̠mi̠k	Ù tkër di' á̠mi̠k	NOCHANGE
Be' akuö̀ke	Be' akuö̀ke	NOCHANGE
Uya' alö́ si̠a̠!	Uya' alö́ si̠a̠!	NOCHANGE
Ie' tö i tè	Ie' tö i tè	NOCHANGE
Kapö́li	Kapö́li	NOCHANGE
E' wa e' wë́m yèwadà irir wake'	E' wa e' wë́m yèwadà irir wake'	NOCHANGE
E' ku̠é̠ki̠ ie'r e' a̠mé̠a̠t	E' ku̠é̠ki̠ ie'r e' a̠mé̠a̠t	NOCHANGE
E̠' ie' dë'rö ye' tsú̠k e̠'rö	E̠' ie' dë'rö ye' tsú̠k e̠'rö	NOCHANGE
Kutàie irir wak kë̀ ye' i tsiríwe̠	Kutàie irir wak kë̀ ye' i tsiríwe̠	NOCHANGE
Aë̀ tso' sulìta̠ne̠ wa̠	Aë̀ tso' sulìta̠ne̠ wa̠	NOCHANGE
Be' kó̠pàkö̀ke	Be' kó̠pàkö̀ke	NOCHANGE
Dù ñe̠'	Dù ñe̠'	NOCHANGE
Be' tö i à̠ritsèke	Be' tö i à̠ritsèke	NOCHANGE
Kë̀ íyi wàta̠wè̠	Kë̀ íyi wàta̠wè̠	NOCHANGE
E' shkö̀ke̠ mì̠ka̠ i wa̠ se' mì̠tke̠ ta̠ e' shkö̀ke̠ ë̀me̠	E' shkö̀ke̠ mì̠ka̠ i wa̠ se' mì̠tke̠ ta̠ e' shkö̀ke̠ ë̀me̠	NOCHANGE
Ie' é̠rke	Ie' é̠rke	NOCHANGE
Ye' tö i shkè̠wè̠ke	Ye' tö i shkè̠wè̠ke	NOCHANGE
Ye' kó̠pàkö̀ke	Ye' kó̠pàkö̀ke	NOCHANGE
Be' tö i kuèke	Be' tö i kuèke	NOCHANGE
Ie' tsë̀r	Ie' tsë̀r	NOCHANGE
Ma̠ ye' e's ma̠ kabë̀ ichàke tö wè̠s ma̠ balo' ma̠ wèke̠	Ma̠ ye' e's ma̠ kabë̀ ichàke tö wè̠s ma̠ balo' ma̠ wèke̠	NOCHANGE
Buáala	Buáala	NOCHANGE
A̠lò̠chka e' kë̀ yawè í̠e̠	A̠lò̠chka e' kë̀ yawè í̠e̠	NOCHANGE
Tsiru'	Tsiru'	NOCHANGE
Ye' tö i tkèke	Ye' tö i tkèke	NOCHANGE
Sö ichö̀ i wö̀ wö̀ shlë́wöla	Sö ichö̀ i wö̀ wö̀ shlë́wöla	NOCHANGE
Dawás èk	Dawás èk	NOCHANGE
E's ie' e's ie' se' ujtèke̠wa̠	E's ie' e's ie' se' ujtèke̠wa̠	NOCHANGE
Pero e'r ká̠ i̠â̠i̠â̠ë	Pero e'r ká̠ i̠â̠i̠â̠ë	NOCHANGE
Ttö̀ chèke kö̀kokö̀ko	Ttö̀ chèke kö̀kokö̀ko	NOCHANGE
Ie' i yulö'	Ie' i yulö'	NOCHANGE
Ma̠ se' tö i kiè e̠ma̠ dlásháwö	Ma̠ se' tö i kiè e̠ma̠ dlásháwö	NOCHANGE
Ie' shkö̀ka̠	Ie' shkö̀ka̠	NOCHANGE
Ye' alà ujtó	Ye' alà ujtó	NOCHANGE
Be' tö i kèke	Be' tö i kèke	NOCHANGE
