Ye' tö i sík ye' dör àrros tó̠ ñè̠	Ye' kë̀ ku̠ i skö́k ye' kë̀ ku̠ àrros ta̠ú̠k ñè̠	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Kë̀ ye' tö kàsir tök	Kë̀ ye' tö kàsir tök	NOCHANGE
Ie' dúwa̠ ye' dör àrros tó̠ ñè̠	Ie' dawö̀râwa̠ ye' dör àrros ta̠wè̠râ ñè̠	TENSE:FUT_CER;ASPECT:IPFV
Ie' dawö̀râwa̠	Ie' dawö̀râwa̠	NOCHANGE
Wë́m dur stsö́k ye' tö kàsir të'	Wë́m kë̀ ku̠ dur stsö́k ye' kë̀ wa̠ kàsir të̀ne̠	TYPE:NEG
Ye' tö shkame̠' yö'	Ye' tö shkame̠' yö'	NOCHANGE
Ye' tö kàsir té	Ye' tö kàsir té	NOCHANGE
Be' dör ye' tsí bi' ye' út	Be' tso ye' tsí biö́k ye' tso ujtö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Be' dör ye' tsí biö́!	Be' dör ye' tsí biö́!	NOCHANGE
Ye' shka' ye' tö kàsir të'	Kë̀ ye' shkàne̠ ye' kë̀ wa̠ kàsir të̀ne̠	TYPE:NEG
Wë́m kë̀ ku̠'bak dur stsö́k	Wë́m kë̀ ku̠'bak dur stsö́k	NOCHANGE
Be' dör ye' tsí bi' ye' shka'	Kë̀ be' dör ye' tsí bie kë̀ ye' shkö	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kàsir të' chìchi tö po'tak kö'	Ye' tö kàsir témi̠ chìchi tö po'tak kuémi̠	TENSE:PRF_REC;ASPECT:INC
Ye' shkö̀	Ye' shkö̀	NOCHANGE
Sa' kë̀ ku̠'bak shkö́k	Sa' kë̀ ku̠'bak shkö́k	NOCHANGE
Ye' tö kàsir të' chìchi tö po'tak kö'	Ye' kë̀ ku̠ kàsir tö́k chìchi kë̀ ku̠ po'tak kuö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' tö kàsir të' ie' tö bö' yë'stsa̠	Ye' tö kàsir té ie' tö bö' yéstsa̠	TENSE:PRF_REC
Chìchi é̠n a̠ Po'tak kua'ku̠	Chìchi é̠n a̠ Po'tak kua'ku̠	NOCHANGE
Ye' shka' ie' dúwa̠	Ye' shkö̀ke̠ ie' dawö̀kè̠wa̠	TENSE:IPFV_HAB;ASPECT:IPFV
Chìchi tö po'tak kö' ie' dúwa̠	Kë̀ chìchi tö po'tak kuèpa kë̀ ie' dawö̀pawa̠	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' út ye' tö kàsir të'	Ye' tso ujtö́k ye' tso kàsir tö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' dör àrros tó̠ ñè̠ ye' tö kàsir të'	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠ ye' kë̀ wa̠ kàsir të̀ne̠	TYPE:NEG
Ie' dúwa̠	Ie' dúwa̠	NOCHANGE
