Be' dör ye' tsí bi' chìchi tö po'tak kö'	Be' dör ye' tsí bièrâ chìchi tö po'tak kuèrâ	TENSE:FUT_CER;ASPECT:IPFV
Ye' tö kàsir të' be' dör ye' tsí bi'	Ye' tö kàsir témi̠ be' dör ye' tsí bémi̠	TENSE:PRF_REC;ASPECT:INC
Èe' dör rros tó̠ ñè̠	Èe' dör rros tó̠ ñè̠ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka' be' dör ye' tsí bi'	Kë̀ ye' shkàne̠ be' kë̀ wa̠ ye' tsí bìne̠	TYPE:NEG
Ye' wa̠ sawë́ chka katárule	Ye' wa̠ sawë́ chka katárule	NOCHANGE
Kë̀ àrros ta̠u̠k ñè̠	Kë̀ àrros ta̠u̠k ñè̠	NOCHANGE
Be' dör yee tsy bi'	Be' dör yee tsy bé	TENSE:PRF_REC
Ye' tö kùsir të'	Kë̀ ye' tö kùsir tëök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Wë́m kë̀ ku̠'bak dur stsö́k	Wë́m kë̀ ku̠'bak dur stsö́k	NOCHANGE
Buà dapárke kàl ulà ki̠	Buà dapárke kàl ulà ki̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠ ye' tö kàsir të'	Kë̀ àrros tò̠ne̠ ñè̠ kë̀ kàsir të̀ne̠	TYPE:NEG;TENSE:PRF_REC;VOICE:MID;PERSON:NA
Ye' e̠' tkë'rë	Ye' e̠' tkë'rë	NOCHANGE
Ye' bák àrros ta̠ú̠k ñè̠	Ye' bák àrros ta̠ú̠k ñè̠	NOCHANGE
Kë̀ ye' tsí bìrpa	Kë̀ ye' tsí bìrpa	NOCHANGE
Sa' tso i skö́k	Sa' tso i skö́k	NOCHANGE
Kë̀ àrros ta̠wè̠pa ñè̠	Kë̀ àrros ta̠wè̠pa ñè̠	NOCHANGE
Be' dör ye' tsí bi' ye' tö kàsir të'	Be' kë̀ wa̠ ye' tsí bìne̠ ye' kë̀ wa̠ kàsir të̀ne̠	TYPE:NEG
Ye' tö kàsir të' ye' shka'	Kë̀ ye' tö kàsir te kë̀ ye' shkö	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Be' dör ye' tsí bi' chìchi tö po'tak kö'	Kë̀ be' dör ye' tsí bie kë̀ chìchi tö po'tak kue	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shka' ye' tö i sík	Ye' tso shkö́k ye' tso i skö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' tsí bìrmi̠	Ye' tsí bìrmi̠	NOCHANGE
Ye' tö i sík	Ye' tö i sík	NOCHANGE
Ye' tö k!iàn eë'	Ye' bák k!iàn eö́k	TENSE:PRF_PROG
Chìchi tö po'tak kö' be' dör ye' tsí bi'	Chìchi tö po'tak kuèmi̠ be' dör ye' tsí bièmi̠	TENSE:FUT_POT;ASPECT:IPFV
Ye' shka' chìchi tö po'tak kö'	Ye' shkö̀ke̠ chìchi tö po'tak kuèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Be' dör ye' tsí bi' ye' tö kàsir të'	Kë̀ ye' tsí biar kë̀ kàsir tar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;PERSON:NA
Ye' dör àrros tó̠ ñè̠ chìchi tö po'tak kö'	Ye' kë̀ wa̠ àrros tó̠rule ñè̠ chìchi kë̀ wa̠ po'tak kö́rule	TYPE:NEG;TENSE:PAS_PLU
Ye' shkö̀râ	Ye' shkö̀râ	NOCHANGE
Óhìcki tö po'nak kö'	Kë̀ óhìcki a̠ po'nak kö́r	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' dör àrros tó̠ ñè̠ be' dör ye' tsí bi'	Ye' kë̀ wa̠ àrros tò̠ne̠ ñè̠ be' kë̀ wa̠ ye' tsí bìne̠	TYPE:NEG
Ye' tö kàsir të'	Ye' tö kàsir të'	NOCHANGE
Be' dör ye' tsí bièrâ	Be' dör ye' tsí bièrâ	NOCHANGE
Be' dör ye' tsí bi' ye' tö kàsir të'	Be' wa̠ ye' tsí bírule ye' wa̠ kàsir të́rule	TENSE:PAS_PLU
Ye' dör àrros ta̠wè̠mi̠ ñè̠	Ye' dör àrros ta̠wè̠mi̠ ñè̠	NOCHANGE
Ie'pa kë̀ ku̠'bak i skö́k	Ie'pa kë̀ ku̠'bak i skö́k	NOCHANGE
Chìchi tö po'tak kö' be' dör ye' tsí bi'	Kë̀ chìchi a̠ po'tak kö́r kë̀ be' a̠ ye' tsí bír	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Wë́m dur stsö́k buà me̠r kàl ulà ki̠	Wë́m kë̀ ku̠ dur stsö́k buà kë̀ ku̠ me̠r kàl ulà ki̠	TYPE:NEG
Buà me̠r kàl ulà ki̠ ye' shka'	Buà kë̀ ku̠ me̠r kàl ulà ki̠ kë̀ ye' shkàne̠	TYPE:NEG
Ie' kë̀ ku̠ i skö́k	Ie' kë̀ ku̠ i skö́k	NOCHANGE
Ye' diö́köl bàtsul ako̠' a̠'mi̠k	Ye' diö́köl bàtsul ako̠' a̠'mi̠k	NOCHANGE
