Source	Target	Change
Ye' tö i kíme̠'	Ye' tö i kíme̠'	NOCHANGE
Kàsir tö́	Kàsir tö́	NOCHANGE
Ye' tsí bìrdâ	Ye' tsí bìrdâ	NOCHANGE
Ie'pa tö bö' yë'stsa̠	Ie'pa tö bö' yë'stsa̠	NOCHANGE
Kë̀ àrros ta̠wa̠r ñè̠	Kë̀ àrros ta̠wa̠r ñè̠	NOCHANGE
Kë̀ ye' dör àrros ta̠wè̠pa ñè̠	Kë̀ ye' dör àrros ta̠wè̠pa ñè̠	NOCHANGE
Ie'pa tö bö' yéulur	Ie'pa tö bö' yéulur	NOCHANGE
Ye' tsí bìr	Ye' tsí bìr	NOCHANGE
Kë̀ ye' shkö̀pa	Kë̀ ye' shkö̀pa	NOCHANGE
Kë̀ shkàr	Kë̀ shkàr	NOCHANGE
Be' kë̀ ku̠ ye' tsí biö́k	Be' kë̀ ku̠ ye' tsí biö́k	NOCHANGE
Ie' bák dawö́kwa̠	Ie' bák dawö́kwa̠	NOCHANGE
Be' kë̀ ku̠'bak i skö́k	Be' kë̀ ku̠'bak i skö́k	NOCHANGE
Ye' tö i kimè̠	Ye' tö i kimè̠	NOCHANGE
Kë̀ chìchi é̠n a̠ Po'tak kua'ku̠	Kë̀ chìchi é̠n a̠ Po'tak kua'ku̠	NOCHANGE
Ye' tö kàsir të'mi̠	Ye' tö kàsir të'mi̠	NOCHANGE
Chìchi tö Po'tak kuèmi̠	Chìchi tö Po'tak kuèmi̠	NOCHANGE
Ye' bák kàsir tö́k	Ye' bák kàsir tö́k	NOCHANGE
Ye' e̠' tkö̀rö	Ye' e̠' tkö̀rö	NOCHANGE
Ye' kë̀ wa̠ kàsir të̀ne̠	Ye' kë̀ wa̠ kàsir të̀ne̠	NOCHANGE
Ye' kë̀ ku̠'bak i skö́k	Ye' kë̀ ku̠'bak i skö́k	NOCHANGE
Kë̀ àrros ta̠wè̠ku̠ ñè̠	Kë̀ àrros ta̠wè̠ku̠ ñè̠	NOCHANGE
Ie'pa út	Ie'pa út	NOCHANGE
Kàsir tö̀ sö	Kàsir tö̀ sö	NOCHANGE
Chìchi wa̠ Po'tak kö́rule	Chìchi wa̠ Po'tak kö́rule	NOCHANGE
Wë́m kë̀ ku̠'bak dur stsö́k	Wë́m kë̀ ku̠'bak dur stsö́k	NOCHANGE
Chìchi tö Po'tak kuèrâ	Chìchi tö Po'tak kuèrâ	NOCHANGE
A' bák i skö́k	A' bák i skö́k	NOCHANGE
I wámbalë́rdâ	I wámbalë́rdâ	NOCHANGE
I síne̠	I síne̠	NOCHANGE
Ye' kë̀ ku̠ kàsir tö́k	Ye' kë̀ ku̠ kàsir tö́k	NOCHANGE
Kë̀ chìchi tö Po'tak kuök	Kë̀ chìchi tö Po'tak kuök	NOCHANGE
Àrros tò̠na̠ ñè̠	Àrros tò̠na̠ ñè̠	NOCHANGE
Wë́pa kë̀ ku̠ ië'te̠n stsö́k	Wë́pa kë̀ ku̠ ië'te̠n stsö́k	NOCHANGE
Alà tö ali' ñé̠	Alà tö ali' ñé̠	NOCHANGE
Buà kë̀ ku̠'bak me̠r kàl ulà ki̠	Buà kë̀ ku̠'bak me̠r kàl ulà ki̠	NOCHANGE
Po'tak kö̀ne̠	Po'tak kö̀ne̠	NOCHANGE
Ie' ujtó	Ie' ujtó	NOCHANGE
Be' dör ye' tsí bémi̠	Be' dör ye' tsí bémi̠	NOCHANGE
Ie'pa e̠' tkö̀rö	Ie'pa e̠' tkö̀rö	NOCHANGE
Kë̀ Po'tak kör	Kë̀ Po'tak kör	NOCHANGE
Chìchi tö Po'tak kué	Chìchi tö Po'tak kué	NOCHANGE
Kë̀ ie' ujto	Kë̀ ie' ujto	NOCHANGE
Be' wa̠ ye' tsí bírule	Be' wa̠ ye' tsí bírule	NOCHANGE
Àrros ta̠wè̠mi̠ ñè̠	Àrros ta̠wè̠mi̠ ñè̠	NOCHANGE
Ye' tö kàsir témi̠	Ye' tö kàsir témi̠	NOCHANGE
Ye' wa̠ kàsir të́rule	Ye' wa̠ kàsir të́rule	NOCHANGE
Be' kë̀ ku̠'bak ye' tsí biö́k	Be' kë̀ ku̠'bak ye' tsí biö́k	NOCHANGE
Kë̀ ye' tsí bìrku̠	Kë̀ ye' tsí bìrku̠	NOCHANGE
Àrros tò̠ne̠ ñè̠	Àrros tò̠ne̠ ñè̠	NOCHANGE
Ye' shkö̀	Ye' shkö̀	NOCHANGE
Ie' e̠' tkö̀rö	Ie' e̠' tkö̀rö	NOCHANGE
Kë̀ shkar	Kë̀ shkar	NOCHANGE
Po'tak kö̀rmi̠	Po'tak kö̀rmi̠	NOCHANGE
Ye' tö kàsir tèke̠	Ye' tö kàsir tèke̠	NOCHANGE
Ye' é̠n a̠ kàsir ta'ku̠	Ye' é̠n a̠ kàsir ta'ku̠	NOCHANGE
Ye' tö kàsir tè	Ye' tö kàsir tè	NOCHANGE
Chìchi wa̠ Po'tak kua'	Chìchi wa̠ Po'tak kua'	NOCHANGE
Ye' tö i kímè̠ke	Ye' tö i kímè̠ke	NOCHANGE
Ye' shka'mi̠	Ye' shka'mi̠	NOCHANGE
Buà bák dapárke kàl ulà ki̠	Buà bák dapárke kàl ulà ki̠	NOCHANGE
Se' bák i skö́k	Se' bák i skö́k	NOCHANGE
Ye' tsí biö̀ sö	Ye' tsí biö̀ sö	NOCHANGE
Kë̀ be' dör ye' tsí bièku̠	Kë̀ be' dör ye' tsí bièku̠	NOCHANGE
Ye' tö kàsir tèmi̠	Ye' tö kàsir tèmi̠	NOCHANGE
Ye' e̠' tkë'rë	Ye' e̠' tkë'rë	NOCHANGE
Buà bák me̠r kàl ulà ki̠	Buà bák me̠r kàl ulà ki̠	NOCHANGE
Ye' wa̠ àrros ta̠wa̠' ñè̠	Ye' wa̠ àrros ta̠wa̠' ñè̠	NOCHANGE
Buà dapárke kàl ulà ki̠	Buà dapárke kàl ulà ki̠	NOCHANGE
Chìchi kë̀ ku̠ Po'tak kuö́k	Chìchi kë̀ ku̠ Po'tak kuö́k	NOCHANGE
Àrros ta̠wè̠ke̠ ñè̠	Àrros ta̠wè̠ke̠ ñè̠	NOCHANGE
Be' út	Be' út	NOCHANGE
Kë̀ ye' tö kàsir te	Kë̀ ye' tö kàsir te	NOCHANGE
Be' tso i skö́k	Be' tso i skö́k	NOCHANGE
Ie' kë̀ ku̠'bak i skö́k	Ie' kë̀ ku̠'bak i skö́k	NOCHANGE
Ye' tö kàsir té	Ye' tö kàsir té	NOCHANGE
Kë̀ ye' shkö̀ku̠	Kë̀ ye' shkö̀ku̠	NOCHANGE
A' tso i skö́k	A' tso i skö́k	NOCHANGE
Kàsir të̀ne̠	Kàsir të̀ne̠	NOCHANGE
I wámbalë́r	I wámbalë́r	NOCHANGE
Kë̀ be' dör ye' tsí bie	Kë̀ be' dör ye' tsí bie	NOCHANGE
I sír	I sír	NOCHANGE
Be' e̠' tkö̀rö	Be' e̠' tkö̀rö	NOCHANGE
Chìchi tso Po'tak kuö́k	Chìchi tso Po'tak kuö́k	NOCHANGE
Chìchi tö Po'tak kö'	Chìchi tö Po'tak kö'	NOCHANGE
Kë̀ àrros ta̠wè̠pa ñè̠	Kë̀ àrros ta̠wè̠pa ñè̠	NOCHANGE
Ie'pa bák i skö́k	Ie'pa bák i skö́k	NOCHANGE
