Wë́m dur stsö́k ye' shka'	Wë́m kë̀ ku̠ dur stsö́k kë̀ ye' shkàne̠	TYPE:NEG
Ye' dör àrros tó̠ ñè̠ chìchi tö po'tak kö'	Ye' dör àrros ta̠wè̠ke̠ ñè̠ chìchi tö po'tak kuèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Be' tö i kímè̠ke	Be' tö i kímè̠ke	NOCHANGE
Ka̠nè̠o̠rule wa	Ka̠nè̠o̠rule wa	NOCHANGE
Ie' ttö̀	Ie' ttö̀	NOCHANGE
Buà me̠r kàl ulà ki̠ wë́m dur stsö́k	Buà kë̀ ku̠ me̠r kàl ulà ki̠ wë́m kë̀ ku̠ dur stsö́k	TYPE:NEG
Be' ala'r ta̠	Be' ala'r ta̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠ ye' shka'	Ye' a̠ àrros tó̠r ñè̠ ye' shkó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ukö̀ki̠ ta̠ mì̠ka̠ ye' dé bùsi	Ukö̀ki̠ ta̠ mì̠ka̠ ye' dé bùsi	NOCHANGE
Entonces ie' dë'rö ye' tsú̠k ye' ma̠nè̠ta̠	Entonces ie' dë'rö ye' tsú̠k ye' ma̠nè̠ta̠	NOCHANGE
Es' i' ke	Es' i' ke	NOCHANGE
Ie'pa mi̠kalè ta̠ ikuö̀ i tö̀ tèke̠	Ie'pa mi̠kalè ta̠ ikuö̀ i tö̀ tèke̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠ ye' tö kàsir të'	Ye' kë̀ ku̠'bak àrros ta̠ú̠k ñè̠ ye' kë̀ ku̠'bak kàsir tö́k	TYPE:NEG;TENSE:PRF_PROG
Ye'r iché	Ye'r iché	NOCHANGE
Ye' tö kàsir të' ye' dör àrros tó̠ ñè̠	Ye' bák kàsir tö́k ye' bák àrros ta̠ú̠k ñè̠	TENSE:PRF_PROG
Ye'r i ti̠ó̠	Ye'r i ti̠ó̠	NOCHANGE
