Be' dör ye' tsí biè	Kë̀ be' dör ye' tsí bièpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' shké	Ye' tso shkö́k	TENSE:IPFV_PROG;ASPECT:IPFV
Ye' shkö̀râ	Ye' kë̀ ku̠ shkö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye' shkö̀mi̠	Kë̀ shkàr	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ña̠ é̠n	Ña̠ é̠n	NOCHANGE
A' e̠' tkö̀rö	Ie'pa e̠' tkö̀rö	TENSE:IPFV_REC;ASPECT:IPFV;ABSNUM:PL;PERSON:3_PL
No ñe̠' be' ichè dalö̀ ie' tso' ie' dalö̀ mí̠k ie' ie'	No ñe̠' be' ichè dalö̀ ie' tso' ie' dalö̀ mí̠k ie' ie'	NOCHANGE
Ye' dör àrros ta̠wé̠ ñè̠	Àrros ta̠wè̠râ ñè̠	TENSE:FUT_CER;ASPECT:IPFV;VOICE:MID;PERSON:NA
Ye' bák i skö́k	Ye' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ie' e̠' tkö̀rö	Se' e̠' tkö̀rö	TENSE:IPFV_REC;ASPECT:IPFV;ABSNUM:PL;PERSON:1_PL_INC
Ye' tö i tèke	Ye' tö i tèke	NOCHANGE
Kë̀ chìchi tö Po'tak kuèpa	Kë̀ chìchi tö Po'tak kue	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Kë̀ ye' tö kàsir tök	Kë̀ kàsir të̀rpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV;VOICE:MID;PERSON:NA
Ye' bák àrros ta̠ú̠k ñè̠	Ye' tso àrros ta̠ú̠k ñè̠	TENSE:IPFV_PROG;ASPECT:IPFV
Be' kë̀ ku̠'bak ye' tsí biö́k	Kë̀ be' dör ye' tsí bièpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Ye' dör àrros ta̠wé̠ ñè̠	Ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tso Po'tak kuö́k	Chìchi tö Po'tak kuèmi̠	TENSE:FUT_POT;ASPECT:IPFV
Ye' tö kàsir té	Ye' tö kàsir tèrâ	TENSE:FUT_CER;ASPECT:IPFV
Ye' tso shkö́k	Be' shkö́	MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;PERSON:2_SI
Kë̀ àrros tò̠ne̠ ñè̠	Kë̀ àrros tò̠ne̠ ñè̠	TYPE:NEG;TENSE:PRF_REC;VOICE:MID;PERSON:NA
Chìchi tö Po'tak kuèmi̠	Chìchi a̠ Po'tak kö́r	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ie'pa bák i skö́k	Ie' kë̀ ku̠'bak i skö́k	TYPE:NEG;TENSE:PRF_PROG;PERSON:3_SI
Ye' shka'	Kë̀ shkar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Ie' kë̀ ku̠ i skö́k	Sa' kë̀ ku̠ i skö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV;PERSON:1_PL_EXC
Shkö̀k	Shkö̀k	NOCHANGE
Ye' kë̀ ku̠'bak kàsir tö́k	Kë̀ kàsir të̀ne̠	TYPE:NEG;TENSE:PRF_REC;VOICE:MID;PERSON:NA
Be' dör ye' tsí bé	Kë̀ ye' tsí biar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;PERSON:NA
Ie' e̠' tkë'rë	A' e̠' tkére	TENSE:PRF_REC;ABSNUM:PL;PERSON:2_PL
Tsó̠li tsó̠li̠	Tsó̠li tsó̠li̠	NOCHANGE
Ye' dör àrros ta̠wè̠ ñè̠	Kë̀ ye' a̠ àrros tó̠r ñè̠	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' shkémi̠	Kë̀ shkar	TYPE:NEG;MODE:IMP;TENSE:IPFV_REC;ASPECT:IPFV;VOICE:MID;ABSNUM:NI;PERSON:NA
Sa' út	Ie'pa út	ABSNUM:PL;PERSON:3_PL
E's sa' i̠a̠ kë̀ na̠i̠'chka a̠mè̠ne̠a̠t katè	E's sa' i̠a̠ kë̀ na̠i̠'chka a̠mè̠ne̠a̠t katè	NOCHANGE
Be' wa̠ ye' tsí bírule	Kë̀ be' dör ye' tsí bièku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
