Be' tö i tèke	Be' tö i tèke	NOCHANGE
Ye' ká̠ko	Ye' ká̠ko	NOCHANGE
Ye' tö i sík be' dör ye' tsí bi'	Ye' tö i skè be' dör ye' tsí biè	TENSE:IPFV_REC;ASPECT:IPFV
No kë̀r e's	No kë̀r e's	NOCHANGE
Be' dör ye' tsí bi' chìchi tö po'tak kö'	Kë̀ be' dör ye' tsí biök kë̀ chìchi tö po'tak kuök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Kutàie irir wak kë̀ ye' i tsiríwe̠	Kutàie irir wak kë̀ ye' i tsiríwe̠	NOCHANGE
Ie' dúwa̠ wë́m dur stsö́k	Ie kë̀ dùnè̠wa̠ wë́m kë̀ ku̠ dur stsö́k	TYPE:NEG
' súñöa'	Kë̀ ' súñöa'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ie' tö i ttèke	Ie' tö i ttèke	NOCHANGE
Chìchi tö 'ak kâö'	Kë̀ chìchi tö 'ak kâöök	TYPE:NEG;TENSE:FUT_POT;ASPECT:IPFV
Ka̠nè̠o̠rule wa	Ka̠nè̠o̠rule wa	NOCHANGE
Cháìhi tö po'ñtak kö'	Cháìhi tö po'ñtak kuèke̠	TENSE:IPFV_HAB;ASPECT:IPFV
I stsö̀	I stsö̀	NOCHANGE
I' tkéka̠ma̠le̠ sö i̠a̠ ta̠ bua'ë	I' tkéka̠ma̠le̠ sö i̠a̠ ta̠ bua'ë	NOCHANGE
Alà tö ali' ña̠' chìchi tö po'tak kö'	Alà tö ali' ñé̠ chìchi tö po'tak kué	TENSE:PRF_REC
Be' kalö̀tö̀ke	Be' kalö̀tö̀ke	NOCHANGE
Chìchi tö po'tak kö' ye' shka'	Chìchi tö po'tak kué ye' shké	TENSE:PRF_REC
Ma̠ i wìwö apàchikíu̠k	Ma̠ i wìwö apàchikíu̠k	NOCHANGE
E̠' yawö́	E̠' yawö́	NOCHANGE
Ye' tö kàsir të' ie' dúwa̠	Ye' tö kàsir tèmi̠ ie' dawö̀wa̠mi̠	TENSE:FUT_POT;ASPECT:IPFV
Ye' tö i sík chìchi tö po'tak kö'	Ye' bák i skö́k chìchi bák po'tak kuö́k	TENSE:PRF_PROG
Yì yàmi̠	Yì yàmi̠	NOCHANGE
Ye' tö kàsir të' ye' dör àrros tó̠ ñè̠	Kë̀ kàsir të̀rku̠ kë̀ àrros ta̠wè̠ku̠ ñè̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV;VOICE:MID;PERSON:NA
Yé' tö àsir të'	Yé' kë̀ ku̠ àsir tö́k	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Bétk bétk ë á̠jà̠ e' yë̀na̠	Bétk bétk ë á̠jà̠ e' yë̀na̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠ ye' tö kàsir të'	Ye' dör àrros ta̠wè̠ ñè̠ ye' tö kàsir tè	TENSE:IPFV_REC;ASPECT:IPFV
Ye' kë̀ ki̠ akáale kiar	Ye' kë̀ ki̠ akáale kiar	NOCHANGE
Be' tö i i̠ù̠tèke	Be' tö i i̠ù̠tèke	NOCHANGE
Be' dör ye' tsí bi' ye' tö kàsir të'	Ye' tsí biö̀ sö kàsir tö̀ sö	MODE:EXH;TENSE:IPFV_REC;ASPECT:IPFV;PERSON:1_PL_INC
Es' i' ke	Es' i' ke	NOCHANGE
Be' dör ye' tsí bi' ye' shka'	Be' dör ye' tsí bièke̠ ye' shkö̀ke̠	TENSE:IPFV_HAB;ASPECT:IPFV
Be' dör ye' tsí bi' ye' dör àrros tó̠ ñè̠	Ye' tsí bìrke̠ àrros ta̠wè̠ke̠ ñè̠	TENSE:IPFV_HAB;ASPECT:IPFV;VOICE:MID;PERSON:NA
Chìchi tö po'tak kö' ye' e̠' tkë'rë	Chìchi tö po'tak kué ye' e̠' tkére	TENSE:PRF_REC
Chìchi tö po'tak kö' ye' tö kàsir të'	Kë̀ chìchi tö po'tak kuèku̠ kë̀ ye' tö kàsir tèku̠	TYPE:NEG;TENSE:IPFV_HAB;ASPECT:IPFV
Ie' tö i pàlèke	Ie' tö i pàlèke	NOCHANGE
Be' tö i katèke	Be' tö i katèke	NOCHANGE
Bo' dör ye ássí bi'	Kë̀ bo' a̠ ye ássí bír	TYPE:NEG;MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' dör àrros tó̠ ñè̠ ye' tö kàsir të'	Kë̀ ye' dör àrros ta̠we̠ ñè̠ kë̀ ye' tö kàsir te	TYPE:NEG;TENSE:IPFV_REC;ASPECT:IPFV
Ye' tö kàsir të' ie' dúwa̠	Ye' tö kàsir tèke̠ ie' dawö̀kè̠wa̠	TENSE:IPFV_HAB;ASPECT:IPFV
Ye' dör àrmröös ó̠ ñè̠	Ye' kë̀ wa̠ àrmröös ò̠ne̠ ñè̠	TYPE:NEG;TENSE:PRF_REC
Ye' tö i ichàkèke	Ye' tö i ichàkèke	NOCHANGE
Ydeu e̠ky' tuk̠ë'rë	Ydeu e̠ky' tuk̠ö̀rö	TENSE:IPFV_REC;ASPECT:IPFV
Sa' sa' a̠ i tsë́r bua' kiè kë'köldi	Sa' sa' a̠ i tsë́r bua' kiè kë'köldi	NOCHANGE
Chèke̠mi̠ne̠ e's	Chèke̠mi̠ne̠ e's	NOCHANGE
Ye' tö i tsè	Ye' tö i tsè	NOCHANGE
Ie' kalö̀tö̀ke	Ie' kalö̀tö̀ke	NOCHANGE
Be' na̠ù̠	Be' na̠ù̠	NOCHANGE
Ye' dör àrros tó̠ ñè̠ chìchi tö po'tak kö'	Ye' dör àrros ta̠wè̠râ ñè̠ chìchi tö po'tak kuèrâ	TENSE:FUT_CER;ASPECT:IPFV
Ye' tö kàöcsir̠e yë'	Ye' é̠n a̠ kàöcsir̠e ya'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Ma̠ ye' i kiè yàli ñe̠' wíwipala tkë'tër ma̠ ése a̠	Ma̠ ye' i kiè yàli ñe̠' wíwipala tkë'tër ma̠ ése a̠	NOCHANGE
Ye' shka' chìchi tö po'tak kö'	Ye' shkárule chìchi wa̠ po'tak kö́rule	TENSE:PAS_PLU
Pulë̀ èk	Pulë̀ èk	NOCHANGE
U̠jú̠!	U̠jú̠!	NOCHANGE
E's sibö̀ i sa̠wé̠ kàl déstsa̠	E's sibö̀ i sa̠wé̠ kàl déstsa̠	NOCHANGE
Dalö̀ ie wa̠ ie balë'kë́këpa dör	Dalö̀ ie wa̠ ie balë'kë́këpa dör	NOCHANGE
Chìchi tö po'tak kö' ye' tö kàsir të'	Chìchi wa̠ po'tak kua' ye' wa̠ kàsir ta'	MODE:ADVERS
Akë́këpa awápa kéli tso'	Akë́këpa awápa kéli tso'	NOCHANGE
Ye' ehka'	Ye' ehkó	MODE:POT;TENSE:IPFV_REC;ASPECT:IPFV
Ye' ̠' të'rë	Ye' ̠' të'rë	MODE:ADVERS
Ye' shka' ye' tö kàsir të'	Kë̀ ye' shkàne̠ ye' kë̀ wa̠ kàsir të̀ne̠	TYPE:NEG
Ye' dör ààrs tó̠ ñè̠	Ye' kë̀ ku̠ ààrs ta̠ú̠k ñè̠	TYPE:NEG;TENSE:IPFV_PROG;ASPECT:IPFV
Ye'r i ti̠ó̠	Ye'r i ti̠ó̠	NOCHANGE
Ie' tö i ñè̠	Ie' tö i ñè̠	NOCHANGE
Ye' shka' be' dör ye' tsí bi'	Kë̀ ye' shkö̀pa kë̀ be' dör ye' tsí bièpa	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV
Kabë̀pa	Kabë̀pa	NOCHANGE
Ká̠ tkë́l	Ká̠ tkë́l	NOCHANGE
Ye' út ie' dúwa̠	Ye' ujté ie' dawówa̠	TENSE:PRF_REC
Ye' út ye' dör àrros tó̠ ñè̠	Ye' ujtö̀ ye' dör àrros ta̠wè̠ ñè̠	TENSE:IPFV_REC;ASPECT:IPFV
Chìchi tö po'tak kö' ye' tö kàsir të'	Chìchi wa̠ po'tak kö́rule ye' wa̠ kàsir të́rule	TENSE:PAS_PLU
Ye' dör àrros tó̠ ñè̠ ye' shka'	Kë̀ ye' é̠n a̠ àrros ta̠wa̠'ku̠ ñè̠ kë̀ ye' shka'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Be' e̠' chö̀a̠t	Be' e̠' chö̀a̠t	NOCHANGE
Be' dör ye' tsí bi' ye' tö kàsir të'	Be' é̠n a̠ ye' tsí bia'ku̠ ye' é̠n a̠ kàsir ta'ku̠	MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
Kë̀ be' ichè e' ta̠ ie' se' skétsa̠ a̠	Kë̀ be' ichè e' ta̠ ie' se' skétsa̠ a̠	NOCHANGE
Ye' shka' chìchi tö po'tak kö'	Ye' shké chìchi tö po'tak kué	TENSE:PRF_REC
Ye' dör ìàrr'ò tó̠ ñè̠	Ye' dör ìàrr'ò ta̠wé̠ ñè̠	TENSE:PRF_REC
Be' dör ye' tsí bi' ye' dör àrros tó̠ ñè̠	Ye' tsí bìna̠ àrros tò̠na̠ ñè̠	TENSE:PRF_REC;VOICE:MID;PERSON:NA
Awá tso' i kàl apasíu̠k tabè wa	Awá tso' i kàl apasíu̠k tabè wa	NOCHANGE
Ie' akuö̀	Ie' akuö̀	NOCHANGE
Ye' dör àrros tó̠ ñè̠ be' dör ye' tsí bi'	Ye' bák àrros ta̠ú̠k ñè̠ be' bák ye' tsí biö́k	TENSE:PRF_PROG
Be' tö i ñè̠ke	Be' tö i ñè̠ke	NOCHANGE
Ye' tö kàsir të' ye' dör àrros tó̠ ñè̠	Kë̀ kàsir të̀rpa kë̀ àrros ta̠wè̠pa ñè̠	TYPE:NEG;TENSE:FUT_CER;ASPECT:IPFV;VOICE:MID;PERSON:NA
Kë̀ dé tkëne̠ ë̀me̠	Kë̀ dé tkëne̠ ë̀me̠	NOCHANGE
Á' èe' tkë'áë	Á' èe' tkë'áëmi̠	ASPECT:INC
Ie' tö i ttèke	Ie' tö i ttèke	NOCHANGE
Ye' tö k̠íàò́ñb të'	Kë̀ ye' tö k̠íàò́ñb të'ku̠	TYPE:NEG;MODE:DES;TENSE:IPFV_REC;ASPECT:IPFV
