Nde rekay’u’arã remohenda’arã	Nde rekay’u’arã remohenda’arã	NOCHANGE
Ñe’ẽharakuéraicha, ha’ejoaite avei	Ñe’ẽharakuéraicha, ha’ejoaite avei	NOCHANGE
Hi’ánte nde juru aipyte	Hi’ánte nde juru aipyte	NOCHANGE
(oñemopu’ã ohóvo tembiapo gua’a rehegua)	(oñemopu’ã ohóvo tembiapo gua’a rehegua)	NOCHANGE
Ombosa’ýva ko’ẽtĩ	Ombosa’ýva ko’ẽtĩ	NOCHANGE
Ikatuva’erã nipo che ichugui añembyesarái.	Ikatuva’erã nipo che ichugui añembyesarái.	NOCHANGE
Sa’ive oikuaaro tapichakuéra mba’eichapa ojejapo so’oku’iapytĩnguera ha tekorãnguéra, oke porãvene	Sa’ive oikuaaro tapichakuéra mba’eichapa ojejapo so’oku’iapytĩnguera ha tekorãnguéra, oke porãvene	NOCHANGE
Mba’éichapa mbo’ehára che rera javier	Mba’éichapa mbo’ehára che rera javier	NOCHANGE
Marandumbe’uha hekosã’ỹvo ha opa yvypóra ikatrurõ omoñe’ẽ, opaite mba’e ijeroviapy	Marandumbe’uha hekosã’ỹvo ha opa yvypóra ikatrurõ omoñe’ẽ, opaite mba’e ijeroviapy	NOCHANGE
Mandarína ha guaigui ndaikatúi ja’u ñemi.	Mandarína ha guaigui ndaikatúi ja’u ñemi.	NOCHANGE
