Nde ára jarohory.	Nde ára jarohory.	NOCHANGE
Ipype omohe’õ	Ipype omohe’õ	NOCHANGE
Che ajavýimi hína iñeikotevẽva akuápe	Che ajavýimi hína iñeikotevẽva akuápe	NOCHANGE
Ore rojavýimi iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	NOCHANGE
Nde jyva oha’ãrõva eju haguã remopu’ã.	Nde jyva oha’ãrõva eju haguã remopu’ã.	NOCHANGE
Amo ñemuha nosapukái kuri	Amo ñemuha nosapukái kuri	NOCHANGE
Hógape opyta itúva ha isy	Hógape opyta itúva ha isy	NOCHANGE
Ore norojapómi ogyke pokã	Ore norojapómi ogyke pokã	NOCHANGE
Peẽ napejapói ogyke pokã	Peẽ napejapói ogyke pokã	NOCHANGE
Che rasy	Che rasy	NOCHANGE
Ha upéi ñande paraguái	Ha upéi ñande paraguái	NOCHANGE
Tembiguái py’aro ombyaty	Tembiguái py’aro ombyaty	NOCHANGE
Ko mombe’upy emohenduká kuri chéve nde.	Ko mombe’upy emohenduká kuri chéve nde.	NOCHANGE
Che añembosarái hína	Che añembosarái hína	NOCHANGE
Ñane retã paraguay	Ñane retã paraguay	NOCHANGE
Upérõ (nde) reñanihínakuri	Upérõ (nde) reñanihínakuri	NOCHANGE
Pohanohára akãguapy ndombovúiva’ekue	Pohanohára akãguapy ndombovúiva’ekue	NOCHANGE
Che katu itáicha akirirĩ.	Che katu itáicha akirirĩ.	NOCHANGE
Che añemoingeta	Che añemoingeta	NOCHANGE
Nde katu itáicha rekirirĩ.	Nde katu itáicha rekirirĩ.	NOCHANGE
Pakova roguépe remo’â nderembi’ukuéra.	Pakova roguépe remo’â nderembi’ukuéra.	NOCHANGE
Peju mitã kuéra, peju pevy’a,	Peju mitã kuéra, peju pevy’a,	NOCHANGE
Che sýpente ndaipotái remombe’u pa’i.	Che sýpente ndaipotái remombe’u pa’i.	NOCHANGE
Ha’e ndombojereikuri umi kutuhakuéra tuicháva	Ha’e ndombojereikuri umi kutuhakuéra tuicháva	NOCHANGE
Ñembykuarahyresẽ asia	Ñembykuarahyresẽ asia	NOCHANGE
Kuña porã resa para.	Kuña porã resa para.	NOCHANGE
Oguahẽma pytu’u ichupe.	Oguahẽma pytu’u ichupe.	NOCHANGE
Ñande najajapómi ogyke pokã	Ñande najajapómi ogyke pokã	NOCHANGE
Ha’ekuéra ndojapói	Ha’ekuéra ndojapói	NOCHANGE
