Mombe’ukuéra ombotyva’ekue pende arete	Mombe’ukuéra ombotyva’ekue pende arete	NOCHANGE
Temirendukuéra omongakuaa ore temimbo’e tie’ỹ ojapopami	Temirendukuéra omongakuaata ore temimbo’e tie’ỹ ojapopata	TENSE:FUT_SIM
Ha’e omẽbojerekurëi umi kutuhakuéýa poro’o	Ha’e omẽbojerekurëi umi kutuhakuéýa poro’íhona	ASPECT:IPFV
Pohanohtárañ akãguacy ndo.bovuta	Pohanohtárañ akãguacy ndo.bokuri vuta	TENSE:PAS_REC
Ha’e ombojerekuri umi kutuhakuéra poro’o che nañemoingeta	Nde rembojerekuri umi kutuhakuéra tuicháva nde nareñemoingeta	PERSON:2_SI
E,ce rasy	E,ce rasy ikóni	ASPECT:INM
Upérõ (che) añanita hína	Upérõ (che) añanita hína	NOCHANGE
Amo ñem’uha osaptkáki kuri	Amo ñem’uha osaptkáki kurimi	TENSE:PAS_IMP
Chk rajy	Chk rajýva’ekue	TENSE:PAS_PLU
Mombe’ukuéra omboty kuri pende arete che rasy	Mombe’ukuéra omboty kuri hína pende arete che rasypota hina	ASPECT:IPFV
Êaguarte katu itâáichũ ẽkirir.	Êaguarte katu itâáicndhũ ẽkríirir.	TYPE:NEG
Ko’ag̃aite ndaikatúi ahecha ndéve	Ko’ag̃aite ndaikatúi ahecha ndéve	NOCHANGE
Peẽ napejapómi ogyke pokã che nañemoingeta	Peẽ napejapói ogyke pokã che nañemoingei	TENSE:PRE_SIM
Ama oikomi ka’aguy hovy’ûvare upérö (che) añani hína kuri	Nde reikomi ka’aguy hovy’ûvare upérõ (nde) reñanihínakuri	PERSON:2_SI
Pakova roguépe omo’â hembi’ukuéra. okũmbymi hikuái	Pakova roguépe ndomo’âi hembi’ukuéra. ndokũmbýimi hikuái	TYPE:NEG
Ore ndorokuave’ẽi umi tembi’ukuéra pytagua temirendukuéra omongakuaa	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua temirendukuéra omongakuaami	TENSE:PAS_IMP
Ha’e oguapy upérö (che) añani hína kuri	Ha’e oguapýva’ekue upérõ (che) añanihínava’ekue	TENSE:PAS_PLU
Apurahéi kuri oipuru hikuái ka’a ha ho’u terere.	Ndapurahéi kuri ndoipurui hikuái ka’a térã ho’u terere.	TYPE:NEG
Ama oikomi ka’aguy hovy’ûvare ko mombe’upy ohenduká kuri chéve che ru.	Ama oiko ka’aguy hovy’ûvare ko mombe’upy ohenduka chéve che ru.	TENSE:PRE_SIM
Ko mombe’upy ohenduká kuri chéve che ru. ama oikomi ka’aguy hovy’ûvare	Ko mombe’upy ohenduka chéve che ru. ama oiko ka’aguy hovy’ûvare	TENSE:PRE_SIM
Ha’e oguapy ha’e ombojára kuri mbovy apekuéra	Ha’e ndoguapýi ha’e ndombojárai kuri mbovy apekuéra	TYPE:NEG
Okũmbymi hikuái ore temimbo’e tie’ỹ ojapopami	Okũmbyta hikuái. ore temimbo’e tie’ỹ ojapopata	TENSE:FUT_SIM
Ijuuru ñei)mo’ã’ỹva ndojurata che aovevekeuéra - ijuru ñeimo’ã’ỹva nuojuramo’ãi che aovevekuéra	Ijuuru ñei)mo’ã’ỹva ndojurata che aovevekeuéra - ijuru ñeimo’ã’ỹva nuojuramo’ãi che aovndevekuéra	TYPE:NEG
Che mba’éma ko ykua ha’e oguapy	Ndachemba’ei ko ykua ha’e ndoguapýi	TYPE:NEG
Che ajavými iñeikotevẽva akuápe upérö (che) añani hína kuri	Che ajavy iñeikotevẽva akuápe upérõ (che) añani hína	TENSE:PRE_SIM
Ha’e ojupi kuri oipuru hikuái ka’a ha ho’u terere.	Ñande jajupi kuri ñande jaipuru ka’a ha ja’u terere.	PERSON:1_PL_INC
Upérö (che) añani hína kuri ha’ekuéra naiñemoñaréi kuri	Upérõ (che) añani hína ha’ekuéra ndoñemoñaréi	TENSE:PRE_SIM
