Che aguapy	Che aguapy	NOCHANGE
Ha’ekuéra okytĩmi pende yvyrakuakuéra	Ha’ekuéra okytĩmi pende yvyrakuakuéra	NOCHANGE
Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke	Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke	NOCHANGE
Che ajavýta iñeikotevẽva akuápe	Che ajavýta iñeikotevẽva akuápe	NOCHANGE
Apurahéitta	Apurahéitta	NOCHANGE
Peë naipeñemoñaréi kuri	Peë naipeñemoñaréi kuri	NOCHANGE
Ko’ag̃aite ndaikatúi ahecha ndéve	Ko’ag̃aite ndaikatúi ahecha ndéve	NOCHANGE
Nde nderejapókuri	Nde nderejapókuri	NOCHANGE
Ku mbói oñoéairõ	Ku mbói noñoéairõi	TYPE:NEG
Upérö (che) añaip hína kuri	Upérö (che) añaip hína kuripota hina	ASPECT:IPFV
Mombe’ukuéra opmboty kuri pende aretñ	Mombe’ukuéra opmboty kuri pndende aretñi	TYPE:NEG
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra naiñemoñaréi kuri	NOCHANGE
Che cherasy va’ekue	Che cherasy va’ekue	NOCHANGE
Ndacherásyi	Ndacherásyi	NOCHANGE
Ijuru ñe’mo’ã’ỹva ndojuréta che aovevekuéra - ijuru ñeimo’ã’ỹva ndojurao’ãi ,he aovevekuéra	Ijuru ñe’mo’ã’ỹva ndojuréta che aovevekuéra - ijuru ñeimo’ã’ỹva ndojurao’ãi ,he andoveveríkuéra	TYPE:NEG
Ijuru ñeimo’ã’ỹva ndojuýata che aovevekuoyéra - ijuru ñei,m’ã’ỹva ndjuramo’ãi ce aoyevekuéra	Ijuru ñeimo’ã’ỹva ndojuýata che aovevekuoyéra - ijuru ñei,m’ã’ỹva ndjuramo’ãi ce aoyevekuértaa	TENSE:FUT_SIM
He’i ka’iu ruvicjha ta’ýra kuérape	Ndhe’i ka’iu ruvicjha ta’ýra kuérape	TYPE:NEG
Kru ’mbyi oñoraiid	Kru ’mbyi oñondraiiírd	TYPE:NEG
