Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke	Ha’e ombotujaimi che ogyke - Ha’e ombyaimi che ogyke	NOCHANGE
Nde, ka’i ruvicha ere nde ta’yrakuérape	Nde, ka’i ruvicha ere nde ta’yrakuérape	NOCHANGE
Ama ndoikomi ka’aguy hovy’ûvare	Ama ndoikomi ka’aguy hovy’ûvare	NOCHANGE
Ndoipurui hikuái ka’a térã ho’u terere.	Ndoipurui hikuái ka’a térã ho’u terere.	NOCHANGE
Ku mbói oñorairõta	Ku mbói oñorairõta	NOCHANGE
Che katu itáicha akirirĩ.	Che katu itáicha akirirĩ.	NOCHANGE
Ko mombe’upy ndohenduká kuri chéve che ru.	Ko mombe’upy ndohenduká kuri chéve che ru.	NOCHANGE
Ko po ndojupíri	Ko po ndojupíri	NOCHANGE
Ko mombe’upy emohenduká kuri chéve nde.	Ko mombe’upy emohenduká kuri chéve nde.	NOCHANGE
Nde nereñembosaráiri hína	Nde nereñembosaráiri hína	NOCHANGE
Ore noroñemoingeta	Ore noroñemoingeta	NOCHANGE
Temirendu omongakuaa	Temirendu omongakuaa	NOCHANGE
Okũmbyta hikuái.	Okũmbyta hikuái.	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - Ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéra	NOCHANGE
Mombe’ukuéra ndombotyi kuri pende arete	Mombe’ukuéra ndombotyi kuri pende arete	NOCHANGE
Che nañemoingeimi	Che nañemoingeimi	NOCHANGE
Ha’ekuéra naiñemoñaréi kuri	Ha’ekuéra naiñemoñaréi kuri	NOCHANGE
Amo ñemuha osapukái kuri	Amo ñemuha osapukái kuri	NOCHANGE
Pohanohára akãguapy ndombovúiva’ekue	Pohanohára akãguapy ndombovúiva’ekue	NOCHANGE
Ha’e ojupita	Ha’e ojupita	NOCHANGE
Ha’e ojupi kuri ikóni	Ha’e ojupi kuri ikóni	NOCHANGE
Nde mba’e ko ykua	Nde mba’e ko ykua	NOCHANGE
Amo ñemuha nosapukái kuri	Amo ñemuha nosapukái kuri	NOCHANGE
Ha’ekuéra oñembosarái hína	Ha’ekuéra oñembosarái hína	NOCHANGE
Ndokũmbýimi hikuái	Ndokũmbýimi hikuái	NOCHANGE
Ndachemba’ei ko ykua	Ndachemba’ei ko ykua	NOCHANGE
Ndéngo ndereikuaái upévape.	Ndéngo ndereikuaái upévape.	NOCHANGE
Mombe’ukuéra ombotyta pende arete	Mombe’ukuéra ombotyta pende arete	NOCHANGE
Ñande ndañamoheñói	Ñande ndañamoheñói	NOCHANGE
Nde reñembosarái ikóni	Nde reñembosarái ikóni	NOCHANGE
Ha’e ombojaruita	Ha’e ombojaruita	NOCHANGE
Ñande ndajajapói	Ñande ndajajapói	NOCHANGE
Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	NOCHANGE
Che cherasy va’ekue	Che cherasy va’ekue	NOCHANGE
Ndacherásyi	Ndacherásyi	NOCHANGE
Ore temimbo’e tie’ỹ ojapopata	Ore temimbo’e tie’ỹ ojapopata	NOCHANGE
Ko mombe’upy pemohenduká kuri chéve peê.	Ko mombe’upy pemohenduká kuri chéve peê.	NOCHANGE
Peê penderasy	Peê penderasy	NOCHANGE
Peẽ napejapói ogyke pokã	Peẽ napejapói ogyke pokã	NOCHANGE
Ha’e ndombotujaikuri hina che ogyke - Ha’e ndombyaikuri hina che ogyke	Ha’e ndombotujaikuri hina che ogyke - Ha’e ndombyaikuri hina che ogyke	NOCHANGE
Che aguapy	Che aguapy	NOCHANGE
Ko po ojupi	Ko po ojupi	NOCHANGE
Ko po ojupíta	Ko po ojupíta	NOCHANGE
Che ajavýta iñeikotevẽva akuápe	Che ajavýta iñeikotevẽva akuápe	NOCHANGE
Oipuru hikuái ka’a ha ho’u terere.	Oipuru hikuái ka’a ha ho’u terere.	NOCHANGE
Ama oikomi ka’aguy hovy’ûvare	Ama oikomi ka’aguy hovy’ûvare	NOCHANGE
Ko mombe’upy ohendukáta chéve che ru.	Ko mombe’upy ohendukáta chéve che ru.	NOCHANGE
Pohanohárakuera akãguapy ndombovúita	Pohanohárakuera akãguapy ndombovúita	NOCHANGE
Ha’ekuéra nojapómi ogyke pokã	Ha’ekuéra nojapómi ogyke pokã	NOCHANGE
Hikuái oguapy	Hikuái oguapy	NOCHANGE
Chéngo aikuaá upévape.	Chéngo aikuaá upévape.	NOCHANGE
Ha’e ombojára kuri hína mbovy apekuéra	Ha’e ombojára kuri hína mbovy apekuéra	NOCHANGE
Nde reñembosarái hína	Nde reñembosarái hína	NOCHANGE
Peẽ napejapói kuri ogyke pokã	Peẽ napejapói kuri ogyke pokã	NOCHANGE
Nde nderasy	Nde nderasy	NOCHANGE
Che añembosarái hína	Che añembosarái hína	NOCHANGE
Nde nderejapókuri	Nde nderejapókuri	NOCHANGE
Ore temimbo’ekuéra tie’ỹ ojapopami	Ore temimbo’ekuéra tie’ỹ ojapopami	NOCHANGE
Ha’e hasy	Ha’e hasy	NOCHANGE
Umíva ñemuhakuéra osapukái kuri	Umíva ñemuhakuéra osapukái kuri	NOCHANGE
Nde ndereikuave’ẽi umi tembi’ukuéra pytagua	Nde ndereikuave’ẽi umi tembi’ukuéra pytagua	NOCHANGE
Nde rembojerekuri umi kutuhakuéra tuicháva	Nde rembojerekuri umi kutuhakuéra tuicháva	NOCHANGE
Che ajavy iñeikotevẽva akuápe	Che ajavy iñeikotevẽva akuápe	NOCHANGE
Nde nderejapói	Nde nderejapói	NOCHANGE
Temirendukuéra omongakuaata	Temirendukuéra omongakuaata	NOCHANGE
Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	Ore ndorokuave’ẽimi umi tembi’ukuéra pytagua	NOCHANGE
Ore rokuave’ẽ umi tembi’ukuéra pytagua	Ore rokuave’ẽ umi tembi’ukuéra pytagua	NOCHANGE
Ore temimbo’e tie’ỹ ojapopa	Ore temimbo’e tie’ỹ ojapopa	NOCHANGE
Ndapurahéi kuri	Ndapurahéi kuri	NOCHANGE
Pakova roguépe pemo’â penderembi’ukuéra.	Pakova roguépe pemo’â penderembi’ukuéra.	NOCHANGE
Nde rembojára kuri mbovy apekuéra	Nde rembojára kuri mbovy apekuéra	NOCHANGE
Ha’ekuéra ndojapói	Ha’ekuéra ndojapói	NOCHANGE
Che rasypota hina	Che rasypota hina	NOCHANGE
Ha’e oguapy	Ha’e oguapy	NOCHANGE
Temirendukuéra omongakuaami	Temirendukuéra omongakuaami	NOCHANGE
Upérõ (nde) reñanihínakuri	Upérõ (nde) reñanihínakuri	NOCHANGE
Che mba’éta ko ykua	Che mba’éta ko ykua	NOCHANGE
Ore temimbo’e tie’ỹ ojapopava’ekue	Ore temimbo’e tie’ỹ ojapopava’ekue	NOCHANGE
Ñande naiñañemoñaréi kuri	Ñande naiñañemoñaréi kuri	NOCHANGE
Ama oiko ka’aguy hovy’ûvare	Ama oiko ka’aguy hovy’ûvare	NOCHANGE
Ñande rasy	Ñande rasy	NOCHANGE
Ha’e ndombojárai kuri mbovy apekuéra	Ha’e ndombojárai kuri mbovy apekuéra	NOCHANGE
Ha’e ndombojereikuri umi kutuhakuéra tuicháva	Ha’e ndombojereikuri umi kutuhakuéra tuicháva	NOCHANGE
Che ajavýimi hína iñeikotevẽva akuápe	Che ajavýimi hína iñeikotevẽva akuápe	NOCHANGE
Ore nairoñemoñaréi kuri	Ore nairoñemoñaréi kuri	NOCHANGE
Che nañemoingei	Che nañemoingei	NOCHANGE
Nde reñembosaráita hína	Nde reñembosaráita hína	NOCHANGE
Peë naipeñemoñaréi kuri	Peë naipeñemoñaréi kuri	NOCHANGE
Pakova roguépe ndomo’âi hembi’ukuéra.	Pakova roguépe ndomo’âi hembi’ukuéra.	NOCHANGE
Nde remoheñói	Nde remoheñói	NOCHANGE
Apurahéihina kuri	Apurahéihina kuri	NOCHANGE
Ha’e oguapýta	Ha’e oguapýta	NOCHANGE
Ore rojavýimi iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	NOCHANGE
Che ajavými iñeikotevẽva akuápe	Che ajavými iñeikotevẽva akuápe	NOCHANGE
Ñande jajupi kuri	Ñande jajupi kuri	NOCHANGE
Ha’e ndombojarui kuri	Ha’e ndombojarui kuri	NOCHANGE
Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	NOCHANGE
Pakova roguépe omo’â hembi’ukuéra.	Pakova roguépe omo’â hembi’ukuéra.	NOCHANGE
Nde nareñemoingeta	Nde nareñemoingeta	NOCHANGE
Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke	Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke	NOCHANGE
Nde reñembosarái	Nde reñembosarái	NOCHANGE
Ore norojapómi ogyke pokã	Ore norojapómi ogyke pokã	NOCHANGE
Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke	Ñande ndañambotujáimi che ogyke - Ñande ndañambyaimi che ogyke	NOCHANGE
Che ambojára kuri mbovy apekuéra	Che ambojára kuri mbovy apekuéra	NOCHANGE
Che aikomi ka’aguy hovy’ûvare	Che aikomi ka’aguy hovy’ûvare	NOCHANGE
