Omotenonde reve, kerãi tuichague ñemboriko sundaro	Omotenonde reve, kerãi tuichague ñemboriko sundaro	NOCHANGE
Rekávo ka’aguýpe. upépe osê chupe guaikurukuéra, kyhyjepópe oñani pe	Rekávo ka’aguýpe. upépe osê chupe guaikurukuéra, kyhyjepópe oñani pe	NOCHANGE
Peê penderasy	Nde nderasy	PERSON:2_SI
Ha upéi ñande paraguái	Ha upéi ñande paraguái	NOCHANGE
Ha’e ndombotujáiva’ekue che ogyke - Ha’e ndombyaiva’ekue che ogyke	Che ndambotujamoái che ogyke - Che ndambyaimoái che ogyke	PERSON:1_SI;TENSE:FUT_SIM
Mávapa oimo’ãta oĩha ñande rapicha ohayhuasýva guaraní ñe’ẽ, ahendu he’ihikuái, ñane retã rembe’ýpe, omomba’eguasúvo umi nerembiapo.	Mávapa oimo’ãta oĩha ñande rapicha ohayhuasýva guaraní ñe’ẽ, ahendu he’ihikuái, ñane retã rembe’ýpe, omomba’eguasúvo umi nerembiapo.	NOCHANGE
Pe kosereva oñeñongatu areséramo oñemoĩva’erã pype, oñembosako’i aja, hetave asuka ha eira hũ.	Pe kosereva oñeñongatu areséramo oñemoĩva’erã pype, oñembosako’i aja, hetave asuka ha eira hũ.	NOCHANGE
Che ndaikuave’ẽi umi tembi’ukuéra pytagua	Ñande ndañakuave’ẽi umi tembi’ukuéra pytagua	PERSON:1_PL_INC
Upérõ (nde) reñanihínakuri	Upérõ (ñande) ñañanihínakuri	PERSON:1_PL_INC
Ha ñanepytuhê avei.	Ha ñanepytuhê avei.	NOCHANGE
Hi’ãma omyasãi ha tañahendu ñande tetãygua.	Hi’ãma omyasãi ha tañahendu ñande tetãygua.	NOCHANGE
Ñande rasy	Peê penderasy	PERSON:2_PL
Oipytyvõ va’erã abogado oikuaháva mitã ha okakuaháva derecho rehegua, oñepyrũ guive	Oipytyvõ va’erã abogado oikuaháva mitã ha okakuaháva derecho rehegua, oñepyrũ guive	NOCHANGE
Okũmbyta hikuái.	Okũmby kuri hikuái.	TENSE:PAS_REC
Okáguio ojeporu kangue rasýpe guarâ ha mba’asykuéra ñande pire reheguápe.	Okáguio ojeporu kangue rasýpe guarâ ha mba’asykuéra ñande pire reheguápe.	NOCHANGE
Ikatu hupytyrã ndaha’ei ko’árape jeikua mba’epa ñande, hákatu ñembotove pe ñande ha’eva	Ikatu hupytyrã ndaha’ei ko’árape jeikua mba’epa ñande, hákatu ñembotove pe ñande ha’eva	NOCHANGE
Ku mbói oñorairõta	Ku mbói oñorairõmi	TENSE:PAS_IMP
Ha’e oguapýva’ekue	Ha’e oguapýta	TENSE:FUT_SIM
Ñande jajavýimi iñeikotevẽva akuápe	Nde rejavýimi iñeikotevẽva akuápe	PERSON:2_PL
Ijuru ñeimo’ã’ỹva ndojuraimi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojuraiva’ekue che aovevekuéra	TENSE:PAS_PLU
Oporomomembýva, oñembohérava partéra chae, oipytyvõva kuña hyeguasúvape imemby	Oporomomembýva, oñembohérava partéra chae, oipytyvõva kuña hyeguasúvape imemby	NOCHANGE
Ha’e hasy	Peê penderasy	PERSON:2_PL
Ñande rasy	Nde nderasy	PERSON:2_SI
Peteĩ mba’e neporãva ojejapóva ha’e	Peteĩ mba’e neporãva ojejapóva ha’e	NOCHANGE
Hose ndaikatúi ohupyty hogue ojapo hagua tupãsýme hogarãmi. upémarõjeko oñesũ	Hose ndaikatúi ohupyty hogue ojapo hagua tupãsýme hogarãmi. upémarõjeko oñesũ	NOCHANGE
Ijuru ñeimo’ã’ỹva ndojurai kuri che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojuraiva’ekue che aovevekuéra	TENSE:PAS_PLU
Peê penderasy	Ñande rasy	PERSON:1_PL_INC
Ñande rasy	Ore rorasy	PERSON:1_PL_EXC
Nde ára jarohory.	Nde ára jarohory.	NOCHANGE
(mba’apo ha ñeipytyvõ panamá pe)	(mba’apo ha ñeipytyvõ panamá pe)	NOCHANGE
Anichéne opuka guaikuru ñande rehe.	Anichéne opuka guaikuru ñande rehe.	NOCHANGE
Peẽ peguapy	Nde reguapy	PERSON:2_SI
Ore rorasy	Peê penderasy	PERSON:2_PL
Upéicha avei oiko umi teroja moteĩva techaukarã tovake’ỹguágui.	Upéicha avei oiko umi teroja moteĩva techaukarã tovake’ỹguágui.	NOCHANGE
Pahápe umi apañuãi ñemyatyrõ, ýrõ katu oñemyesakã umi mba’e ñemimby.	Pahápe umi apañuãi ñemyatyrõ, ýrõ katu oñemyesakã umi mba’e ñemimby.	NOCHANGE
