.a’e omẽ(ojrek.urëi umi kutuhakuéýa poro’o	.a’ene omẽ(ojrek.urëi umi kutuhakuéýa prioro’o	TYPE:NEG
Ha’e ojupi kuri nde nderemoheñói	Ñande jajupi kuri ñande ndañamoheñói	PERSON:1_PL_INC
Rde reñembosarei hína	Rde reñembosanrei hínai	TYPE:NEG
Nde nderemoheñói nde nderejapói	Ha’ekuéra ndomoheñoi ha’ekuéra ndojapói	PERSON:3_PL
Apurahéi kuri oipuru hikuái ka’a ha ho’u terere.	Apurahéitta oipuruta hikuái ka’a ha ho’uta terere.	TENSE:FUT_SIM
Ñasaindy perepere pa’ũ rupi oñemboja mbeguekatu oúvo ava oguerúva poyvi pytã, morotĩ ha hovy ijapére.	Ñasaindy perepere pa’ũ rupi oñemboja mbeguekatu oúvo ava oguerúva poyvi pytã, morotĩ ha hovy ijapére.	NOCHANGE
Oipuru hikuái ka’a ha ho’u terere. che mba’éma ko ykua	Oipuruta hikuái ka’a ha ho’uta terere. che mba’éta ko ykua	TENSE:FUT_SIM
Upérö (che) añani hína kuri mombe’ukuéra omboty kuri pende arete	Upérõ (che) añanita hína mombe’ukuéra ombotyta pende arete	TENSE:FUT_SIM
Hina tau ha kerana ñemoñare irundyha. ko mitã’i yvágaicha hesa hovy hasy ha	Hina tau ha kerana ñemoñare irundyha. ko mitã’i yvágaicha hesa hovy hasy ha	NOCHANGE
Ombohetia’éva	Ombohetia’éva	NOCHANGE
Mombe’ukuéra omboty kuri pende arete ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Mombe’ukuéra ombotyta pende arete ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke	TENSE:FUT_SIM
Mombe’ukuéra oýboty kuri pende arete	Mombe’ukuéra oýboty kuri pende ndaretíre	TYPE:NEG
Orö temimbome tieaỹ sjapopami	Orö temimbome tieaỹ sjapopamita	TENSE:FUT_SIM
Nda’ipóri avaréicha ohayhúva yvypóra	Nda’ipóri avaréicha ohayhúva yvypóra	NOCHANGE
Ama oikomi ka’aguy hovy’ûvare okũmbymi hikuái	Che aikomi ka’aguy hovy’ûvare che akũmbymi	PERSON:1_SI
Che rasy pakova roguépe omo’â hembi’ukuéra.	Peê penderasy pakova roguépe pemo’â penderembi’ukuéra.	PERSON:2_PL
Norohepyme’ẽi nde mba’ekuaarã ñandutiguávape jeike. kyta.	Norohepyme’ẽi nde mba’ekuaarã ñandutiguávape jeike. kyta.	NOCHANGE
Ha’e ombojára kuri mbovy apekuéra ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Ha’e ombojárata mbovy apekuéra ha’e ombotujáta che ogyke - ha’e ombyaíta che ogyke	TENSE:FUT_SIM
Ku mbói oñorairõ nde reñembosarái hína	Umi mbóikuera oñorairõ ha’ekuéra oñembosarái hína	PERSON:3_PL
Nde ára jarohory.	Nde ára jarohory.	NOCHANGE
Roguerohory. iporã chéve. hechapyrã.	Roguerohory. iporã chéve. hechapyrã.	NOCHANGE
Amoñe’ẽ marandumbe’uha taryrýipe. pea añoite ha’e temiandugua’u ame’ẽva tapia che jupe	Amoñe’ẽ marandumbe’uha taryrýipe. pea añoite ha’e temiandugua’u ame’ẽva tapia che jupe	NOCHANGE
Ha’e oguapy apurahéi kuri	Ha’e oguapýta apurahéitta	TENSE:FUT_SIM
Nde reñemosdarái hína	Ndnde reñemosdarái hína	TYPE:NEG
Ha’e ombojerekuri umi kutuhakuéra poro’o apurahéi kuri	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva apurahéihina kuri	ASPECT:IPFV
Nde nderemoheñói ha’e nombotujaimi che ogyke - ha’e ndombyaimi che ogyke	Nde remoheñói ha’e ombotujaimi che ogyke - ha’e ombyaimi che ogyke	TYPE:AFF
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojurao’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuraond’ãi cihe aovevekuéra	TYPE:NEG
Mombe’ukuéra omboty kuri pende arete temirendukuéra omongakuaa	Mombe’u omboty kuri pende arete temirendu omongakuaa	PERSON:3_SI
