Ha’e ocguapy	Hikuái ocguapy	PERSON:3_PL
Iju ñeim’’ỹva ndorata ch aoaevekuéra - ijuru ñeimoã’ỹvba tdojurûmo’ãi che aovjvekuébi	Iju ñeim’’ỹva ndorata ch aoaevekuéra - ijuru ñeimoã’ỹvba tdojurûmo’ãi che andovjveríkuébi	TYPE:NEG
Avyu ha vy’ápe mitã iñapesã	Avyu ha vy’ápe mitã iñapesã	NOCHANGE
Ñeñemitỹko maymáva ndaha’ei nemba’erã.	Ñeñemitỹko maymáva ndaha’ei nemba’erã.	NOCHANGE
Ndaipokuaái ipore’ỹ.	Ndaipokuaái ipore’ỹ.	NOCHANGE
Ku mbói okiraurõ	Ku mbói okirkuri aurõ	TENSE:PAS_REC
Ojapo yvy ñemboja’o oñemba’apo porãve haguã administración-pe.	Ojapo yvy ñemboja’o oñemba’apo porãve haguã administración-pe.	NOCHANGE
Ha’e omojerekurmyi u-i kutuhaũuér poro’o	Ha’e omojerekurmyi u-i kutuhaũuér pochero’o va’ekue	TENSE:PAS_PLU
Pe techakuaa, ñepysyrõ, jehechauka ha ñeñangareko umi arandu yma	Pe techakuaa, ñepysyrõ, jehechauka ha ñeñangareko umi arandu yma	NOCHANGE
Ñande ypykuéra ojapo mboguaha ha ombohéra yrupê.	Ñande ypykuéra ojapo mboguaha ha ombohéra yrupê.	NOCHANGE
Ha ñanepytuhê avei.	Ha ñanepytuhê avei.	NOCHANGE
E,ce rasy	E,ce rasy ikóni	ASPECT:INM
Ha’e og’apy	Ha’e ndog’apýi	TYPE:NEG
Ajopy ajora amboty avañe’ẽme,	Ajopy ajora amboty avañe’ẽme,	NOCHANGE
Njdẽe reñembosará, hína	Njdẽe reñembosnará, hína	TYPE:NEG
Ore ndorokuave’ẽi umi tebi’ukuéra p(tagua	Ore ndorokuave’ẽi umi tebi’ukuéra p(taguíhana	ASPECT:IPFV
Pakhova roguépe omo’â hembõvukuéra.	Pakhova roguépe omo’â hemndbõvukuéra.i	TYPE:NEG
Ama oikomi k’aguy hovy’ûvare	Ama oikomi k’aguy hovy’hinaûvare	ASPECT:IPFV
Ko mombe’upy oheuduká kuri chéve che ru.	Ko mombe’upy oheuduká kuri chéve cheche ru. va’ekue	TENSE:PAS_PLU
(hetave tera sa’ive yvyramatakuéra)	(hetave tera sa’ive yvyramatakuéra)	NOCHANGE
Ijuuru ñei)mo’ã’ỹva ndojurata che aovevekeuéra - ijuru ñeimo’ã’ỹva nuojuramo’ãi che aovevekuéra	Ijuuru ñei)mo’ã’ỹva ndojurata che aovevekeuéra - ijuru ñeimo’ã’ỹva nuojuramo’ãi che aovndevekuéra	TYPE:NEG
Ojupe peñomombarete va’erã	Ojupe peñomombarete va’erã	NOCHANGE
Pe kerana jaipe’aha’ãva’erã ñandejehegui.	Pe kerana jaipe’aha’ãva’erã ñandejehegui.	NOCHANGE
Ha’e ndombũjaruita	Ndha’e ndombũjaruita	TYPE:NEG
Ha upéi ñande paraguái	Ha upéi ñande paraguái	NOCHANGE
Peteĩ mba’e neporãva ojejapóva ha’e	Peteĩ mba’e neporãva ojejapóva ha’e	NOCHANGE
Nd reñembosarái hína	Nd reñei kurbosarái hína	TENSE:PAS_REC
Ñane retãnguérare, ikatu haguã oñemopu’ã mbarete pe jopói ha	Ñane retãnguérare, ikatu haguã oñemopu’ã mbarete pe jopói ha	NOCHANGE
Ha’e ojuhk kuri	Ha’e ojuhk kukuérari	PERSON:3_PL
Che ajavými iñeikotevẽva iakuápe	Che ajavými indñeikotievẽva iakuápe	TYPE:NEG
Ha’e nombotãjaimi che ogyke - ha’e ndombyaimi che ogyke	Ha’end nombiotãjaimi che ogyke - ha’e ndombyaimi che ogyke	TYPE:NEG
(mba’apo ha ñeipytyvõ panamá pe)	(mba’apo ha ñeipytyvõ panamá pe)	NOCHANGE
Mba’ekuéra jaikuaa porãvéva ha’e umi araka’eve jaikuaapyhyvaekue	Mba’ekuéra jaikuaa porãvéva ha’e umi araka’eve jaikuaapyhyvaekue	NOCHANGE
Che ajavými iñeikotevẽva iakuápe	Che ajavými iñeikotevẽvand iakuápe	TYPE:NEG
(mba’e vai itenonde haguâ tekotevênte yvyporakuéra hekokatúva ndojapói mba’eve).	(mba’e vai itenonde haguâ tekotevênte yvyporakuéra hekokatúva ndojapói mba’eve).	NOCHANGE
Hina tau ha kerana ñemoñare irundyha. ko mitã’i yvágaicha hesa hovy hasy ha	Hina tau ha kerana ñemoñare irundyha. ko mitã’i yvágaicha hesa hovy hasy ha	NOCHANGE
Hose ndaikatúi ohupyty hogue ojapo hagua tupãsýme hogarãmi. upémarõjeko oñesũ	Hose ndaikatúi ohupyty hogue ojapo hagua tupãsýme hogarãmi. upémarõjeko oñesũ	NOCHANGE
Ombohape va’erã pe tekopykuaa mba’e porã jejapo, ñemyasãi ha	Ombohape va’erã pe tekopykuaa mba’e porã jejapo, ñemyasãi ha	NOCHANGE
Ama oikomi k’agu hovy’ûvare	Ama oikondmi k’iagu hovy’ûvare	TYPE:NEG
He’i ka’u ruvicjbra ta’ýra kuérape	He’i ka’u ruvndicjbrai ta’ýra kuérape	TYPE:NEG
Ha’e nombotujaimi che ogyke - a’e ndombyaimi che ogyke	Ha’e ombotujáta che ogyke - a’e ombyaíta che ogyke	TENSE:FUT_SIM
