Source	Target	Change
Nde reikomi ka’aguy hovy’ûvare	Che aikomi ka’aguy hovy’ûvare	PERSON:1_SI
Che aikomi ka’aguy hovy’ûvare	Nde reikomi ka’aguy hovy’ûvare	PERSON:2_SI
Amo ñemuha osapukáita	Amo ñemuha osapukáiva’ekue	TENSE:PAS_PLU
Amo ñemuha osapukáiva’ekue	Amo ñemuha osapukáita	TENSE:FUT_SIM
Apurahéi va’ekue	Apurahéitta	TENSE:FUT_SIM
Apurahéitta	Apurahéi va’ekue	TENSE:PAS_PLU
Che ajavýta iñeikotevẽva akuápe	Che ajavy iñeikotevẽva akuápe	TENSE:PRE_SIM
Che ajavy iñeikotevẽva akuápe	Che ajavýta iñeikotevẽva akuápe	TENSE:FUT_SIM
Nde rejavýimi iñeikotevẽva akuápe	Ñande jajavýimi iñeikotevẽva akuápe	PERSON:1_SI_INC
Nde rejavýimi iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	PERSON:1_SI_EXC
Ñande jajavýimi iñeikotevẽva akuápe	Nde rejavýimi iñeikotevẽva akuápe	PERSON:2_PL
Ñande jajavýimi iñeikotevẽva akuápe	Ore rojavýimi iñeikotevẽva akuápe	PERSON:1_SI_EXC
Ore rojavýimi iñeikotevẽva akuápe	Nde rejavýimi iñeikotevẽva akuápe	PERSON:2_PL
Ore rojavýimi iñeikotevẽva akuápe	Ñande jajavýimi iñeikotevẽva akuápe	PERSON:1_SI_INC
Nde mba’e ko ykua	Ñande mba’e ko ykua	PERSON:1_SI_INC
Nde mba’e ko ykua	Ore mba’e ko ykua	PERSON:1_SI_EXC
Ñande mba’e ko ykua	Nde mba’e ko ykua	PERSON:2_SI
Ñande mba’e ko ykua	Ore mba’e ko ykua	PERSON:1_SI_EXC
Ore mba’e ko ykua	Nde mba’e ko ykua	PERSON:2_SI
Ore mba’e ko ykua	Ñande mba’e ko ykua	PERSON:1_SI_INC
Che nañemoingei	Che nañemoingeimi	TENSE:PAS_IMP
Che nañemoingeimi	Che nañemoingei	TENSE:PRE_SIM
Nde nareñemoingeta	Ore noroñemoingeta	PERSON:1_PL_EXC
Ore noroñemoingeta	Nde nareñemoingeta	PERSON:2_SI
Che cherasy kuri	Che cherasy va’ekue	TENSE:PAS_PLU
Che cherasy va’ekue	Che cherasy kuri	TENSE:PAS_REC
Nde nderasy	Ha’e hasy	PERSON:3_SI
Nde nderasy	Ñande rasy	PERSON:1_PL_INC
Nde nderasy	Ore rorasy	PERSON:1_PL_EXC
Nde nderasy	Peê penderasy	PERSON:2_PL
Ha’e hasy	Nde nderasy	PERSON:2_SI
Ha’e hasy	Ñande rasy	PERSON:1_PL_INC
Ha’e hasy	Ore rorasy	PERSON:1_PL_EXC
Ha’e hasy	Peê penderasy	PERSON:2_PL
Ñande rasy	Nde nderasy	PERSON:2_SI
Ñande rasy	Ha’e hasy	PERSON:3_SI
Ñande rasy	Ore rorasy	PERSON:1_PL_EXC
