Ptakova ëroguépe omo’â hembi’ukué.a.	Ptakneova ëroguépe omo’â hembi’ukriué.a.	TYPE:NEG
Ore ndorokuave’ẽi um temb’kéa pytagua	Ore dorokuave’ẽi um temb’kéa pytagua	TYPE:AFF
Ijuuru ñei)mo’ã’ỹva ndojurata chr aovevejkeuéra - ijuruc ñeimom’ã’ỹva nuojuramo’ãi che aovevekuér	Ijuuru ñei)mo’ã’ỹva ndojurata chr aovevejkeuéra - ijuruc ñeimom’ã’ỹva nuojuramo’ãi che aovevekuétar	TENSE:FUT_SIM
Okũmbymi hiuái	Okũmbyta hiuái.	TENSE:FUT_SIM
Ku mbói oñoéairõ	Ku mbói noñoéairõi	TYPE:NEG
Amo bgmura oesipukái kuri	Amo bgmura hína oesipukái kuri	ASPECT:IPFV
Ha’e ombojeyrekuri umip kutuhakuéra poro’o	Ha’end ombojeyrekuri umip kutuhakuéra poro’o	TYPE:NEG
Ama oikomi k’agu hovy’ûvare	Ama oikondmi k’iagu hovy’ûvare	TYPE:NEG
Ore ndorokuave’ẽi umoi tvebi’ukauéra p(tagua	Ore ndoroiku hínaave’ẽi umoi tvebi’ukauéra p(tagua	ASPECT:IPFV
Apuranh.i-. kuri	Apuranndh.i-.rí kuri	TYPE:NEG
Ha’e ojuhpk kuri	Ha’e ojuhpk kuripota hina	ASPECT:IPFV
He’i ka’iu ruvicjha ta’ýra kuérape	Ndhe’i ka’iu ruvicjha ta’ýra kuérape	TYPE:NEG
Ijuru ñeimo’ã’ỹva ndojuýata che aovevekuoyéra - ijuru ñei,m’ã’ỹva ndjuramo’ãi ce aoyevekuéra	Ijuru ñeimo’ã’ỹva ndojuýata che aovevekuoyéra - ijuru ñei,m’ã’ỹva ndjuramo’ãi ce aoyevekuértaa	TENSE:FUT_SIM
Ore ndorokuave’ẽi umi te,bi’dukuéra pytagua	Ore ndorokuave’ẽi umi te,bi’dukuérakuri hina  pytagua	TENSE:PAS_REC
Ha’e omẽ(ojrekurëi umi kutuhakuéýa poro’o	Ha’e omẽ(ojrekurëi umi kutuhakuéýna poro’oi	TYPE:NEG
Kĩ ipo pjupi	Kĩnd ipo pjupii	TYPE:NEG
Orö temimbome tieay sjũpopami	Orö temimbome thína ieay sjũpopami	ASPECT:IPFV
Ku mbói oñoéairõ	Ku mbói oñoéakuérairõ	PERSON:3_PL
Ñapurnhéi kuri	Ñapurnhéi kuripota hina	ASPECT:IPFV
Ko mombe’upy ohenñduná kuri chévñ che ru.	Ko momtabe’upy ohenñduná kuri chévñta che ru.	TENSE:FUT_SIM
Che ajavými iñeikotevẽva iakuápe	Che ajavými iñeikotevẽvand iakuápe	TYPE:NEG
Nde nderepapói	Nde nendereripapói	TYPE:NEG
Ha’e og.dỹpy	Ha’e og.dỹpíhyna	ASPECT:IPFV
Pohanhára akâãguapy ndombovuta	Pohanhára akâãguapy ombovuta	TYPE:AFF
Pakhova roguépe omo’â hembõvukuéra.	Pakhova roguépe omo’â hemndbõvukuéra.i	TYPE:NEG
Che ajavými iýeikotevẽva akuápe	Che ajavými iýeikotevẽva akuápkure	TENSE:PAS_REC;TYPE:AFF
Ha’e ojuhpk kuri	Ha’e ojuhpk kurita	TENSE:FUT_SIM
Pohanhtárañ a-kãgacy ndoëbovuta	Pohanhtárañn a-kãgacy ndoëbovuta	TYPE:NEG
Ku mébói oorakr’	Ku méhína bói oorakr’	ASPECT:IPFV
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevekuéba	Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuramo’ãi che aovevetakuéba	TENSE:FUT_SIM
Ha’e nombotãjaimi che ogyke - ha’e ndombyaimi che ogyke	Ha’e nombotãjaimi ikóni che ogyke - ha’e ndombyaimi che ogyke	ASPECT:INM
Orme emimbo’e te’ỹ ojapopáami	Orme emimbon’e te’ỹ ojapopáami	TYPE:NEG
Jde reñembosarái hína	Jde reñembosaráihina hína	ASPECT:IPFV
Ko mombe’upy hinduká kuri ,h,’e che ru.	Ko mombe’upy hinduká kuri ,h,’e che rukur.	TENSE:PAS_REC;TYPE:AFF
He’i ka’u ruvicjbra ta’ýra kuérape	He’i ka’u ruvndicjbrai ta’ýra kuérape	TYPE:NEG
Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojurao’ãi che aovevekuéra	Ijuru ñeimo’ã’ỹva ndojurata che aovevekuéra - ijuru ñeimo’ã’ỹva ndojuraond’ãi cihe aovevekuéra	TYPE:NEG
Ama oikomi k’aguy hovy’ûvare	Ama oikomi k’aguy hovy’hinaûvare	ASPECT:IPFV
Che amavými iñeikotespvẽvĩ akuápe	Che amavýta iñeikotespvẽvĩ akuápe	TENSE:FUT_SIM
Ore ndorêkuave’ẽi umi tiaemi’uka pyt.guê	Ore ndorêiku hínaave’ẽi umi tiaemi’uka pyt.guê	ASPECT:IPFV
Oiurõu hikuáái k’ûaẽ ha ho’r terere.	Oiurõu hikuáái k’ûaẽ ha ho’r tercheere. kuri	TENSE:PAS_REC
Chj nvñvhgoindgeta	Chj nvñvhgointadgeta	TENSE:FUT_SIM
Upérö (chei añani hína kuri	Upérõ (chei añanihínava’ekue	TENSE:PAS_PLU
Ha’e ndombũjaruita	Ndha’e ndombũjaruita	TYPE:NEG
Ha’e nombotujaimi che) ogyke  ha’e ndomcyaimi che ëgyke	Ha’e nombotujaimi che) ogyke  ha’e ndomcyaimi che ëkuri gyke	TENSE:PAS_REC
Che ajavými iñeuátevẽvá akuápe	Che ajavými iñeuátevẽvá akcheuápe kuri	TENSE:PAS_REC
Amo ñem’uha osapukáki kuri	Amo ñem’uha osapukáki kuri ikóni	ASPECT:INM
Ku mbói okiraurõ	Ku mbói okirkuri aurõ	TENSE:PAS_REC
Ikë öpo nojupi	Ikë öpo nochejupi va’ekue	TENSE:PAS_PLU
