Táan wáaj a báaxal tu naajil báaxal yaan in báaxal tu naajil báaxal	Táan wáaj u báaxal tu naajil báaxal yaan u báaxal tu naajil báaxal	PERSON:3_SI
Táan wáaj a báaxal tu naajil báaxal sáansamal kin bin koonol merkaado	Táan wáaj u báaxalo'ob tu naajil báaxal sáansamal ku bino'ob koonol merkaado	PERSON:3_PL
Ma k'aja'anten buka'aj in ja'abili' tene' áak'ab kin bin merkaado	Ma' k'aja'anti' buka'aj u ja'abili' leti'e' áak'ab ku bin merkaado	PERSON:3_SI
Ook'in in bin tu k'íiwikil koonol tene' kin báaxal paarkée	Ook'in u bino'ob k'íiwikil koonol leti'obe' ku báaxalo'ob paarkée	PERSON:3_PL
Tu'ux kajakbalen jweenen ich kool	Tu'ux kajakbalo'ob jweeno'ob ich kool	PERSON:3_PL
Táan u bin koonol tu k'íiwikil koonol ta konaj a wotoch	Táan wáaj u bin koonol tu k'íiwikil koonol ta konaj wáaj a wotoch	SUBTYPE:INT
Yaan wáaj in bin koonol tu k'íiwikil koonol te' in taal tu kaajil kopomae'	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol te' u taalo'ob tu kaajil kopomae'	PERSON:3_PL
Jach wáaj k'a'abéet a bin merkaado ba'atelnajen te' tu kúuchil báaxalo'	Jach wáaj k'a'abéet u bino'ob merkaado ba'atelnajo'ob te' tu kúuchil báaxalo'	PERSON:3_PL
Kin in suut koonol merkaado táan in manik ja'as tu k'íiwikil koonol	Ts'o'ok in suut koonol merkaado ts'o'ok in manik janal tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Tin kaxtik a najil ta'aytak in chukik u ja'abil	Táan u kaxtik a najil ta'aytak u chukik u ja'abil	PERSON:3_SI
Yaan wáaj in bin koonol tu k'íiwikil koonol kin ts'íib tu naajil xook	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol ka ts'íibe'ex tu naajil xook	PERSON:2_PL
Tene' in jatsmajimbáaj ma' in wa'alik u k'aaba'	Leti'e' u jatsmajubáaj ma' u ya'alik u k'aaba'	PERSON:3_SI
Te' in taal tu kaajil kopomae' tene' ajkoonolen	Te' u taal tu kaajil kopomae' leti'e' ajkoonol	PERSON:3_SI
Ma' tin wilaj u sáastal tin kaajali' táan wáaj a bin koonol tu k'íiwikil koonol	Ma' tu yilo'ob u sáastal tu kaajalo'obi' táan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Tene' áak'ab kin bin merkaado yaan in boon tu naajil xook	Teche' áak'ab ka bin merkaado yaan a boon tu naajil xook	PERSON:2_SI
Táan in báaxal tu naajil báaxal tene' kin báaxal paarkée	Táan a báaxale'ex báaxal tu naajil báaxal te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Yaan in suut tu naajil xook teche' ma' wáaj áak'ab ka bin merkaadoi'	Yaan a suute'ex xook tu naajil xook te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
Táan in bin koonol merkaado tene' ti' in taali'	Táan u bin koonol merkaado leti'e' ti' u taali'	PERSON:3_SI
Ta wilaj wáaj u sáastal ta kaajal tene' kajakbalen weye'	Ta wile'ex wáaj u sáastal ta kaajale'ex te'exe' kajakbale'ex weye'	PERSON:2_PL
Tene' áak'ab kin bin tu k'íiwikil koonol tene' in jatsmajimbáaj	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol te'exe' a jatsmajaba'ex	PERSON:2_PL
Jbinen yéetel in éetailo'ob merkaado ma' táan in bin koonol merkaadoi'	Jbinech yéetel a éetailo'ob merkaado ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Tene' ma' jbúuleni' ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	Te'exe' ma' jbúule'exi' ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Táan in bin koonol tu k'íiwikil koonol yaan wáaj a xook tu naajil xook	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol yaan wáaj u xooko'ob tu naajil xook	PERSON:3_PL
Jayp'éel k'iino'ob ka bin merkaado mix teen kajakbalen ta wotoch	Jayp'éel k'iino'ob ku bino'ob merkaado mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Jach k'a'abéet in bin tu k'íiwikil koonol tin konaj in najil	Jach wáaj k'a'abéet in bin k'íiwikil koonol tin wáaj konaj in najil	SUBTYPE:INT
Ma k'aja'anten buka'aj in ja'abili' tene' kin báaxal tu naajil xook	Ma' k'aja'anto'on buka'aj k ja'abili' to'one' k báaxal tu naajil xook	PERSON:1_PL
Jweenen ich kool ma' tin wilikech merkaado	Jweenech ich kool ma' ta wiliken merkaado	PERSON:2_SI
Táan in boon tu naajil xook táan wáaj a báaxal tu naajil báaxal	Táan u boono'ob tu naajil xook táan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Tene' kin bin páak ich kool j-jaanen merkaado	Teche' ka bin páak ich kool j-jaanech merkaado	PERSON:2_SI
Jbinen yéetel in éetailo'ob merkaado mix teen kajakbalen ta wotoch	Jbino'ob yéetel u éetailo'ob merkaado mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Táan in bin koonol tu k'íiwikil koonol ma' tan in k'íilkabi'	Táan k bin koonol tu k'íiwikil koonol ma' tan k k'íilkabi'	PERSON:1_PL
Tin kaxtik a najil ba'atelnajen te' tu kúuchil báaxalo'	Tu kaxko'ob a najil ba'atelnajo'ob te' tu kúuchil báaxalo'	PERSON:3_PL
Ma' wáaj ta bin merkaado tene' ts'oka'an wáaj in beel	Ma' wáaj tu bin merkaado te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Tene' yaan ten xook ti' español yaan wáaj in bin koonol merkaado	To'onen yaanto'on xook ti' español yaan wáaj k bin koonol merkaado	PERSON:1_PL
Ma k'aja'anten buka'aj in ja'abili' ta wilaj wáaj u sáastal ta kaajal	Ma' k'aja'anti' buka'aj u ja'abili' tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Táan in xook tu naajil xook tene' ma' jbúuleni'	Táan k xook tu naajil xook to'one' ma' jbúulo'oni'	PERSON:1_PL
Tene' áak'ab kin bin tu k'íiwikil koonol tene' ts'oka'an wáaj in beel	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol te'exe' ts'oka'an wáaj a beele'ex	PERSON:2_PL
Táan wáaj a boon tu naajil xook tene' yaan ten xook ti' español	Táan wáaj u boon tu naajil xook leti'e' yaan xook ti' español	PERSON:3_SI
Táan wáaj a bin koonol merkaado ta'aytak in chukik u ja'abil	Táan wáaj u bino'ob koonol merkaado ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
