Yaan u suut tu naajil xook	Yaan u suut tu naajil xook	NOCHANGE
Ma' wáaj in chuk u ja'abili'	Ma' wáaj in chuk u ja'abili'	NOCHANGE
U láak' jump'éel le bejo'  wa ka k'uchukech te'ej	U láak' jump'éel le bejo'  wa ka k'uchukech te'ej	NOCHANGE
Tan in k'íilkab	Tan in k'íilkab	NOCHANGE
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíije'ex	NOCHANGE
Ba'atelnajech te' tu kúuchil báaxalo'	Ba'atelnajech te' tu kúuchil báaxalo'	NOCHANGE
óok'otnajech tu naajil xook	óok'otnajech tu naajil xook	NOCHANGE
Te'exe' ajkoonole'ex ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	NOCHANGE
Ma' wáaj ta bin merkaado	Ma' wáaj ta bin merkaado	NOCHANGE
Káaj in suut koonol merkaado	Káaj in suut koonol merkaado	NOCHANGE
Ma' a wojele'ex u ja'abili'	Ma' a wojele'ex u ja'abili'	NOCHANGE
Tu kaxtik a najil	Tu kaxtik a najil	NOCHANGE
Te'exe' ajkoonole'ex	Te'exe' ajkoonole'ex	NOCHANGE
U u yuumtsilo'ob xane'	U u yuumtsilo'ob xane'	NOCHANGE
Bey jach jaaj le xi'ipal bin u kaxtej  u t'aak'ine' tu ganarta túun bey leeti' ook te'el naj tu yilaj máax le ts'ajaan te'el najo'	Bey jach jaaj le xi'ipal bin u kaxtej  u t'aak'ine' tu ganarta túun bey leeti' ook te'el naj tu yilaj máax le ts'ajaan te'el najo'	NOCHANGE
Le xa'ano' ku t'a'abal túun	Le xa'ano' ku t'a'abal túun	NOCHANGE
U béeytal u takik tak u chi' ka	U béeytal u takik tak u chi' ka	NOCHANGE
Yaan wáaj a bin paarkée	Yaan wáaj a bin paarkée	NOCHANGE
Bueeno te'elo' ku ts'áabal xan le ch'ujuk waaj ku ma'analao' le pan ku ya'ala'alo' ku ts'áabal xan te'ej mejen paalalo'obo'	Bueeno te'elo' ku ts'áabal xan le ch'ujuk waaj ku ma'analao' le pan ku ya'ala'alo' ku ts'áabal xan te'ej mejen paalalo'obo'	NOCHANGE
Bey túun ts'o'ok u jóok'sa'al le waajo' ku	Bey túun ts'o'ok u jóok'sa'al le waajo' ku	NOCHANGE
Tene' jbúulen	Tene' jbúulen	NOCHANGE
Eee meen juntúul nojoch máak ba'ale'	Eee meen juntúul nojoch máak ba'ale'	NOCHANGE
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	NOCHANGE
Ku ts'áabal túun xan le ki'ibo'obo'	Ku ts'áabal túun xan le ki'ibo'obo'	NOCHANGE
Nukuch kúuchililo'ob le seentros séeremoniaales ku ya'ala'alo'	Nukuch kúuchililo'ob le seentros séeremoniaales ku ya'ala'alo'	NOCHANGE
Jela'an eee wolistak túuno' ku bin u ts'áako'ob u kruusil u kruusil tu chúumuk	Jela'an eee wolistak túuno' ku bin u ts'áako'ob u kruusil u kruusil tu chúumuk	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	NOCHANGE
-ba'an túun ken in meentej bix ken in meentil ka in wil máax le yaan te'elo' máax le yan te'elo'	-ba'an túun ken in meentej bix ken in meentil ka in wil máax le yaan te'elo' máax le yan te'elo'	NOCHANGE
Táan wáaj a bine'ex koonol tu k'íiwikil koonol	Táan wáaj a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	NOCHANGE
Le je'ela' k'as talam u tsoololil bey u tsikbalil	Le je'ela' k'as talam u tsoololil bey u tsikbalil	NOCHANGE
Ook'in a bin ich kool	Ook'in a bin ich kool	NOCHANGE
Ma' tek u'uyik wáaj ooxoli'	Ma' tek u'uyik wáaj ooxoli'	NOCHANGE
Ta wile'ex wáaj u sáastal ta kaajale'ex	Ta wile'ex wáaj u sáastal ta kaajale'ex	NOCHANGE
Te'exe' yaante'ex u áanalte'il u xookil matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	NOCHANGE
