Tek núukaj buka'aj k ja'abil	Tu núukaj buka'aj u ja'abil	PERSON:3_SI
Yaan a jochik chak nal ta kool	Yaan u jochiko'ob chak nal tu koolo'ob	PERSON:3_PL
Ma' tin manaj in wotochi'	Ma' tin manaj in wotochi'	NOCHANGE
Yaan in suut tu naajil xook teche' ma' wáaj áak'ab ka bin merkaadoi'	Yaan a suute'ex xook tu naajil xook te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
ku ts'íibo'ob tu naajil xook	ku ts'íibo'ob tu naajil xook	NOCHANGE
Táan wáaj a bine'ex koonol merkaado	Táan wáaj k bin koonol merkaado	PERSON:1_PL
Táan k bin koonol merkaado	Táan u bin koonol merkaado	PERSON:3_SI
Ma k'aja'anten buka'aj in ja'abili' táan wáaj a bin koonol merkaado	Ma' k'aja'ante'ex buka'aj a ja'abile'exi' táan wáaj a bine'ex koonol merkaado	PERSON:2_PL
Ma' táan in bin ich kooli' ba'atelnajen te' tu kúuchil báaxalo'	Ma' táan a bin ich kooli' ba'atelnajech te' tu kúuchil báaxalo'	PERSON:2_SI
Jayp'éel k'iino'ob ku bin merkaado	Jayp'éel k'iino'ob ka bine'ex merkaado	PERSON:2_PL
Táan in bin koonol merkaado tene' ti' in taali'	Táan u bin koonol merkaado leti'e' ti' u taali'	PERSON:3_SI
Tan k k'íilkab	Tan a k'íilkab	PERSON:2_SI
To'one' ajkoonolo'on ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	PERSON:2_PL
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Tene' ti' in taali' óok'otnajen tu naajil xook	To'one' ti' in taalo'oni' óok'otnajo'on tu naajil xook	PERSON:1_PL
Leti'e' áak'ab ku bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Yaan in xook tu naajil xook ma' tin wu'uyik ooxoli'	Yaan u xook tu naajil xook ma' tu yu'ubik ooxoli'	PERSON:3_SI
Yaan wáaj u bin koonol merkaado	Yaan wáaj a bin koonol merkaado	PERSON:2_SI
To'one' in k'aaba'one'	To'one' in k'aaba'one'	NOCHANGE
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ka wiliken merkaado	Kin wilike'ex merkaado	PERSON:1_PL
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ba'atelnaje'ex te' tu kúuchil báaxalo'	NOCHANGE
Ma' táan ek bin ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Táan in kaaxtik a wotoch táan wáaj a bin koonol tu k'íiwikil koonol	Táan u kaaxtik a wotoch táan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Kin manik nikte'ob tu k'íiwikil koonol	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Leti'obe' u k'aaba'obe'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Tin kaxtik a najil	Tin kaxtik a najil	NOCHANGE
Tan u k'íilkabo'ob	Tan u k'íilkabo'ob	NOCHANGE
Leti'obe' ti' kajakbalo'ob tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Táan wáaj a xook tu naajil xook yaan in boon tu naajil xook	Táan wáaj a xooke'ex xook tu naajil xook yaan a boone'ex xook tu naajil xook	PERSON:2_PL
Ma' tin wu'uyik ooxoli' ma' wáaj ta bin merkaado	Ma' tu yu'ubiko'ob ooxoli' ma' wáaj tu bino'ob merkaado	PERSON:3_PL
J-jaanech merkaado	J-jaanech merkaado	NOCHANGE
Leti'obe' ti' u taalo'obi'	To'one' ti' k taali'	PERSON:1_PL
Táan wáaj a bin ich kool jweenen merkaado	Táan wáaj a bine'ex ich kool jweene'ex merkaado	PERSON:2_PL
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ta manaj a najil ta manaj a wotoch	Ta manaj wáaj a najil ta manaj wáaj a wotoch	SUBTYPE:INT
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Tene' ts'oka'an wáaj in beel tene' ti' in taali'	Leti'obe' ts'oka'an wáaj u beelo'ob leti'obe' ti' u taalo'obi'	PERSON:3_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Yaan wáaj k bin koonol merkaado	Yaan wáaj a bine'ex koonol merkaado	PERSON:2_PL
Te'exe' kajakbale'ex weye'	Leti'obe' kajakbalo'ob weye'	PERSON:3_PL
Táan k suut tu naajil xook	Táan u suut tu naajil xook	PERSON:3_SI
Ma' wáaj in chuk u ja'abili'	Ma' wáaj in chuk u ja'abili'	NOCHANGE
Sáansamal ku bino'ob merkaado	Sáansamal ku bino'ob merkaado	NOCHANGE
Ma' tu yu'ubik wáaj ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	PERSON:2_PL
Sáansamal ku bino'ob merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
J-jaanen merkaado	J-jaanen merkaado	NOCHANGE
Ma' u yojelo'ob u ja'abili'	Ma' a wojel u ja'abili'	PERSON:2_SI
Táan wáaj k boon tu naajil xook	Táan wáaj u boon tu naajil xook	PERSON:3_SI
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Yaan a boon tu naajil xook	Yaan a boone'ex xook tu naajil xook	PERSON:2_PL
Te'exe' a k'aaba'exe'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Te'exe' ma' jbúule'exi'	Leti'e' ma' jbúuli'	PERSON:3_SI
Leti'obe' ts'oka'an wáaj u beelo'ob	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
