Source	Target	Change
Leti'e' áak'ab ku bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	PERSON:2_SI
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj in bin koonol tu k'íiwikil koonol	NOCHANGE
Táan a báaxale'ex báaxal tu naajil báaxal	Táan a báaxale'ex báaxal tu naajil báaxal	NOCHANGE
Táan wáaj k báaxal tu naajil báaxal	Táan wáaj k báaxal tu naajil báaxal	NOCHANGE
Ma' wáaj tu bino'ob merkaado	Ma' wáaj ta bine'ex merkaado	PERSON:2_PL
Táan u báaxal tu naajil báaxal	Táan a báaxal tu naajil báaxal	PERSON:2_SI
óok'otnajech tu naajil xook	óok'otnajech tu naajil xook	NOCHANGE
Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	PERSON:3_SI
Leti'e' ku báaxal paarkée	Te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Leti'obe' u jatsmajuba'ob	Leti'obe' u jatsmajuba'ob	NOCHANGE
Jsa'atech wáaj te' paarkéeo'	Jsa'atech wáaj te' paarkéeo'	NOCHANGE
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' tu yilo'ob u sáastal tu kaajalo'obi'	Ma' tu yilaj u sáastal tu kaajali'	PERSON:3_SI
Tene' ma' jbúuleni'	Tene' ma' jbúuleni'	NOCHANGE
Te'exe' kajakbale'ex weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Tan u k'íilkabo'ob	Tan k k'íilkab	PERSON:1_PL
Leti'obe' ti' u taalo'obi'	To'one' ti' in taalo'oni'	PERSON:1_PL
Ma' tin manaj in wotochi'	Ma' tin manaj in wotochi'	NOCHANGE
Te' a taale'ex tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Jweenen ich kool	Jweenen ich kool	NOCHANGE
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ma' u yojelo'ob u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Te'exe' a jatsmajaba'ex	Te'exe' a jatsmajaba'ex	NOCHANGE
Ook'in a bin tu k'íiwikil koonol	Ook'in a bin tu k'íiwikil koonol	NOCHANGE
Jsa'atech te' tu kúuchil báaxalo'	Jsa'atech te' tu kúuchil báaxalo'	NOCHANGE
Táan a báaxal tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Ma' tu yu'ubik wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	PERSON:3_PL
To'one' ti' in taalo'oni'	Leti'e' ti' u taali'	PERSON:3_SI
Ma' jach k'a'abéet u bin k'íiwikil koonoli'	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Tene' in wojel wáaj bix u k'aaba'	Tene' in wojel wáaj bix u k'aaba'	NOCHANGE
Táan a bine'ex koonol merkaado	Táan u bino'ob koonol merkaado	PERSON:3_PL
Suuk wáaj in jóok'ol koonol tu k'íiwikil koonol	Suuk wáaj in jóok'ol koonol tu k'íiwikil koonol	NOCHANGE
Leti'e' u k'aaba'e'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
Yaan wáaj in bin ich kool	Yaan wáaj in bin ich kool	NOCHANGE
Te' k taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Jach wáaj k'a'abéet u bino'ob merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Te'exe' ka báaxale'ex paarkée	To'one' k báaxal paarkée	PERSON:1_PL
Táan wáaj ek bin ich kool	Táan wáaj ek bin ich kool	NOCHANGE
Yaan wáaj a bin ich kool	Yaan wáaj a bin ich kool	NOCHANGE
Tu meentiko'ob janal ich kool	Ta meentik janal ich kool	PERSON:2_SI
Leti'e' ts'oka'an wáaj u beel	Leti'e' ts'oka'an wáaj u beel	NOCHANGE
Ma' ts'oka'an u beeli'	Ma' ts'oka'an a beeli'	PERSON:2_SI
J-jaanech merkaado	J-jaane'ex merkaado	PERSON:2_PL
Mix tu manik u najil	Mix tu manik u najil	NOCHANGE
Mix teech kajakbalech ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Ts'oka'an wáaj a beel	Ts'oka'an wáaj a beel	NOCHANGE
Yaan a boone'ex xook tu naajil xook	Yaan a boon tu naajil xook	PERSON:2_SI
Te'exe' ajkoonole'ex	Teche' ajkoonolech	PERSON:2_SI
K'a'abéet in suut koonol merkaado	K'a'abéet in suut koonol merkaado	NOCHANGE
Ka'abeje' yaan u bino'ob koonol merkaado	Ka'abeje' yaan a bine'ex koonol merkaado	PERSON:2_PL
Yaan wáaj a bine'ex ich kool	Yaan wáaj u bin ich kool	PERSON:3_SI
Leti'e' áak'ab ku bin merkaado	Teche' áak'ab ka bin merkaado	PERSON:2_SI
Yaan wáaj u bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Táan u boono'ob tu naajil xook	Táan u boon tu naajil xook	PERSON:3_SI
Ma' táan a bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Tu u yojel u ja'abili'	Tu u yojel u ja'abili'	NOCHANGE
Ma' táan u bin koonol merkaadoi'	Ma' táan a bin koonol merkaadoi'	PERSON:2_SI
Tene' in wojel bix u k'aaba'	Tene' in wojel bix u k'aaba'	NOCHANGE
Te'exe' jbúule'ex	To'one' jbúulo'on	PERSON:1_PL
To'one' k k'aaba'e'	To'one' in k'aaba'one'	ASPECT:HAB;PERSON:1_PL
Máax yéetel taak a bin koonol tu kúuchil báaxal	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
Sáansamal kin bin koonol merkaado	Sáansamal kin bin koonol merkaado	NOCHANGE
Mix teech kajakbalech ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Sáansamal ka bine'ex merkaado	Sáansamal ku bin merkaado	PERSON:3_SI
Ka'abeje' yaan u bino'ob koonol merkaado	Ka'abeje' yaan a bin koonol merkaado	PERSON:2_SI
Ma' ta wiliken tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	PERSON:1_SI
Táan a bine'ex koonol merkaado	Táan a bin koonol merkaado	PERSON:2_SI
Ta núukaj buka'aj a ja'abil	Tu núukaj buka'aj u ja'abilo'ob	PERSON:3_PL
Táan u bino'ob koonol merkaado	Táan u bino'ob koonol merkaado	NOCHANGE
Ta'aytak u chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ma' ts'oka'an k beeli'	Ma' ts'oka'an k beeli'	NOCHANGE
Máax yéetel ka bin koonol tu kúuchil báaxal	Máax yéetel ka bin koonol tu kúuchil báaxal	NOCHANGE
Táan u bin koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Táan wáaj u xook tu naajil xook	Táan wáaj k xook tu naajil xook	PERSON:1_PL
Ba'ax ja'abil jsíijo'ob	Ba'ax ja'abil jsíijo'ob	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ba'atelnaje'ex te' tu kúuchil báaxalo'	NOCHANGE
Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	PERSON:3_PL
Ta konaj a najil	Ta konaj a najil	NOCHANGE
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
To'one' k jatsmajekbáaj	Leti'obe' u jatsmajuba'ob	PERSON:3_PL
Ka'abeje' yaan a bine'ex koonol	Ka'abeje' yaan a bin koonol	PERSON:2_SI
Kin in suut koonol merkaado	K'a'abéet in suut koonol merkaado	ASPECT:OBL
Ook'in a bin ich kool	Ook'in a bin ich kool	NOCHANGE
Mix to'on kajakbalo'on ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Suuk in bin koonol tu k'íiwikil koonol	Yaan in bin koonol tu k'íiwikil koonol	ASPECT:COM
Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	Tu'ux k'íiwikil koonol taak a jóok'ol koonol	ASPECT:DES
Teche' jbúulech wáaj	Teche' jbúulech wáaj	NOCHANGE
Ta'aytak a chukik u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' suuk in bin maan tu k'íiwikil koonoli'	NOCHANGE
Ma' tu yu'ubik ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Suuk in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
Ma' táan in bin maan tu k'íiwikil koonoli'	Ma' táan in bin maan tu k'íiwikil koonoli'	NOCHANGE
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	NOCHANGE
Je'el in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
To'one' k u'uyik wáaj ooxol	Leti'o'obe' ku yu'ubiko'ob ooxol	PERSON:3_PL
Ma' táan ek bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	Tu'ux k'íiwikil koonol taak a jóok'ol koonol	ASPECT:DES
Táan u meyajo'ob ich kool	Táan a meyaje'ex ich kool	PERSON:2_PL
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Tu meentik janal ich kool	Ta meentik janal ich kool	PERSON:2_SI
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	NOCHANGE
Ma' tan a k'íilkabe'exi'	Ma' tan u k'íilkabo'obi'	PERSON:3_PL
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Te'exe' ts'oka'an wáaj a beele'ex	To'one' ts'oka'an wáaj k beel	PERSON:1_PL
Ma' wáaj tu bin merkaado	Ma' wáaj tu bino'ob merkaado	PERSON:3_PL
To'one' ti' kajakbalo'on tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	PERSON:3_PL
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	NOCHANGE
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:OBL
Táan u suuto'ob tu naajil xook	Táan a suut tu naajil xook	PERSON:2_SI
Teche' ti' kajakbalech tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	PERSON:1_PL
Táan wáaj u bino'ob koonol tu k'íiwikil koonol	Táan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Táan wáaj k xook tu naajil xook	Táan wáaj k xook tu naajil xook	NOCHANGE
Ma' k'aja'anti' buka'aj u ja'abili'	Ma' k'aja'anti' buka'aj u ja'abili'	NOCHANGE
Yaan u jochiko'ob chak nal tu koolo'ob	Yaan ek jochik chak nal tek kool	PERSON:1_PL
Leti'e' u k'aaba'e'	Leti'e' u k'aaba'e'	NOCHANGE
Te' a taale'ex tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
k ilaj wáaj u sáastal k kaajal	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Sáansamal ka bine'ex merkaado	Sáansamal ka bine'ex merkaado	NOCHANGE
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Yaan wáaj a bin paarkée	Yaan wáaj a bin paarkée	NOCHANGE
Yaan a jochike'ex chak nal ta koole'ex	Yaan u jochiko'ob chak nal tu koolo'ob	PERSON:3_PL
Yaan a jochike'ex chak nal ta koole'ex	Yaan ek jochik chak nal tek kool	PERSON:1_PL
Tin konaj in najil	Tin konaj in najil	NOCHANGE
Yaan k xook tu naajil xook	Yaan u xooko'ob tu naajil xook	PERSON:3_PL
Tu'ux kajakbalo'ob	Tu'ux kajakbalo'ob	NOCHANGE
Táan a boon tu naajil xook	Táan u boono'ob tu naajil xook	PERSON:3_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ook'in u bino'ob tu koolo'ob	Ook'in a bine'ex ta koole'ex	PERSON:2_PL
Leti'obe' ti' u taalo'obi'	Te'exe' ti' a taale'exi'	PERSON:2_PL
Yaan in suut tu naajil xook	Yaan in suut tu naajil xook	NOCHANGE
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
To'one' ti' k taali'	Te'exe' ti' a taale'exi'	PERSON:2_PL
Sáansamal ka bine'ex koonol merkaado	Sáansamal ka bine'ex koonol merkaado	NOCHANGE
Ts'oka'an wáaj u beelo'ob	Ts'oka'an wáaj u beelo'ob	NOCHANGE
Teche' jbúulech	To'one' jbúulo'on	PERSON:1_PL
Táan u xooko'ob tu naajil xook	Táan k xook tu naajil xook	PERSON:1_PL
Leti'e' kajakbal weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
To'one' kajakbalo'on weye'	Leti'e' kajakbal weye'	PERSON:3_SI
Mix teech kajakbalech ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Sáansamal ku bino'ob koonol merkaado	Sáansamal ku bino'ob koonol merkaado	NOCHANGE
Jbino'ob yéetel u éetailo'ob merkaado	Jbino'ob yéetel u éetailo'ob merkaado	NOCHANGE
Yaan in wilikech te' tu kúuchil báaxalo'	Yaan in wilikech te' tu kúuchil báaxalo'	NOCHANGE
Ook'in a bine'ex merkaado	Ook'in u bino'ob merkaado	PERSON:3_PL
To'one' ma' wáaj áak'ab kek bin merkaadoi'	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
Ook'in u bino'ob k'íiwikil koonol	Ook'in u bino'ob k'íiwikil koonol	NOCHANGE
Yaan in suut koonol merkaado	Yaan in suut koonol merkaado	NOCHANGE
Kin wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	NOCHANGE
Teche' áak'ab ka bin merkaado	Te'exe' áak'ab ka bine'ex merkaado	PERSON:2_PL
Mix te'ex kajakbale'ex ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Te' u taalo'ob tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Ta'aytak k chukik u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Tek núukaj buka'aj k ja'abil	Tu núukaj buka'aj u ja'abilo'ob	PERSON:3_PL
Leti'e' ma' jbúuli'	To'one' ma' jbúulo'oni'	PERSON:1_PL
Te'exe' a k'aaba'exe'	Te'exe' a k'aaba'exe'	NOCHANGE
Taak in suut koonol merkaado	Kin in suut koonol merkaado	ASPECT:HAB
Yaan wáaj a báaxal tu naajil báaxal	Yaan wáaj a báaxal tu naajil báaxal	NOCHANGE
Kin manik nikte'ob tu k'íiwikil koonol	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	ASPECT:COM
Yaan a báaxale'ex báaxal tu naajil báaxal	Yaan u báaxal tu naajil báaxal	PERSON:3_SI
Yaan wáaj a bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
to'one' k báaxal tu naajil xook	te'exe' ka báaxale'ex tu naajil xook	PERSON:2_PL
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	Teche' áak'ab wáaj ka bin tu k'íiwikil koonol	PERSON:2_SI
Yaan in boon tu naajil xook	Yaan in boon tu naajil xook	NOCHANGE
