Ma' u sa'atalo'ob le ba'ax tu p'atajto'on  knoolo'ono'	Ma' u sa'atalo'ob le ba'ax tu p'atajto'on  knoolo'ono'	NOCHANGE
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ka bine'ex merkaado	NOCHANGE
To'one' ti' k taali'	To'one' ti' k taali'	NOCHANGE
Ka'anal k'a'abéet u na'aksik ma'atáan u béeytal u na'akalo'	Ka'anal k'a'abéet u na'aksik ma'atáan u béeytal u na'akalo'	NOCHANGE
Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	NOCHANGE
jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	NOCHANGE
Leti' túun bine' bey jach ya'ab ba'al bin u yoojel bino'	Leti' túun bine' bey jach ya'ab ba'al bin u yoojel bino'	NOCHANGE
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	NOCHANGE
Ti' u beetiko'ob le kruuso'	Ti' u beetiko'ob le kruuso'	NOCHANGE
Bueenoleti'o'obe' ku tukultiko'obe' yaan ki'ichkelem yuum leeti'o'obe' jach tu jets'aj u tuukulo'ob  ti'al  le lelo'	Bueenoleti'o'obe' ku tukultiko'obe' yaan ki'ichkelem yuum leeti'o'obe' jach tu jets'aj u tuukulo'ob  ti'al  le lelo'	NOCHANGE
Tu kaxko'ob a najil	Tu kaxko'ob a najil	NOCHANGE
To'onen yaanto'on meyaj biología	To'onen yaanto'on meyaj biología	NOCHANGE
Ts'o'ok túun u meyajtiko'ob bey  u k'óolil  yéetel u káaxil tu láakal le je'elo' uu uu preparaartiko'ob beyo'	Ts'o'ok túun u meyajtiko'ob bey  u k'óolil  yéetel u káaxil tu láakal le je'elo' uu uu preparaartiko'ob beyo'	NOCHANGE
Chúumukle u  waajil el píib ken a meento'	Chúumukle u  waajil el píib ken a meento'	NOCHANGE
Ta meentike'ex janal ich kool	Ta meentike'ex janal ich kool	NOCHANGE
Teche' ka báaxal tu naajil xook	Teche' ka báaxal tu naajil xook	NOCHANGE
Jach k'a'abéet a bin merkaado	Jach k'a'abéet a bin merkaado	NOCHANGE
Leti'obe' ti' u taalo'obi'	Leti'obe' ti' u taalo'obi'	NOCHANGE
Ma' wáaj u chuko'ob u ja'abili'	Ma' wáaj u chuko'ob u ja'abili'	NOCHANGE
Yaan wáaj ek bin ich kool	Yaan wáaj ek bin ich kool	NOCHANGE
Ma' tin wu'uyik ooxoli'	Ma' tin wu'uyik ooxoli'	NOCHANGE
Sáansamal ka bine'ex koonol merkaado	Sáansamal ka bine'ex koonol merkaado	NOCHANGE
Ba'ax ja'abil jsíijij	Ba'ax ja'abil jsíijij	NOCHANGE
Máax kun náats'al bin te'el naj tbino' de kiinsbil u meentik tumeen leetie'  ma' u k'áat ka ojéelta'ak  tun bin	Máax kun náats'al bin te'el naj tbino' de kiinsbil u meentik tumeen leetie'  ma' u k'áat ka ojéelta'ak  tun bin	NOCHANGE
Ba'ax túun ken u beeto'obe' le binka'aj túun tasbil le waajo'	Ba'ax túun ken u beeto'obe' le binka'aj túun tasbil le waajo'	NOCHANGE
Ku júupulo'ob u ts'i'kte le bak'o'	Ku júupulo'ob u ts'i'kte le bak'o'	NOCHANGE
Leti'e' yaan u áanalte'il u xook matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	NOCHANGE
Ma' in k'aaba'i'	Ma' in k'aaba'i'	NOCHANGE
Chen ba'ax túune' esteee koomo ke u cha'a'maj u tsoone' kex táan u ts'onik le ba'alo' ma'atáan esten  u kíimil bin	Chen ba'ax túune' esteee koomo ke u cha'a'maj u tsoone' kex táan u ts'onik le ba'alo' ma'atáan esten  u kíimil bin	NOCHANGE
Kin bin koonol tu k'íiwikil koonol	Kin bin koonol tu k'íiwikil koonol	NOCHANGE
Teche' ma' táan a bin paak'áal tu kool	Teche' ma' táan a bin paak'áal tu kool	NOCHANGE
Sáansamal kin bin merkaado	Sáansamal kin bin merkaado	NOCHANGE
Ta'aytak a chukik u ja'abil	Ta'aytak a chukik u ja'abil	NOCHANGE
Ma' kajakbalo'ob tin wotochi'	Ma' kajakbalo'ob tin wotochi'	NOCHANGE
Tu'ux kajakbal	Tu'ux kajakbal	NOCHANGE
Ma' a wojel tu'ux u taali'	Ma' a wojel tu'ux u taali'	NOCHANGE
Leti'obe' u k'aaba'obe'	Leti'obe' u k'aaba'obe'	NOCHANGE
Ti' bin jump'éel sajkabe' ti kajlaj tun bin le chan nuuk bino'	Ti' bin jump'éel sajkabe' ti kajlaj tun bin le chan nuuk bino'	NOCHANGE
Ma' tu yu'ubiko'ob wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	NOCHANGE
Xa'ak'pesk'aja'an  in miaatsilo'on	Xa'ak'pesk'aja'an  in miaatsilo'on	NOCHANGE
Ku jóok's'aal le che'o'ob ku buuts'ilaankilo' ku p'a'atal  le jach	Ku jóok's'aal le che'o'ob ku buuts'ilaankilo' ku p'a'atal  le jach	NOCHANGE
Ku ku bey ts'o'ok u chokotal le tuunicho'ob túuno'	Ku ku bey ts'o'ok u chokotal le tuunicho'ob túuno'	NOCHANGE
Le je'elo'	Le je'elo'	NOCHANGE
Ku yilik bine' yaan jump'éel chan naj bin te'ej te'ej ichil le  solaar bey tu'ux ku meyajo'	Ku yilik bine' yaan jump'éel chan naj bin te'ej te'ej ichil le  solaar bey tu'ux ku meyajo'	NOCHANGE
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	To'one' áak'ab wáaj k bin tu k'íiwikil koonol	NOCHANGE
Suuk in suut koonol merkaado	Suuk in suut koonol merkaado	NOCHANGE
Táan a míistik in najil	Táan a míistik in najil	NOCHANGE
Ook'in a bin merkaado	Ook'in a bin merkaado	NOCHANGE
k'a'abéet in bin koonol tu k'íiwikil koonol	k'a'abéet in bin koonol tu k'íiwikil koonol	NOCHANGE
Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	NOCHANGE
Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	NOCHANGE
Teche' ajkoonolech ichil merkaado	Teche' ajkoonolech ichil merkaado	NOCHANGE
Yóok'sal mix jump'íit u k'ebanil yaan	Yóok'sal mix jump'íit u k'ebanil yaan	NOCHANGE
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
Yaan wáaj k bin koonol merkaado	Yaan wáaj k bin koonol merkaado	NOCHANGE
Ku ts'áabal túun sebooyai' ku ts'áabal aajoi'	Ku ts'áabal túun sebooyai' ku ts'áabal aajoi'	NOCHANGE
Táan u suut tu naajil xook	Táan u suut tu naajil xook	NOCHANGE
Le ma'aj ko'ojtako' leeti' chen je'ex le ktakiko'ob  de boono'ob  de chen jump'éel	Le ma'aj ko'ojtako' leeti' chen je'ex le ktakiko'ob  de boono'ob  de chen jump'éel	NOCHANGE
Leeti' bine' ma' tu meentaj kueenta te'el tu'ux ku	Leeti' bine' ma' tu meentaj kueenta te'el tu'ux ku	NOCHANGE
Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol	NOCHANGE
Kin wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	NOCHANGE
Ka bin tu yilaj u tíip'il juntúul nuxi' ba'al bin	Ka bin tu yilaj u tíip'il juntúul nuxi' ba'al bin	NOCHANGE
Tene' ts'oka'an wáaj in beel	Tene' ts'oka'an wáaj in beel	NOCHANGE
Xaaw  wa ku ts'áak jump'éel xiik'  wa ku ts'áak jump'éel u bak'el tseeme'	Xaaw  wa ku ts'áak jump'éel xiik'  wa ku ts'áak jump'éel u bak'el tseeme'	NOCHANGE
Ta konaj a najil	Ta konaj a najil	NOCHANGE
Táan in meyaj ich kool	Táan in meyaj ich kool	NOCHANGE
Táant in suut koonol merkaadoe'	Táant in suut koonol merkaadoe'	NOCHANGE
Ku ya'ala'ale' mejen paalal tumeen leeti'o'obe'	Ku ya'ala'ale' mejen paalal tumeen leeti'o'obe'	NOCHANGE
Bejla'ake' maas leeti' ktakiko'on	Bejla'ake' maas leeti' ktakiko'on	NOCHANGE
Ook'in a bin ich kool	Ook'in a bin ich kool	NOCHANGE
Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	NOCHANGE
Ichil túun le lela' ka tu taaso'ob le	Ichil túun le lela' ka tu taaso'ob le	NOCHANGE
K'iine' yaan ami' yaan k'iine' yaan ba'alo'obe' pues k'aa'an a tseliki'	K'iine' yaan ami' yaan k'iine' yaan ba'alo'obe' pues k'aa'an a tseliki'	NOCHANGE
Je'elo'  ka bino'ob tun bin jump'éel k'iin beyo' ka tu jóok'so'ob bin  le reeyo' bey ya'abo'obo'	Je'elo'  ka bino'ob tun bin jump'éel k'iin beyo' ka tu jóok'so'ob bin  le reeyo' bey ya'abo'obo'	NOCHANGE
Mejentak ma nuuktak u beenta'ali'	Mejentak ma nuuktak u beenta'ali'	NOCHANGE
Te'exe' bine'ex áalkab te' taam paarkéeo'	Te'exe' bine'ex áalkab te' taam paarkéeo'	NOCHANGE
Sáansamal ku bino'ob koonol merkaado	Sáansamal ku bino'ob koonol merkaado	NOCHANGE
Ma' táan u bino'ob ich kooli'	Ma' táan u bino'ob ich kooli'	NOCHANGE
Yaan wáaj u bino'ob ich kool	Yaan wáaj u bino'ob ich kool	NOCHANGE
Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	NOCHANGE
Je'ex le je'elo' jump'éel ba'aj jach	Je'ex le je'elo' jump'éel ba'aj jach	NOCHANGE
Táan a bine'ex koonol merkaado	Táan a bine'ex koonol merkaado	NOCHANGE
Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol	NOCHANGE
Ta míistik in najil	Ta míistik in najil	NOCHANGE
Nukuch kúuchililo'ob le seentros séeremoniaales ku ya'ala'alo'	Nukuch kúuchililo'ob le seentros séeremoniaales ku ya'ala'alo'	NOCHANGE
Le esten le nukuch túuto' ku  meyajta'al yéetel juuch'	Le esten le nukuch túuto' ku  meyajta'al yéetel juuch'	NOCHANGE
Ma'atáan u ye'eskubáao'ob wa ka xi'iken tin juunale' kin taasko'ob tu ka'atéene' tumeen yaan u taalo'ob tin paaach	Ma'atáan u ye'eskubáao'ob wa ka xi'iken tin juunale' kin taasko'ob tu ka'atéene' tumeen yaan u taalo'ob tin paaach	NOCHANGE
Leti'obe' ma' ts'oka'an u beelo'obi'	Leti'obe' ma' ts'oka'an u beelo'obi'	NOCHANGE
Yaan je'ex le k'ajóolta'an tulum jump'éel kaaj tu líik'so'ob	Yaan je'ex le k'ajóolta'an tulum jump'éel kaaj tu líik'so'ob	NOCHANGE
Láayli' xan	Láayli' xan	NOCHANGE
Ka wiliken merkaado	Ka wiliken merkaado	NOCHANGE
Tumeen bejla'ake' ku ya'alale' ma' es ke le paalalo'obo' yaan tojbe'enil ti' leeti'o'ob	Tumeen bejla'ake' ku ya'alale' ma' es ke le paalalo'obo' yaan tojbe'enil ti' leeti'o'ob	NOCHANGE
To'one' ajkoonolo'on	To'one' ajkoonolo'on	NOCHANGE
Ya'ab wíinik tak le nukuch máako'ob bejala'k te'ej kjtalo' bey u beetiko'ob	Ya'ab wíinik tak le nukuch máako'ob bejala'k te'ej kjtalo' bey u beetiko'ob	NOCHANGE
Eee páak'áal wa le esten le	Eee páak'áal wa le esten le	NOCHANGE
Españoles wa le káastelaan máako'obo'	Españoles wa le káastelaan máako'obo'	NOCHANGE
Kaasi bey je'ex u ya'ala'al	Kaasi bey je'ex u ya'ala'al	NOCHANGE
Ya'ab máax ku k'áat óolal	Ya'ab máax ku k'áat óolal	NOCHANGE
Uuu uu leti'o ka'achil le ka'achilo' ku beeta'al le p'úujo'	Uuu uu leti'o ka'achil le ka'achilo' ku beeta'al le p'úujo'	NOCHANGE
Bix u cha'anil u kaajlo'ob bey tsikbalo'ob ku meyajtiko'obo'  bix u kajlo'ob bix u kuxtalo'ob	Bix u cha'anil u kaajlo'ob bey tsikbalo'ob ku meyajtiko'obo'  bix u kajlo'ob bix u kuxtalo'ob	NOCHANGE
Leeti' ku ts'áabali' je'el puut	Leeti' ku ts'áabali' je'el puut	NOCHANGE
Te' u taalo'ob tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	NOCHANGE
Teche' ka bin paak'áal ich kool	Teche' ka bin paak'áal ich kool	NOCHANGE
Bix a sa'atal paarkée	Bix a sa'atal paarkée	NOCHANGE
Esten lelele k'áat chi' ti'al u yúuchul le	Esten lelele k'áat chi' ti'al u yúuchul le	NOCHANGE
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	NOCHANGE
Te'exe' jbúule'ex	Te'exe' jbúule'ex	NOCHANGE
Táan u bin koonol tu k'íiwikil koonol	Táan u bin koonol tu k'íiwikil koonol	NOCHANGE
Leeti' le ken in tsol xan ee	Leeti' le ken in tsol xan ee	NOCHANGE
Y le mejen xkoots'ob waajo'obo' tu báak'lik	Y le mejen xkoots'ob waajo'obo' tu báak'lik	NOCHANGE
Wa jump'éelili' ken a meente le waaj beyo'	Wa jump'éelili' ken a meente le waaj beyo'	NOCHANGE
Táan wáaj u bin koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	NOCHANGE
U este u píibil le waajo'	U este u píibil le waajo'	NOCHANGE
Táan k bin koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	NOCHANGE
Yaan wáaj u xook tu naajil xook	Yaan wáaj u xook tu naajil xook	NOCHANGE
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	NOCHANGE
To'one' ti' kajakbalo'on tu yotoche'	To'one' ti' kajakbalo'on tu yotoche'	NOCHANGE
Leti' bine' ma' tu cha'ao'ob u máan bin le meejilo'ob inal le nuxi' reey bino'  le nojoch reeyo'	Leti' bine' ma' tu cha'ao'ob u máan bin le meejilo'ob inal le nuxi' reey bino'  le nojoch reeyo'	NOCHANGE
Tréesieentos kuatrosieentos jump'éel	Tréesieentos kuatrosieentos jump'éel	NOCHANGE
Treese u yáalal le ka'ano' le sieteo' leeti' le yóok'ol kaabo' siete bin u yáalal le	Treese u yáalal le ka'ano' le sieteo' leeti' le yóok'ol kaabo' siete bin u yáalal le	NOCHANGE
Ken k'uchuk le nukuch máako'ob  jach a ti'ilo' bino' le yuum a ti'ile'exo'	Ken k'uchuk le nukuch máako'ob  jach a ti'ilo' bino' le yuum a ti'ile'exo'	NOCHANGE
Táan a báaxale'ex báaxal tu naajil báaxal	Táan a báaxale'ex báaxal tu naajil báaxal	NOCHANGE
Yaan in suut koonol merkaado	Yaan in suut koonol merkaado	NOCHANGE
Ma' táan in bin koonol tu k'íiwikil koonol	Ma' táan in bin koonol tu k'íiwikil koonol	NOCHANGE
Ma'  k'abéet u láaj jáabal le kib yóok'ol le tuunich tu'ux ta t'abo'	Ma'  k'abéet u láaj jáabal le kib yóok'ol le tuunich tu'ux ta t'abo'	NOCHANGE
Ee ba'axo'ob máax kun ts'áaik	Ee ba'axo'ob máax kun ts'áaik	NOCHANGE
Ma' táan a bine'ex koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
Ts'o'okole' pues tumeen úuch ka'ache' le chen ila'ak a takmaj a iipile'	Ts'o'okole' pues tumeen úuch ka'ache' le chen ila'ak a takmaj a iipile'	NOCHANGE
Tene' kin bin páak ich kool	Tene' kin bin páak ich kool	NOCHANGE
Táan wáaj a báaxale'ex báaxal tu naajil báaxal	Táan wáaj a báaxale'ex báaxal tu naajil báaxal	NOCHANGE
Ma'k  ichil bin bey u ya'alik bin bey te'ej máako'obo' ka bin cha'ab u bin ka a'ala'ab bin ti'e' - yaan in yaan in wiko'on tu'ux ka bin- ki bin	Ma'k  ichil bin bey u ya'alik bin bey te'ej máako'obo' ka bin cha'ab u bin ka a'ala'ab bin ti'e' - yaan in yaan in wiko'on tu'ux ka bin- ki bin	NOCHANGE
Uu u chan bix u ya'ala'al le	Uu u chan bix u ya'ala'al le	NOCHANGE
Ku ts'o'okol túune' ken ya'at le beyo' pues ku k'axik yóok'sal ma' u	Ku ts'o'okol túune' ken ya'at le beyo' pues ku k'axik yóok'sal ma' u	NOCHANGE
Táan wáaj a báaxal tu naajil báaxal	Táan wáaj a báaxal tu naajil báaxal	NOCHANGE
Tene' ajkoonolen	Tene' ajkoonolen	NOCHANGE
Mix teech kajakbalech ta wotoch	Mix teech kajakbalech ta wotoch	NOCHANGE
U u yuumtsilo'ob xane'	U u yuumtsilo'ob xane'	NOCHANGE
To'one' ts'oka'an wáaj k beel	To'one' ts'oka'an wáaj k beel	NOCHANGE
Te'ej je'el túuna' ti' túun kun beetbil le waajo'ob de to'obilo'	Te'ej je'el túuna' ti' túun kun beetbil le waajo'ob de to'obilo'	NOCHANGE
Jaan chen ba'al bine' ka'a bin káaj u k'aj óolta'al le jboob ku ya'ala'alo'	Jaan chen ba'al bine' ka'a bin káaj u k'aj óolta'al le jboob ku ya'ala'alo'	NOCHANGE
E máako'ob xan be'elake' pues táan in wiko'on bik le	E máako'ob xan be'elake' pues táan in wiko'on bik le	NOCHANGE
Ki'imak in wóol in bin ich kool	Ki'imak in wóol in bin ich kool	NOCHANGE
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	NOCHANGE
Jaan ka tu biso'ob túun bin le chan paal ku ya'ako'obe' pues	Jaan ka tu biso'ob túun bin le chan paal ku ya'ako'obe' pues	NOCHANGE
Tu ts'ook le bejo'	Tu ts'ook le bejo'	NOCHANGE
Puro láaj wa ka wile'  láaj u yich éespañooleso'ob yaan ti'	Puro láaj wa ka wile'  láaj u yich éespañooleso'ob yaan ti'	NOCHANGE
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' suuk in bin maan tu k'íiwikil koonoli'	NOCHANGE
Te'el miil óochocieentos kuareenta y sieete ka ba'ate'eltalnaj le	Te'el miil óochocieentos kuareenta y sieete ka ba'ate'eltalnaj le	NOCHANGE
Táan in báaxal tu naajil báaxal	Táan in báaxal tu naajil báaxal	NOCHANGE
Táan u xooko'ob tu naajil xook	Táan u xooko'ob tu naajil xook	NOCHANGE
Ka'ana'an u taasik ya'abkach si' ku meentik le nuxi' jool te'ej yóok'ol	Ka'ana'an u taasik ya'abkach si' ku meentik le nuxi' jool te'ej yóok'ol	NOCHANGE
Jach chen bin máak ku jaantik chen ba'ale  xiib bin ku jaantik u pool tun bin le máako'obo'bey bin chen bin leeti' ku jaantik	Jach chen bin máak ku jaantik chen ba'ale  xiib bin ku jaantik u pool tun bin le máako'obo'bey bin chen bin leeti' ku jaantik	NOCHANGE
Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
-chan xnuuko' ku ya'alik bin ti' leeti'e'  -pero chan winik  le tu'ux ka bino' táan a túun a wilik óoxp'éel bej yani'- ki bin	-chan xnuuko' ku ya'alik bin ti' leeti'e'  -pero chan winik  le tu'ux ka bino' táan a túun a wilik óoxp'éel bej yani'- ki bin	NOCHANGE
Leti'e' ma' jbúul wáaj	Leti'e' ma' jbúul wáaj	NOCHANGE
J-jaano'on merkaado	J-jaano'on merkaado	NOCHANGE
Kin p'atik tech le  ayiik'alila' kanántej meyajtej ba'ale' to'one' saajko'on in ch'a'o'one' wa kin  meyajto'on wa	Kin p'atik tech le  ayiik'alila' kanántej meyajtej ba'ale' to'one' saajko'on in ch'a'o'one' wa kin  meyajto'on wa	NOCHANGE
Táan a suute'ex xook tu naajil xook	Táan a suute'ex xook tu naajil xook	NOCHANGE
Kpues ku ts'áabal bin le lelo' yóok'sal bine' leeti'o'ob táan u jaantiko'ob le je'elo'	Kpues ku ts'áabal bin le lelo' yóok'sal bine' leeti'o'ob táan u jaantiko'ob le je'elo'	NOCHANGE
Yaan u xook tu naajil xook	Yaan u xook tu naajil xook	NOCHANGE
Jbinen áalkab te' taam paarkéeo'	Jbinen áalkab te' taam paarkéeo'	NOCHANGE
Teche' áak'ab ka bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	NOCHANGE
Wa le máax meyajtiko'ob le ch'a'aj cháako'	Wa le máax meyajtiko'ob le ch'a'aj cháako'	NOCHANGE
Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Ch'a' jump'éel responsabilidad u kanáant le ba'ax ku ye'esa'al ti' tumeen u noolo'	Ch'a' jump'éel responsabilidad u kanáant le ba'ax ku ye'esa'al ti' tumeen u noolo'	NOCHANGE
