Tene' ts'oka'an wáaj in beel tene' ti' in taali'	Leti'obe' ts'oka'an wáaj u beelo'ob leti'obe' ti' u taalo'obi'	PERSON:3_PL
Ma' táan in bin ich kooli' ba'atelnajen te' tu kúuchil báaxalo'	Ma' táan a bin ich kooli' ba'atelnajech te' tu kúuchil báaxalo'	PERSON:2_SI
Ki'imak in wóol in bin merkaado	Ki'imak in wóol in bin merkaado	NOCHANGE
Ki'imak in wóol in bin ich kool	Ki'imak in wóol in bin ich kool	NOCHANGE
Tin p'axaj u lu'umil uti'al in beetik in najil	Tin p'axaj u lu'umil uti'al in beetik in najil	NOCHANGE
Ma' tu yu'ubik wáaj ooxoli'	Ma' tu yu'ubik wáaj ooxoli'	NOCHANGE
Yaan wáaj k báaxal tu naajil báaxal	Yaan wáaj k báaxal tu naajil báaxal	NOCHANGE
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Tene' kajakbalen weye' ma' táan in bin ich kooli'	Leti'e' kajakbal weye' ma' táan u bin ich kooli'	PERSON:3_SI
Tene' áak'ab kin meyaj te' tu kúuchil ts'akyajo'	Tene' áak'ab kin meyaj te' tu kúuchil ts'akyajo'	NOCHANGE
Ka'abeje' yaan in bin tu k'íiwikil koonol	Ka'abeje' yaan in bin tu k'íiwikil koonol	NOCHANGE
Ma' tu yu'ubik ooxoli'	Ma' tu yu'ubik ooxoli'	NOCHANGE
Te'exe' kajakbale'ex weye'	Te'exe' kajakbale'ex weye'	NOCHANGE
Tan in k'íilkab	Tan in k'íilkab	NOCHANGE
Táan wáaj a bin koonol tu k'íiwikil koonol táan in meyaj ich kool	Táan wáaj u bino'ob koonol tu k'íiwikil koonol táan u meyajo'ob ich kool	PERSON:3_PL
Táan in suut koonol merkaado	Táan in suut koonol merkaado	NOCHANGE
Tene' ts'oka'an wáaj in beel tin konaj in najil	Teche' ts'oka'an wáaj a beel ta konaj a najil	PERSON:2_SI
Ba'ax ja'abil jsíijo'ob	Ba'ax ja'abil jsíijo'ob	NOCHANGE
Tene' kin báaxal tu naajil xook	Tene' kin báaxal tu naajil xook	NOCHANGE
Ba'atelnajo'ob te' tu kúuchil báaxalo'	Ba'atelnajo'ob te' tu kúuchil báaxalo'	NOCHANGE
Yaan a taal óok'ot	Yaan a taal óok'ot	NOCHANGE
Tene' ti' kajabalen tu yot-che'	Tene' ti' kajab'a'abéet alen tu yot-che'	ASPECT:OBL
Táan u yáalkab tu jáal ja'	Táan u yáalkab tu jáal ja'	NOCHANGE
Táan wáaj u báaxal tu naajil báaxal	Táan wáaj u báaxal tu naajil báaxal	NOCHANGE
Ma' tu yilaj u sáastal tu kaajali'	Ma' tu yilaj u sáastal tu kaajali'	NOCHANGE
Te' in tamal tñ kaalli kopom1e'	Te' in tamal tñ kaalli kopom1e'	PERSON:1_SI
Yaan in boon tu naajil x1ok	Yaan in boo'ex tu naajil x1ok	PERSON:2_PL
Leti'e' áak'ab ku bin merkaado	Leti'e' áak'ab ku bin merkaado	NOCHANGE
Teche' áak'ab ka bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	NOCHANGE
Teche' ka bin xíimbal tu najil	Teche' ka bin xíimbal tu najil	NOCHANGE
Te'exe' ka taale'ex paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	NOCHANGE
Tu'ux kajakbalen yaan in jochik chak nal tin kool	Tu'ux kajakbale'ex yaan a jochike'ex chak nal ta koole'ex	PERSON:2_PL
Ma' tin wilaj u sáastal tin kaajali' ma' tan in k'íilkabi'	Ma' tu yilaj u sáastal tu kaajali' ma' tan u k'íilkabi'	PERSON:3_SI
Tene' ti' kajakbalen tu yotoche' tene' ts'oka'an wáaj in beel	Teche' ti' kajakbalech tu yotoche' teche' ts'oka'an wáaj a beel	PERSON:2_SI
Ma' tin wilikech merkaado	Ma' tin wilikech merkaado	NOCHANGE
To'onen yaanto'on u áanalte'il k xook matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	NOCHANGE
To'one' k k'aaba'e'	To'one' k k'aaba'e'	NOCHANGE
kin ts'íib tu naajil xook	kin ts'íib tu naajil xook	NOCHANGE
Táan wáaj a boon tu naajil xook ma' táan in bin koonol tu k'íiwikil koonol	Táan wáaj a boone'ex xook tu naajil xook ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Tenó' áak'au kin bin merkamdo	Tenó'' áake'ex'au kin bin merkamdo	PERSON:2_PL
Jbino'ob yéetel u éetailo'ob merkaado	Jbino'ob yéetel u éetailo'ob merkaado	NOCHANGE
Ma' a wojel tu'ux u taali'	Ma' a wojel tu'ux u taali'	NOCHANGE
Ma' ta w-'uyik ohúaxoli'	Suum a' ta w-'uyik ohúaxoli'	ASPECT:CUS
To'one' kek bin paak'áal ich kool	To'one' kek bin paak'áal ich kool	NOCHANGE
A'ot ts'oka'an in beeli'	A'ott ts'oka'an in beeli'e'	ASPECT:IMM;TENSE:PAS_SIM
Tene' kin báaxal paarkée	Tene' kin báaxal paarkée	NOCHANGE
Yaan wáaj u bin koonol merkaado	Yaan wáaj u bin koonol merkaado	NOCHANGE
Ook'in u bino'ob tu koolo'ob	Ook'in u bino'ob tu koolo'ob	NOCHANGE
Tene' yaan ten meyaj biología ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Leti'e' yaan meyaj ti' biología ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	PERSON:3_SI
Ma' taak in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	NOCHANGE
Táan a xook tu naajil xook	Táan a xook tu naajil xook	NOCHANGE
Ma' táan in bin koonol tu k'íiwikil koonol yaan in jochik chak nal tin kool	Ma' táan a bin koonol tu k'íiwikil koonol yaan a jochik chak nal ta kool	PERSON:2_SI
Te'exe' yaante'ex xook ti' español	Te'exe' yaante'ex xook ti' español	NOCHANGE
To'one' jbúulo'on wáaj	To'one' jbúulo'on wáaj	NOCHANGE
Yaan in báaxal tu naajil báaxal jach k'a'abéet a bin tu k'íiwikil koonol	Yaan a báaxale'ex báaxal tu naajil báaxal jach k'a'abéet a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli' táan wáaj a bin ich kool	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli' táan wáaj u bino'ob ich kool	PERSON:3_PL
Tene' kin báaxal paarkée tene' kin báaxal tu naajil xook	Te'exe' ka báaxale'ex paarkée te'exe' ka báaxale'ex tu naajil xook	PERSON:2_PL
Ma' táan in bin koonol merkaadoi' ma' táan in bin koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi' ma' táan k bin koonol merkaadoi'	PERSON:3_PL
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol sáansamal kin bin koonol merkaado	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol sáansamal ka bine'ex koonol merkaado	PERSON:2_PL
Táan in meyaj ich kool tene' yaan ten u áanalte'il in xook matemáticas	Táan u meyaj tu kool leti'e' yaan u áanalte'il u xook matemáticas	PERSON:3_SI
Yaan wáaj in bin koonol merkaado yaan wáaj in bin ich kool	Yaan wáaj a bine'ex koonol merkaado yaan wáaj a bine'ex ich kool	PERSON:2_PL
Táan a suut tu naajil xook	Táan a suut tu naajil xook	NOCHANGE
Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	NOCHANGE
Ta manaj wáaj u k'áaxil uti'al a beetik a kool	Ta manaj wáaj u k'áaxil uti'al a beetik a kool	NOCHANGE
Táan in suut tu naajil xook tene' áak'ab wáaj kin bin tu k'íiwikil koonol	Táan k suut tu naajil xook to'one' áak'ab wáaj k bin tu k'íiwikil koonol	PERSON:1_PL
Ma' wáaj tu bino'ob merkaado	Ma' wáaj tu bino'ob merkaado	NOCHANGE
Ma' kajakbalo'on tin wotochi'	Ma' kajakbalo'on tin wotochi'	NOCHANGE
Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	NOCHANGE
Yaan in xook tu naajil xook táan in meyaj ich kool	Yaan a xook tu naajil xook táan a meyaj ich kool	PERSON:2_SI
Jbinen áalkwb te' taacm payykéeo'	Jbi wáajnen áalkwb te' taacm payykéeo'	SUBTYPE:INT
K'aaynajen tu naajil xook yaan in báaxal tu naajil báaxal	K'aaynaje'ex tu naajil xook yaan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	NOCHANGE
Tin konaj in wotoch	Tin konaj in wotoch	NOCHANGE
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	NOCHANGE
Táan u bin koonol tu k'íiwikil koonol yaan ti' te'ex 17 ja'abo'ob	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli' mina'an wáaj ti'ob 17 ja'abo'ob	TYPE:NEG
Yaán in jokchiw chajk nkal tin kool	Yaán iaj wán jokchiw chajk nkal tin kool	SUBTYPE:INT
Jjóok'en áalkab te' tu kúuchil báaxalo'	Jjóok'en áalkab te' tu kúuchil báaxalo'	NOCHANGE
Te'exe' ma' jbúule'exi'	Te'exe' ma' jbúule'exi'	NOCHANGE
Tene' kin bin páak ich kool jweenen ich kool	Teche' ka bin páak ich kool jweenech ich kool	PERSON:2_SI
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	NOCHANGE
Tu'ux kajakbalo'on	Tu'ux kajakbalo'on	NOCHANGE
Ma' a wa'alike'ex u k'aaba'	Ma' a wa'alike'ex u k'aaba'	NOCHANGE
Yaan ti' te'ex 17 ja'abo'ob to'one' áak'ab k bin tu k'íiwikil koonol	Yaan wáaj ti' te'ex kex 17 ja'abo'ob to'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'	TYPE:NEG;SUBTYPE:INT
Tene' áak'ab kin bin tu k'íiwikil koonol tene' jbúulen	Teche' áak'ab ka bin tu k'íiwikil koonol teche' jbúulech	PERSON:2_SI
