Jach wáaj k'a'abéet a bin merkaado ba'atelnajen te' tu kúuchil báaxalo'	Jach wáaj k'a'abéet u bino'ob merkaado ba'atelnajo'ob te' tu kúuchil báaxalo'	PERSON:3_PL
Ook'in in bin ich kool tin kaxtik a najil	Ook'in u bino'ob tu koolo'ob tu kaxko'ob a najil	PERSON:3_PL
Ka bin esten tu t'aabaj tu t'abaj je'el bix yoojelil u ta'abal bin  chenba'ale' ka tu ta'abaj tu t'abaj	Ka bin esten tu t'aabaj tu t'abaj je'el bix yoojelil u ta'abal bin  chenba'ale' ka tu ta'abaj tu t'abaj	NOCHANGE
Ka tu kíinso'ob bin tu tóokajo'ob bin	Ka tu kíinso'ob bin tu tóokajo'ob bin	NOCHANGE
Le ka k'uch le éespañooleso'ob bino' ka  bin u je'elpajal ya'ab ba'ax ichil le kuxtal máasewáalo'	Le ka k'uch le éespañooleso'ob bino' ka  bin u je'elpajal ya'ab ba'ax ichil le kuxtal máasewáalo'	NOCHANGE
Ka'abeje' yaan in bin merkaado ts'oka'an wáaj in beel	Ka'abeje' yaan u bino'ob koonol merkaado ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Yaan a tasik u tuunichile'	Yaan a tasik u tuunichile'	NOCHANGE
Tene' kajakbalen weye' ma' tin wu'uyik ooxoli'	Te'exe' kajakbale'ex weye' ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ka tu bisaj bin kajtal tu chan palaasio rey tumeen ts'áab tak u naay	Ka tu bisaj bin kajtal tu chan palaasio rey tumeen ts'áab tak u naay	NOCHANGE
Ka binij ka jo'op' u bin bin tu kuchaj u u chan nook ba'alo'ob beyo' jump'íit chan jaanal tu kaxtaj beyo'  tu kuchaj	Ka binij ka jo'op' u bin bin tu kuchaj u u chan nook ba'alo'ob beyo' jump'íit chan jaanal tu kaxtaj beyo'  tu kuchaj	NOCHANGE
Le táasche'o'ob beeta'abo'	Le táasche'o'ob beeta'abo'	NOCHANGE
Uk'ulo' ku beetiko'ob le nukuch túuto'	Uk'ulo' ku beetiko'ob le nukuch túuto'	NOCHANGE
Ma' wáaj jach k'a'abéet in bin merkaadoi' ma' ta wu'uyik  wáaj ooxoli'	Ma' wáaj jach k'a'abéet u bin merkaadoi' ma' tu yu'ubik wáaj ooxoli'	PERSON:3_SI
Ti' kun beentbil túuni'	Ti' kun beentbil túuni'	NOCHANGE
Jweenen ich kool yaan wáaj in bin ich kool	Jweeno'ob ich kool yaan wáaj u bino'ob ich kool	PERSON:3_PL
Bey uuuu k'a'k'atts'áabil ken a ts'aaj beya'	Bey uuuu k'a'k'atts'áabil ken a ts'aaj beya'	NOCHANGE
Ku ts'okol túune' je'ex in wa'alik techo' ku ts'áak jump'éel	Ku ts'okol túune' je'ex in wa'alik techo' ku ts'áak jump'éel	NOCHANGE
Bejla'ake' maas leeti' ktakiko'on	Bejla'ake' maas leeti' ktakiko'on	NOCHANGE
Ma' tan in k'íilkabi' tene' kin bin páak ich kool	Ma' tan k k'íilkabi' to'one kek bin páak ich kool	PERSON:1_PL
Nojoch bey bejla'ak yaan kin wilik	Nojoch bey bejla'ak yaan kin wilik	NOCHANGE
Tene' ma' jbúuleni' ma' táan in bin ich kooli'	Te'exe' ma' jbúule'exi' ma' táan a bine'ex ich kooli'	PERSON:2_PL
Tumeen tene' ma' uts in wiliki'	Tumeen tene' ma' uts in wiliki'	NOCHANGE
To'one' áak'ab k bin tu k'íiwikil koonol ta konaj a najil	To'one' áak'ab wáaj k bin tu k'íiwikil koonol ta konaj wáaj a najil	SUBTYPE:INT
Ma k'aja'anten buka'aj in ja'abili' tene' áak'ab kin bin merkaado	Ma' k'aja'anti' buka'aj u ja'abili' leti'e' áak'ab ku bin merkaado	PERSON:3_SI
Uu uu yáalal le ka le kaab	Uu uu yáalal le ka le kaab	NOCHANGE
Sáam u meente le píibo'	Sáam u meente le píibo'	NOCHANGE
To'on te'ej k'iinilo'oba' pues  le ilik xan túun meyajtik lak  knuuktakilo'on	To'on te'ej k'iinilo'oba' pues  le ilik xan túun meyajtik lak  knuuktakilo'on	NOCHANGE
Ma k'aja'anten buka'aj in ja'abili' táan in bin koonol tu k'íiwikil koonol	Ma' k'aja'anti'ob buka'aj u ja'abilo'obi' leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Tene' yaan ten meyaj biología ma' tan in k'íilkabi'	To'onen yaanto'on meyaj biología ma' tan k k'íilkabi'	PERSON:1_PL
Ba'ax máaxti' ken a ts'a'e' wa ti' nukuch máako'obe' booxtak	Ba'ax máaxti' ken a ts'a'e' wa ti' nukuch máako'obe' booxtak	NOCHANGE
Yaan wáaj a xook tu naajil xook teche' áak'ab wáaj ka bin merkaado	Yaan wáaj u xook tu naajil xook leti'e' áak'ab wáaj ku bin merkaado	PERSON:3_SI
Ba'ax ja'abil jsíijen ma' tin wilaj u sáastal tin kaajali'	Ba'ax ja'abil jsíije'ex ma' ta wile'ex u sáastal ta kaajale'exi'	PERSON:2_PL
Yaan in báaxal tu naajil báaxal tene' yaan ten meyaj biología	Yaan a báaxal tu naajil báaxal teche' yaan tech meyaj biología	PERSON:2_SI
Taasbil u beeta'alo'ob ka béeychajak u jaanalo'ob	Taasbil u beeta'alo'ob ka béeychajak u jaanalo'ob	NOCHANGE
Tumeen ma' chen waaji'	Tumeen ma' chen waaji'	NOCHANGE
Chen ba'axe' teen kin tukultik túun beyo' wa ya'ab máax ka u kan u meente'	Chen ba'axe' teen kin tukultik túun beyo' wa ya'ab máax ka u kan u meente'	NOCHANGE
Le ba'ax ku ya'alik ti' le chan nuuko' leetie'e' ka tu kaxtaj bin le e	Le ba'ax ku ya'alik ti' le chan nuuko' leetie'e' ka tu kaxtaj bin le e	NOCHANGE
Kin ts'íib tu naajil xook tene' kin báaxal paarkée	Ka ts'íib tu naajil xook teche' ka báaxal paarkée	PERSON:2_SI
Táan in bin koonol merkaado ki'imak in wóol in bin merkaado	Táan u bino'ob koonol merkaado ki'imak u yóolo'ob u bino'ob merkaado	PERSON:3_PL
Yaan wáaj in bin ich kool ta wilaj wáaj u sáastal ta kaajal	Yaan wáaj u bin ich kool tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Tene' ts'oka'an wáaj in beel kin ts'íib tu naajil xook	Teche' ts'oka'an wáaj a beel ka ts'íib tu naajil xook	PERSON:2_SI
Ka'abeje' yaan in bin merkaado k'aaynajen tu naajil xook	Ka'abeje' yaan u bino'ob koonol merkaado k'aaynajo'ob tu naajil xook	PERSON:3_PL
Chen ka tu yilo'ob bin u k'uchulo'ob ti' jump'éel áaktun tun beya' ku yikliko'ob jach beya'  ti' bin weekel u k'i'ik'el bin le	Chen ka tu yilo'ob bin u k'uchulo'ob ti' jump'éel áaktun tun beya' ku yikliko'ob jach beya'  ti' bin weekel u k'i'ik'el bin le	NOCHANGE
Ch'ujuk waaj	Ch'ujuk waaj	NOCHANGE
Ustako'obo' ti'al u ts'áaj te'ej yóok'ol le meesao' ti'al xan u payalchi'ita'al	Ustako'obo' ti'al u ts'áaj te'ej yóok'ol le meesao' ti'al xan u payalchi'ita'al	NOCHANGE
Tene' ajkoonolen ichil merkaado yaan wáaj a manik a najil	Leti'e' ajkoonol ichil merkaado yaan wáaj u manik u najil	PERSON:3_SI
Táan wáaj a boon tu naajil xook tene' yaan ten xook ti' español	Táan wáaj u boon tu naajil xook leti'e' yaan xook ti' español	PERSON:3_SI
Jaan ka tun bin	Jaan ka tun bin	NOCHANGE
Úuchik  ku u u u t'i'itkubáaj máak esteen beyo' pues tak e le le ba'alo'ob taasa'ab tumeen le e ee e	Úuchik  ku u u u t'i'itkubáaj máak esteen beyo' pues tak e le le ba'alo'ob taasa'ab tumeen le e ee e	NOCHANGE
Táan in meyaj ich kool k'aaynajen tu naajil xook	Táan a meyaje'ex ich kool k'aaynaje'ex tu naajil xook	PERSON:2_PL
Tene' ts'oka'an wáaj in beel ma' tin wu'uyik ooxoli'	Leti'obe' ts'oka'an wáaj u beelo'ob ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ts'o'okol túune'	Ts'o'okol túune'	NOCHANGE
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol ma' táan in bin koonol tu k'íiwikil koonol	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Esten ti'al u beenta'al le jaanal pixan ku ya'ala'alo'	Esten ti'al u beenta'al le jaanal pixan ku ya'ala'alo'	NOCHANGE
Chen ba'axe' bejla'ak túune' le ee	Chen ba'axe' bejla'ak túune' le ee	NOCHANGE
Ka bin bini ka ook te'el naj bino'	Ka bin bini ka ook te'el naj bino'	NOCHANGE
Ta wilaj wáaj u sáastal ta kaajal tene' kin báaxal paarkée	Ta wile'ex wáaj u sáastal ta kaajale'ex te'exe' ka báaxale'ex paarkée	PERSON:2_PL
Óok'otnajen tu naajil xook tene' kin báaxal paarkée	Óok'otnajo'on tu naajil xook to'one' k báaxal paarkée	PERSON:1_PL
Eeej che'a' te'ej tu'ux yaan le najo' ki bin bey tun le áak'ab bino' ka bin na'ako'obi'	Eeej che'a' te'ej tu'ux yaan le najo' ki bin bey tun le áak'ab bino' ka bin na'ako'obi'	NOCHANGE
Mix teen kajakbalen ta wotoch tene' kin bin paak'áal ich kool	Mix to'on kajakbalo'on ta wotoch to'one' kek bin paak'áal ich kool	PERSON:1_PL
De óoxyáal	De óoxyáal	NOCHANGE
A ki'iki' t'antik	A ki'iki' t'antik	NOCHANGE
Si le je'ela' in wa'ake' ma' chen k'aak'as ba'ali  ka bin ooko'ob bin  te'el ichilo'	Si le je'ela' in wa'ake' ma' chen k'aak'as ba'ali  ka bin ooko'ob bin  te'el ichilo'	NOCHANGE
K'aaynajen tu naajil xook táan in suut tu naajil xook	K'aaynajech tu naajil xook táan a suut tu naajil xook	PERSON:2_SI
Ma' wáaj ta bin merkaado ma' tin wu'uyik ooxoli'	Ma' wáaj tu bino'ob merkaado ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Táan wáaj a xook tu naajil xook tene' áak'ab kin bin merkaado	Táan wáaj k xook tu naajil xook to'one' áak'ab kek bin merkaado	PERSON:1_PL
Yaana kaxtik puro máak yaan u k'uchul tu'ux yaan máako'ob puuro káaltal wíiniko'ob	Yaana kaxtik puro máak yaan u k'uchul tu'ux yaan máako'ob puuro káaltal wíiniko'ob	NOCHANGE
Ka'abeje' yaan in bin merkaado mix teen kajakbalen ta wotoch	Ka'abeje' yaan a bine'ex koonol merkaado ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Tene' kin bin páak ich kool j-jaanen merkaado	Teche' ka bin páak ich kool j-jaanech merkaado	PERSON:2_SI
Láayli' xan	Láayli' xan	NOCHANGE
Ma' ts'oka'an in beeli' yaan wáaj a báaxal tu naajil báaxal	Ma' ts'oka'an u beelo'obi' yaan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Ch'a' jump'éel responsabilidad u kanáant le ba'ax ku ye'esa'al ti' tumeen u noolo'	Ch'a' jump'éel responsabilidad u kanáant le ba'ax ku ye'esa'al ti' tumeen u noolo'	NOCHANGE
Yóok'sal u béeytal u bisiko'ob	Yóok'sal u béeytal u bisiko'ob	NOCHANGE
Tin kaxtik a najil tene' áak'ab kin bin tu k'íiwikil koonol	Tan k kaxtik a najil to'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Su láaj meyajtiko'ob	Su láaj meyajtiko'ob	NOCHANGE
