Ma' táan u bino'ob koonol tu k'íiwikil koonol	Ma' táan a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Leti'obe' u k'aaba'obe'	Te'exe' a k'aaba'exe'	ASPECT:HAB;PERSON:2_PL
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Yaan a suute'ex xook tu naajil xook	Yaan u suuto'ob tu naajil xook	PERSON:3_PL
Le ba'ax ken u ya'alo'ob tech ken a beete' leeti' ken a beetej	Le ba'ax ken u ya'alo'ob tech ken a beete' leeti' ken a beetej	NOCHANGE
Ma' kajakbal tin wotochi'	Ma' kajakbalech tin wotochi'	PERSON:2_SI
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
To'one' ma' jbúulo'on wáaj	To'one' jbúulo'on wáaj	TYPE:AFF;SUBTYPE:INT
Jach wáaj k'a'abéet u bin merkaado	Jach wáaj k'a'abéet in bin merkaado	PERSON:1_SI
Táan a báaxale'ex báaxal tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Táan u meyajo'ob ich kool	Táan u meyaj tu kool	PERSON:3_SI
Wa chak ken u meente' pues ku	Wa chak ken u meente' pues ku	NOCHANGE
Ka'ana'an u taasik ya'abkach si' ku meentik le nuxi' jool te'ej yóok'ol	Ka'ana'an u taasik ya'abkach si' ku meentik le nuxi' jool te'ej yóok'ol	NOCHANGE
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Táan a suut tu naajil xook	Táan u suut tu naajil xook	PERSON:3_SI
Ma' ts'oka'an u beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Le chan paalo' tumeen ku ya'ala'ale' yaan ku taas taasbil u meenta'alo'ob	Le chan paalo' tumeen ku ya'ala'ale' yaan ku taas taasbil u meenta'alo'ob	NOCHANGE
U k'iinil le jaanal pixano' u ja'abl	U k'iinil le jaanal pixano' u ja'abl	NOCHANGE
To'one' k k'aaba'e'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Taak in suut koonol merkaado	Táant in suut koonol merkaadoe'	ASPECT:IMM;TENSE:PAS_SIM
Bix u cha'anil u kaajlo'ob bey tsikbalo'ob ku meyajtiko'obo'  bix u kajlo'ob bix u kuxtalo'ob	Bix u cha'anil u kaajlo'ob bey tsikbalo'ob ku meyajtiko'obo'  bix u kajlo'ob bix u kuxtalo'ob	NOCHANGE
To'one' áak'ab wáaj k bin tu k'íiwikil koonol	Leti'e' áak'ab wáaj ku bin tu k'íiwikil koonol	PERSON:3_SI
Káaj in bin koonol tu k'íiwikil koonol	Táant in bin koonol tu k'íiwikil koonole'	ASPECT:IMM
Láayli'  xan beyo' yaan u meenta'al jump'éel nuxi'	Láayli'  xan beyo' yaan u meenta'al jump'éel nuxi'	NOCHANGE
