K'iine' yaan ami' yaan k'iine' yaan ba'alo'obe' pues k'aa'an a tseliki'	K'iine' yaan ami' yaan k'iine' yaan ba'alo'obe' pues k'aa'an a tseliki'	NOCHANGE
Taal bin u chu'ukul tun bin le máako'	Taal bin u chu'ukul tun bin le máako'	NOCHANGE
Mejen paalalo'obe' táan u	Mejen paalalo'obe' táan u	NOCHANGE
Ka ts'áab u k'aaba' le kaajo' polinkin	Ka ts'áab u k'aaba' le kaajo' polinkin	NOCHANGE
Ch'ujuk je'ex u ch'ujukil le iis	Ch'ujuk je'ex u ch'ujukil le iis	NOCHANGE
Yéetel esten	Yéetel esten	NOCHANGE
Bejla'ake' maas leeti' ktakiko'on	Bejla'ake' maas leeti' ktakiko'on	NOCHANGE
Ku ts'aabal xa'an yóok'ole' ku ts'o'okole' ku mu'ukul	Ku ts'aabal xa'an yóok'ole' ku ts'o'okole' ku mu'ukul	NOCHANGE
Uk'ul le waajo'ob ken u biso' u u loolilo'ob u kibilo'ob	Uk'ul le waajo'ob ken u biso' u u loolilo'ob u kibilo'ob	NOCHANGE
Tumeen u ti'al mejen paalal tumeen le box kibo'obo' maas jach u ti'al le nukuch máako'obo'	Tumeen u ti'al mejen paalal tumeen le box kibo'obo' maas jach u ti'al le nukuch máako'obo'	NOCHANGE
U béeytal u takik tak u chi' ka	U béeytal u takik tak u chi' ka	NOCHANGE
Ma túun in woojel tu lákali' ba'ale' le kin wilik u meenta'alo' leeti' ken in wilik	Ma túun in woojel tu lákali' ba'ale' le kin wilik u meenta'alo' leeti' ken in wilik	NOCHANGE
U che'eile' yaan u bin ch'akbil	U che'eile' yaan u bin ch'akbil	NOCHANGE
Ku ya'alike'	Ku ya'alike'	NOCHANGE
Te'ej k'iino'ob bejla'aka' jach tu láakal ts'o'ok u láaj jelpajal	Te'ej k'iino'ob bejla'aka' jach tu láakal ts'o'ok u láaj jelpajal	NOCHANGE
Bey ya'abo'on' yaane'  táan u jáajan ja'atale' táan u cho'ik u táan yóok'sal  ma' xan	Bey ya'abo'on' yaane'  táan u jáajan ja'atale' táan u cho'ik u táan yóok'sal  ma' xan	NOCHANGE
Máan xan yaan maantekai' tumeen	Máan xan yaan maantekai' tumeen	NOCHANGE
Láayli' xan	Láayli' xan	NOCHANGE
Ts'o'okol túune yáax ba'ax ku meentik in natsile' leeti'e' ku téetik le  jach	Ts'o'okol túune yáax ba'ax ku meentik in natsile' leeti'e' ku téetik le  jach	NOCHANGE
Le ken sáasak beya' pues  le wíinko'ob eee	Le ken sáasak beya' pues  le wíinko'ob eee	NOCHANGE
Le buka'aj k'a'abéet wa nojoch wa chichan	Le buka'aj k'a'abéet wa nojoch wa chichan	NOCHANGE
Bey túuno' ee tak ka úuch túun le geerra de kaastaso' ku ya'alik in noole' ku ya'alik in in áabueelae'	Bey túuno' ee tak ka úuch túun le geerra de kaastaso' ku ya'alik in noole' ku ya'alik in in áabueelae'	NOCHANGE
Ee ba'axo'ob máax kun ts'áaik	Ee ba'axo'ob máax kun ts'áaik	NOCHANGE
Kux wa  ka sa'atakech  máax kun kanáantiklech- ki bin ti'	Kux wa  ka sa'atakech  máax kun kanáantiklech- ki bin ti'	NOCHANGE
U sáastale' teche' ts'o'ok a juch'ik a	U sáastale' teche' ts'o'ok a juch'ik a	NOCHANGE
Le ka ojéelya'an túun bey uchik u yaantal le jboob ku ya'ala'alo'	Le ka ojéelya'an túun bey uchik u yaantal le jboob ku ya'ala'alo'	NOCHANGE
Le píibo' ts'o'ok xan u jáabal u che'ile'	Le píibo' ts'o'ok xan u jáabal u che'ile'	NOCHANGE
Úuchben maayaso'ob te'ej maayaso'ob je'ex le yaan te'ej k'iinilo'oba'	Úuchben maayaso'ob te'ej maayaso'ob je'ex le yaan te'ej k'iinilo'oba'	NOCHANGE
Ti'al le ku ya'ala'al esten le muerteo' wa le máax bey u yet taal le	Ti'al le ku ya'ala'al esten le muerteo' wa le máax bey u yet taal le	NOCHANGE
Ka bin tu beeto'ob bin u chan naayo'ob tu k'ab bin le che'o'	Ka bin tu beeto'ob bin u chan naayo'ob tu k'ab bin le che'o'	NOCHANGE
Ku beeta'al ti'al u k'a'ajsa'al le le	Ku beeta'al ti'al u k'a'ajsa'al le le	NOCHANGE
Yaj uch a tséentik  ma bix a nojochkíinsik	Yaj uch a tséentik  ma bix a nojochkíinsik	NOCHANGE
Ma' utsi ts'o'olej tak u jo'olo'ob bejla'ake' láak wa'alakbal ku láak wa'akúunsiko'ob	Ma' utsi ts'o'olej tak u jo'olo'ob bejla'ake' láak wa'alakbal ku láak wa'akúunsiko'ob	NOCHANGE
Báalamo'ob wa ma' e' u apeyiidos  úuchben apeyiidos úuchben apeyiidos kanul	Báalamo'ob wa ma' e' u apeyiidos  úuchben apeyiidos úuchben apeyiidos kanul	NOCHANGE
Ts'o'okol túune'	Ts'o'okol túune'	NOCHANGE
Esten ti'al u beenta'al le jaanal pixan ku ya'ala'alo'	Esten ti'al u beenta'al le jaanal pixan ku ya'ala'alo'	NOCHANGE
Tu taaso'ob ba'alo'ob  xan túumben ba'alo'ob	Tu taaso'ob ba'alo'ob  xan túumben ba'alo'ob	NOCHANGE
A yáax beente le ets'kúunsajo'	A yáax beente le ets'kúunsajo'	NOCHANGE
Jaan chen ba'al bine' ka'a bin káaj u k'aj óolta'al le jboob ku ya'ala'alo'	Jaan chen ba'al bine' ka'a bin káaj u k'aj óolta'al le jboob ku ya'ala'alo'	NOCHANGE
Ku yiko'ob túune' ti' bin pekekbal le chan xnuk tun  bin beya' chilikbal bin	Ku yiko'ob túune' ti' bin pekekbal le chan xnuk tun  bin beya' chilikbal bin	NOCHANGE
Ti' bin jump'éel sajkabe' ti kajlaj tun bin le chan nuuk bino'	Ti' bin jump'éel sajkabe' ti kajlaj tun bin le chan nuuk bino'	NOCHANGE
Jaan ka tun bin	Jaan ka tun bin	NOCHANGE
Tak u aja le biix ku ya'ala'alo'	Tak u aja le biix ku ya'ala'alo'	NOCHANGE
Tumeen yaan k'iine' ma' in ti'alo'oni wa ma'e' yaan a  a bixij	Tumeen yaan k'iine' ma' in ti'alo'oni wa ma'e' yaan a  a bixij	NOCHANGE
Yaanlaj bin juntúul chan nojoch máak bine' bueeno juntúul chan nojoch ko'olej bin beyo'	Yaanlaj bin juntúul chan nojoch máak bine' bueeno juntúul chan nojoch ko'olej bin beyo'	NOCHANGE
Jach mix  ma' utsi'	Jach mix  ma' utsi'	NOCHANGE
Tene' bejla'ake' kin wilike' jach mina'an mix yéetel le kpaalalo'on	Tene' bejla'ake' kin wilike' jach mina'an mix yéetel le kpaalalo'on	NOCHANGE
U maama bino' tu jóok'saj bin te'el chan kajtalil bin tu'ux yano'obo'	U maama bino' tu jóok'saj bin te'el chan kajtalil bin tu'ux yano'obo'	NOCHANGE
Ku xa'ak'ta'al le juuch' yéetel le siklo'	Ku xa'ak'ta'al le juuch' yéetel le siklo'	NOCHANGE
Ka binij ka jo'op' u bin bin tu kuchaj u u chan nook ba'alo'ob beyo' jump'íit chan jaanal tu kaxtaj beyo'  tu kuchaj	Ka binij ka jo'op' u bin bin tu kuchaj u u chan nook ba'alo'ob beyo' jump'íit chan jaanal tu kaxtaj beyo'  tu kuchaj	NOCHANGE
