A wojel tu'ux u taal	Ma' a wojel tu'ux u taali'	TYPE:NEG;SUBTYPE:DEC
Ba'atelnajech te' tu kúuchil báaxalo'	Ba'atelnajo'ob te' tu kúuchil báaxalo'	PERSON:3_PL
Ba'atelnajech te' tu kúuchil báaxalo'	Ba'atelnaje'ex te' tu kúuchil báaxalo'	PERSON:2_PL
Ba'atelnajo'ob te' tu kúuchil báaxalo'	Ba'atelnajech te' tu kúuchil báaxalo'	PERSON:2_SI
Ba'atelnajo'ob te' tu kúuchil báaxalo'	Ba'atelnaje'ex te' tu kúuchil báaxalo'	PERSON:2_PL
Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ba'atelnajech te' tu kúuchil báaxalo'	PERSON:2_SI
Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ba'atelnajo'ob te' tu kúuchil báaxalo'	PERSON:3_PL
Ba'ax ja'abil jsíijij	Ba'ax ja'abil jsíije'ex	PERSON:2_PL
Ba'ax ja'abil jsíijij	Ba'ax ja'abil jsíijo'ob	PERSON:3_PL
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíijij	PERSON:3_SI
Ba'ax ja'abil jsíije'ex	Ba'ax ja'abil jsíijo'ob	PERSON:3_PL
Ba'ax ja'abil jsíijo'ob	Ba'ax ja'abil jsíijij	PERSON:3_SI
Ba'ax ja'abil jsíijo'ob	Ba'ax ja'abil jsíije'ex	PERSON:2_PL
J-jaano'on merkaado	J-jaane'ex merkaado	PERSON:2_PL
J-jaano'on merkaado	J-jaanech merkaado	PERSON:2_SI
J-jaane'ex merkaado	J-jaano'on merkaado	PERSON:1_PL
J-jaane'ex merkaado	J-jaanech merkaado	PERSON:2_SI
J-jaanech merkaado	J-jaano'on merkaado	PERSON:1_PL
J-jaanech merkaado	J-jaane'ex merkaado	PERSON:2_PL
Jach k'a'abéet in bin merkaado	Jach k'a'abéet u bin merkaado	PERSON:3_SI
Jach k'a'abéet in bin merkaado	Jach k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jach k'a'abéet in bin merkaado	Jach k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach k'a'abéet u bin merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
Jach k'a'abéet u bin merkaado	Jach k'a'abéet u bino'ob merkaado	PERSON:3_PL
Jach k'a'abéet u bin merkaado	Jach k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet u bin merkaado	PERSON:3_SI
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet a bine'ex merkaado	PERSON:2_PL
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet u bin merkaado	PERSON:3_SI
