Order;Bribri (Nasal as line);Training sentence;Spanish;Source;Dialect
1222;¡ajá!, mì̱ka̱ yeʼ bák alá tsítsi, kabë̀lala dawás tèröl, dawás kúl;ajá ! , mìxkã ye' bák alá tsítsi , kabèqlala dawás tèröl , dawás kúl;ajá ! cuando yo era un niño pequeño , un muchachito de seis , siete años;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1223;eʼ ta̱ ta̱î̱ íyiwak bák kièke̱, blëʼkë́këpa seʼ wös i kièke̱ pà;e' tã tãîx íyiwak bák kièkẽ , blë'kéqkëpa se' wös i kièkẽ pà;en esos tiempos había muchos animales llamados , los mayores nos decían que se llamaban lapa ,;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1224;pà mâ̱tk wö́kir mâ̱tk;pà mâxtk wóqkir mâxtk;lapa roja de cabeza roja;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1225;pà si̱ê̱ë, ése bák ta̱î̱, alárke̱ka̱: òëòë, seʼ tsítsi mí̱a̱ i wéblök ká̱rki̱;pà sĩêxë , ése bák tãîx , alárkẽkã : òëòë , se' tsítsi míxã i wéblök káxrkĩ;lapa muy azul , de esa clase había muchas , trinaban por todas partes: òëòë , nosotros pequeños íbamos a observarlas al bosque;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1226;ta̱ wé̱ i tulúrka̱, eʼ ta̱ kë̀ mó̱köl ta̱ʼ, kë̀ ì ta̱ʼ i wa sö i ujtèke̱;tã wéx i tulúrkã , e' tã kèq móxköl tã' , kèq ì tã' i wa sö i ujtèkẽ;donde estaban posadas arriba , entonces no había rifle , no había nada con que nosotros matarlas;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1227;kë̀ blëʼkëkëpa wa̱ mó̱köl ta̱ʼ, blëʼkëkëpa wa̱ i bák eʼ rö ská̱mo̱köl, eʼ rö dù tsítsi ujtó ie;kèq blë'këkëpa wã móxköl tã' , blë'këkëpa wã i bák e' rö skáxmõköl , e' rö dù tsítsi ujtó ie;los mayores no tenían rifle , los mayores lo que tenían era cerbatana , eso era para matar aves pequeñas;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1228;kë̀ i̱a̱ pà dawö́, pà, pà dör darë̂rë̂, pà rö;kèq ĩã pà dawóq , pà , pà dör darêqrêq , pà rö;con eso las lapas no mueren , las lapas , las lapas son duras , la lapas son;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1229;pà rö wö́kir bë̂rie, dalóie ¿wè̱s beʼr eʼ tèke̱?;pà rö wóqkir bêqrie , dalóie wèxs be'r e' tèkẽ ?;las lapas son de cabeza grande , dura como puede usted atraparlas ?;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1230;ta̱î̱ dùla bák, sàl bák ta̱î̱, wìm bak ta̱î̱;tãîx dùla bák , sàl bák tãîx , wìm bak tãîx;había mucha carnita , había mucho mono colorado , había mucho mono congo;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
1231;si̱ni̱ʼ bák pôë;sĩnĩ' bák pôë;había mucho chancho de monte;CorpusSofia B14h54m43s24oct2015.html Sobre la forma de vida de los bribris en el pasado;amubri
