Source	Target	Change
Ha’e ombojerekuri umi kutuhakuéra poro’o	Nde rembojerekuri umi kutuhakuéra tuicháva	PERSON:2_SI
Ha’e ombojerekuri umi kutuhakuéra poro’o	Ha’e ndombojereikuri umi kutuhakuéra tuicháva	TYPE:NEG
Ha’e ombojerekuri umi kutuhakuéra poro’o	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva	ASPECT:IPFV
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra ndombotyi kuri pende arete	TYPE:NEG
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra omboty kuri hína pende arete	ASPECT:IPFV
Mombe’ukuéra omboty kuri pende arete	Mombe’u omboty kuri pende arete	PERSON:3_SI
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra ombotyta pende arete	TENSE:FUT_SIM
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra ombotyva’ekue pende arete	TENSE:PAS_PLU
Mombe’ukuéra omboty kuri pende arete	Mombe’ukuéra omboty pende arete	TENSE:PRE_SIM
Peẽ napejapómi ogyke pokã	Ñande najajapómi ogyke pokã	PERSON:1_PL_INC
Peẽ napejapómi ogyke pokã	Ore norojapómi ogyke pokã	PERSON:1_PL_EXC
Peẽ napejapómi ogyke pokã	Peẽ napejapói kuri ogyke pokã	TENSE:PAS_REC
Peẽ napejapómi ogyke pokã	Peẽ napejapói ogyke pokã	TENSE:PRE_SIM
Peẽ napejapómi ogyke pokã	Peẽ pejapomi ogyke pokã	TYPE:AFF
Peẽ napejapómi ogyke pokã	Ha’ekuéra nojapómi ogyke pokã	PERSON:3_PL
Peẽ napejapómi ogyke pokã	Nde nderejapómi ogyke pokã	PERSON:2_SI
Ko po ojupi	Ko po ojupíta	TENSE:FUT_SIM
Ko po ojupi	Ko po ndojupíri	TYPE:NEG
Ko po ojupi	Ko po ojupíhina	ASPECT:IPFV
Ku mbói oñorairõ	Ku mbói oñorairõ hína	ASPECT:IPFV
Ku mbói oñorairõ	Ku mbói oñorairõ ikóni	ASPECT:INM
Ku mbói oñorairõ	Umi mbóikuera oñorairõ	PERSON:3_PL
Ku mbói oñorairõ	Ku mbói oñorairõmi	TENSE:PAS_IMP
Ku mbói oñorairõ	Ku mbói oñorairõta	TENSE:FUT_SIM
Ku mbói oñorairõ	Ku mbói noñorairõi	TYPE:NEG
Temirendukuéra omongakuaa	Temirendu omongakuaa	PERSON:3_SI
Temirendukuéra omongakuaa	Temirendukuéra omongakuaata	TENSE:FUT_SIM
Temirendukuéra omongakuaa	Temirendukuéra ndomongakuaai	TYPE:NEG
Temirendukuéra omongakuaa	Temirendukuéra omongakuaa hína	ASPECT:IPFV
Temirendukuéra omongakuaa	Temirendukuéra omongakuaami	TENSE:PAS_IMP
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ndombovúi	TENSE:PRE_SIM
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ombovuta	TYPE:AFF
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ndombovúi kuri	TENSE:PAS_REC
Pohanohára akãguapy ndombovuta	Pohanohárakuera akãguapy ndombovúita	PERSON:3_PL
Pohanohára akãguapy ndombovuta	Pohanohára akãguapy ndombovúiva’ekue	TENSE:PAS_PLU
Ha’e ombojára kuri mbovy apekuéra	Ha’e ndombojárai kuri mbovy apekuéra	TYPE:NEG
Ha’e ombojára kuri mbovy apekuéra	Nde rembojára kuri mbovy apekuéra	PERSON:2_SI
Ha’e ombojára kuri mbovy apekuéra	Che ambojára kuri mbovy apekuéra	PERSON:1_SI
Ha’e ombojára kuri mbovy apekuéra	Ha’e ombojárata mbovy apekuéra	TENSE:FUT_SIM
Ha’e ombojára kuri mbovy apekuéra	Ha’e ombojára kuri hína mbovy apekuéra	ASPECT:IPFV
Chéngo ndaikuaái upévape.	Chéngo aikuaá upévape.	TYPE:AFF
Chéngo ndaikuaái upévape.	Chéngo ndaikuaái kuri hina upévape.	TENSE:PAS_REC
