Tene' áak'ab kin bin merkaado	Tene' ma' áak'ab kin bin merkaadoi'	TYPE:NEG
Tene' áak'ab kin bin merkaado	Tene' wáaj áak'ab kin bin merkaado	SUBTYPE:INT
Ko'one'ex ich kool	Ko'ox ich kool	PERSON:1_PL
Táan a bine'ex ich kool	Ma' táan a bine'ex ich kooli'	TYPE:NEG
Táan a bine'ex ich kool	Táan wáaj a bine'ex ich kool	SUBTYPE:INT
Táan u bino'ob ich kool	Ma' táan u bino'ob ich kooli'	TYPE:NEG
Táan u bino'ob ich kool	Táan wáaj u bino'ob ich kool	SUBTYPE:INT
Ma' táan in bin ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Ma' táan in bin ich kooli'	Ma' táan u bin ich kooli'	PERSON:3_SI
Ma' táan in bin ich kooli'	Ma' táan u bino'ob ich kooli'	PERSON:3_PL
Ma' táan in bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' táan in bin ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol	PERSON:3_SI
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol	PERSON:3_PL
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Tin konaj in wotoch	Ta konaj a wotoch	PERSON:2_SI
Te' in taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Te' in taal tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te' in taal tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Te' in taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Te' in taal tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Ki'imak a wóol a bin tu k'íiwikil koonol	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol	SUBTYPE:INT
Teche' ma' jbúulech wáaj	Leti'e' ma' jbúul wáaj	PERSON:3_SI
Teche' ma' jbúulech wáaj	To'one' ma' jbúulo'on wáaj	PERSON:1_PL
Teche' ma' jbúulech wáaj	Te'exe' ma' jbúule'ex wáaj	PERSON:2_PL
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wilikech tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' ta wiliken tu k'íiwikil koonol	PERSON:2_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI
Ma' tin wu'uyik ooxoli'	Ma' ta wu'uyik ooxoli'	PERSON:2_SI
Ma' tin wu'uyik ooxoli'	Ma' tu yu'ubik ooxoli'	PERSON:3_SI
Ma' tin wu'uyik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Ma' tin wu'uyik ooxoli'	Ma' ta wu'uyike'ex ooxoli'	PERSON:2_PL
Ma' tin wu'uyik ooxoli'	Ma' tu yu'ubiko'ob ooxoli'	PERSON:3_PL
Jach k'a'abéet in bin merkaado	Ma' jach k'a'abéet in bin merkaadoi'	TYPE:NEG
Jach k'a'abéet in bin merkaado	Jach wáaj k'a'abéet in bin merkaado	SUBTYPE:INT
Táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'	TYPE:NEG
Táan u bin koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	SUBTYPE:INT
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Yaan wáaj in bin koonol tu k'íiwikil koonol	Yaan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Ma' tin wilikech merkaado	Ma' ta wiliken merkaado	PERSON:2_SI
Ma' ta wu'uyik ooxoli'	Ka wu'uyik wáaj ooxol	TYPE:AFF;SUBTYPE:INT
Ma' ta wu'uyik ooxoli'	Ma' ta wu'uyik  wáaj ooxoli'	SUBTYPE:INT
Tene' áak'ab kin bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	PERSON:2_SI
Tene' áak'ab kin bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Tene' áak'ab kin bin tu k'íiwikil koonol	To'one' áak'ab k bin tu k'íiwikil koonol	PERSON:1_PL
Tene' áak'ab kin bin tu k'íiwikil koonol	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol	PERSON:2_PL
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'	PERSON:3_SI
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'	PERSON:3_PL
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'	PERSON:2_PL
Tene' ajkoonolen	Leti'e' ajkoonol	PERSON:3_SI
Tene' ajkoonolen	Teche' ajkoonolech	PERSON:2_SI
Tene' ajkoonolen	To'one' ajkoonolo'on	PERSON:1_PL
Tene' ajkoonolen	Te'exe' ajkoonole'ex	PERSON:2_PL
Jach wáaj k'a'abéet in bin merkaado	Ma' wáaj jach k'a'abéet in bin merkaadoi'	TYPE:NEG
Mix teen kajakbalen ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix teen kajakbalen ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Mix teen kajakbalen ta wotoch	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Mix teen kajakbalen ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Mix teen kajakbalen ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Mix teen kajakbalen ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Ma' ta wu'uyike'ex ooxoli'	Te'exe' ka wu'uyike'ex wáaj ooxol	TYPE:AFF;SUBTYPE:INT
Ma' ta wu'uyike'ex ooxoli'	Ma' ta wu'uyike'ex wáaj ooxoli'	SUBTYPE:INT
Táan in bin koonol merkaado	Táan a bin koonol merkaado	PERSON:2_SI
Táan in bin koonol merkaado	Táan u bin koonol merkaado	PERSON:3_SI
Táan in bin koonol merkaado	Táan u bino'ob koonol merkaado	PERSON:3_PL
Táan in bin koonol merkaado	Táan a bine'ex koonol merkaado	PERSON:2_PL
Táan in bin koonol merkaado	Táan k bin koonol merkaado	PERSON:1_PL
