Source	Change	Target
Ye' shka'	TYPE:NEG	Kë̀ ye' shkàne̠
Ye' shka'	"MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Ye' shka'ku̠
Ye' shka'	"TYPE:NEG, MODE:DES, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' shka'ku̠
Ye' shka'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkar
Ye' shka'	"TYPE:NEG, TENSE:PRF_PROG, ABSNUM:PL, PERSON:1_PL_EXC"	Sa' kë̀ ku̠'bak shkö́k
Ye' shka'	ASPECT:INC	Ye' shka'mi̠
Ye' shka'	"TENSE:PRF_REC, ASPECT:INC"	Ye' shkémi̠
Ye' shka'	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' shkö̀
Ye' shka'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' shkö
Ye' shka'	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso shkö́k
Ye' shka'	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' kë̀ ku̠ shkö́k
Ye' shka'	TENSE:PRF_PROG	Ye' bák shkö́k
Ye' shka'	"TYPE:NEG, TENSE:PRF_PROG"	Ye' kë̀ ku̠'bak shkö́k
Ye' shka'	"MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Be' shkö́
Ye' shka'	"TYPE:NEG, MODE:IMP, TENSE:IPFV_REC, ASPECT:IPFV, PERSON:2_SI"	Kë̀ be' shkök
Ye' shka'	"MODE:EXH, TENSE:IPFV_REC, ASPECT:IPFV, ABSNUM:PL, PERSON:1_PL_INC"	Se' shkö̀
Ye' shka'	MODE:ADVERS	Ye' shka'
Ye' shka'	TENSE:PRF_REC	Ye' shké
Ye' shka'	"TYPE:NEG, TENSE:PRF_REC"	Ye' kë̀ shkàne̠
Ye' shka'	"TENSE:IPFV_HAB, ASPECT:IPFV"	Ye' shkö̀ke̠
Ye' shka'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV"	Kë̀ ye' shkö̀ku̠
Ye' shka'	"TENSE:FUT_POT, ASPECT:IPFV"	Ye' shkö̀mi̠
Ye' shka'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV"	Kë̀ ye' shkök
Ye' shka'	"TENSE:FUT_CER, ASPECT:IPFV"	Ye' shkö̀râ
Ye' shka'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV"	Kë̀ ye' shkö̀pa
Ye' shka'	"TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàr
Ye' shka'	"TYPE:NEG, TENSE:IPFV_REC, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkàr
Ye' shka'	"VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàne̠
Ye' shka'	"TYPE:NEG, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkàne̠
Ye' shka'	"TENSE:PRF_REC, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàna̠
Ye' shka'	"TYPE:NEG, TENSE:PRF_REC, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkàne̠
Ye' shka'	"TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàrke̠
Ye' shka'	"TYPE:NEG, TENSE:IPFV_HAB, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkàrku̠
Ye' shka'	"TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàrmi̠
Ye' shka'	"TYPE:NEG, TENSE:FUT_POT, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkànu̠k
Ye' shka'	"TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkàrdâ
Ye' shka'	"TYPE:NEG, TENSE:FUT_CER, ASPECT:IPFV, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkàrpa
Ye' shka'	"TENSE:PAS_PLU, VOICE:MID, ABSNUM:NI, PERSON:NA"	Shkárule
Ye' shka'	TENSE:PAS_PLU	Ye' shkárule
Ye' shka'	"TYPE:NEG, TENSE:PAS_PLU, VOICE:MID, ABSNUM:NI, PERSON:NA"	Kë̀ shkárule
Ye' shka'	"TYPE:NEG, TENSE:PAS_PLU"	Ye' kë̀ shkárule
Ye' shka'	"MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Ye' shkó
Ye' shka'	"TYPE:NEG, MODE:POT, TENSE:IPFV_REC, ASPECT:IPFV"	Kë̀ ye' shko
Ye' tö i sík	TYPE:NEG	Ye' kë̀ wa̠ i síne̠
Ye' tö i sík	"TENSE:IPFV_REC, ASPECT:IPFV"	Ye' tö i skè
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' tso i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:IPFV_PROG, ASPECT:IPFV"	Ye' kë̀ ku̠ i skö́k
Ye' tö i sík	TENSE:PRF_PROG	Ye' bák i skö́k
Ye' tö i sík	"TYPE:NEG, TENSE:PRF_PROG"	Ye' kë̀ ku̠'bak i skö́k
Ye' tö i sík	"TENSE:IPFV_PROG, ASPECT:IPFV, PERSON:2_SI"	Be' tso i skö́k
