Source	Change	Target
Ha’e ombojerekuri umi kutuhakuéra poro’o	PERSON:2_SI	Nde rembojerekuri umi kutuhakuéra tuicháva
Ha’e ombojerekuri umi kutuhakuéra poro’o	TYPE:NEG	Ha’e ndombojereikuri umi kutuhakuéra tuicháva
Ha’e ombojerekuri umi kutuhakuéra poro’o	ASPECT:IPFV	Ha’e ombojerehina kuri umi kutuhakuéra tuicháva
Mombe’ukuéra omboty kuri pende arete	TYPE:NEG	Mombe’ukuéra ndombotyi kuri pende arete
Mombe’ukuéra omboty kuri pende arete	ASPECT:IPFV	Mombe’ukuéra omboty kuri hína pende arete
Mombe’ukuéra omboty kuri pende arete	PERSON:3_SI	Mombe’u omboty kuri pende arete
Mombe’ukuéra omboty kuri pende arete	TENSE:FUT_SIM	Mombe’ukuéra ombotyta pende arete
Mombe’ukuéra omboty kuri pende arete	TENSE:PAS_PLU	Mombe’ukuéra ombotyva’ekue pende arete
Mombe’ukuéra omboty kuri pende arete	TENSE:PRE_SIM	Mombe’ukuéra omboty pende arete
Peẽ napejapómi ogyke pokã	PERSON:1_PL_INC	Ñande najajapómi ogyke pokã
Peẽ napejapómi ogyke pokã	PERSON:1_PL_EXC	Ore norojapómi ogyke pokã
Peẽ napejapómi ogyke pokã	TENSE:PAS_REC	Peẽ napejapói kuri ogyke pokã
Peẽ napejapómi ogyke pokã	TENSE:PRE_SIM	Peẽ napejapói ogyke pokã
Peẽ napejapómi ogyke pokã	TYPE:AFF	Peẽ pejapomi ogyke pokã
Peẽ napejapómi ogyke pokã	PERSON:3_PL	Ha’ekuéra nojapómi ogyke pokã
Peẽ napejapómi ogyke pokã	PERSON:2_SI	Nde nderejapómi ogyke pokã
Ko po ojupi	TENSE:FUT_SIM	Ko po ojupíta
Ko po ojupi	TYPE:NEG	Ko po ndojupíri
Ko po ojupi	ASPECT:IPFV	Ko po ojupíhina
Ku mbói oñorairõ	ASPECT:IPFV	Ku mbói oñorairõ hína
Ku mbói oñorairõ	ASPECT:INM	Ku mbói oñorairõ ikóni
Ku mbói oñorairõ	PERSON:3_PL	Umi mbóikuera oñorairõ
Ku mbói oñorairõ	TENSE:PAS_IMP	Ku mbói oñorairõmi
Ku mbói oñorairõ	TENSE:FUT_SIM	Ku mbói oñorairõta
Ku mbói oñorairõ	TYPE:NEG	Ku mbói noñorairõi
Temirendukuéra omongakuaa	PERSON:3_SI	Temirendu omongakuaa
Temirendukuéra omongakuaa	TENSE:FUT_SIM	Temirendukuéra omongakuaata
Temirendukuéra omongakuaa	TYPE:NEG	Temirendukuéra ndomongakuaai
Temirendukuéra omongakuaa	ASPECT:IPFV	Temirendukuéra omongakuaa hína
Temirendukuéra omongakuaa	TENSE:PAS_IMP	Temirendukuéra omongakuaami
Pohanohára akãguapy ndombovuta	TENSE:PRE_SIM	Pohanohára akãguapy ndombovúi
Pohanohára akãguapy ndombovuta	TYPE:AFF	Pohanohára akãguapy ombovuta
Pohanohára akãguapy ndombovuta	TENSE:PAS_REC	Pohanohára akãguapy ndombovúi kuri
Pohanohára akãguapy ndombovuta	PERSON:3_PL	Pohanohárakuera akãguapy ndombovúita
Pohanohára akãguapy ndombovuta	TENSE:PAS_PLU	Pohanohára akãguapy ndombovúiva’ekue
Ha’e ombojára kuri mbovy apekuéra	TYPE:NEG	Ha’e ndombojárai kuri mbovy apekuéra
Ha’e ombojára kuri mbovy apekuéra	PERSON:2_SI	Nde rembojára kuri mbovy apekuéra
Ha’e ombojára kuri mbovy apekuéra	PERSON:1_SI	Che ambojára kuri mbovy apekuéra
Ha’e ombojára kuri mbovy apekuéra	TENSE:FUT_SIM	Ha’e ombojárata mbovy apekuéra
Ha’e ombojára kuri mbovy apekuéra	ASPECT:IPFV	Ha’e ombojára kuri hína mbovy apekuéra
Chéngo ndaikuaái upévape.	TYPE:AFF	Chéngo aikuaá upévape.
Chéngo ndaikuaái upévape.	TENSE:PAS_REC	Chéngo ndaikuaái kuri hina upévape.
Chéngo ndaikuaái upévape.	PERSON:2_SI	Ndéngo ndereikuaái upévape.
Ha’ekuéra naiñemoñaréi kuri	TYPE:AFF	Ha’ekuéra oñemoñaréi kuri
Ha’ekuéra naiñemoñaréi kuri	TENSE:FUT_SIM	Ha’ekuéra naiñemoñaréita
Ha’ekuéra naiñemoñaréi kuri	PERSON:1_PL_INC	Ñande naiñañemoñaréi kuri
Ha’ekuéra naiñemoñaréi kuri	PERSON:1_PL_EXC	Ore nairoñemoñaréi kuri
Ha’ekuéra naiñemoñaréi kuri	PERSON:2_PL	Peë naipeñemoñaréi kuri
Ha’ekuéra naiñemoñaréi kuri	TENSE:PRE_SIM	Ha’ekuéra ndoñemoñaréi
Apurahéi kuri	TYPE:NEG	Ndapurahéi kuri
Apurahéi kuri	ASPECT:IPFV	Apurahéihina kuri
