Source	Change	Target
Tene' áak'ab kin bin merkaado	TYPE:NEG	Tene' ma' áak'ab kin bin merkaadoi'
Tene' áak'ab kin bin merkaado	SUBTYPE:INT	Tene' wáaj áak'ab kin bin merkaado
Ko'one'ex ich kool	PERSON:1_PL	Ko'ox ich kool
Táan a bine'ex ich kool	TYPE:NEG	Ma' táan a bine'ex ich kooli'
Táan a bine'ex ich kool	SUBTYPE:INT	Táan wáaj a bine'ex ich kool
Táan u bino'ob ich kool	TYPE:NEG	Ma' táan u bino'ob ich kooli'
Táan u bino'ob ich kool	SUBTYPE:INT	Táan wáaj u bino'ob ich kool
Ma' táan in bin ich kooli'	PERSON:2_SI	Ma' táan a bin ich kooli'
Ma' táan in bin ich kooli'	PERSON:3_SI	Ma' táan u bin ich kooli'
Ma' táan in bin ich kooli'	PERSON:3_PL	Ma' táan u bino'ob ich kooli'
Ma' táan in bin ich kooli'	PERSON:2_PL	Ma' táan a bine'ex ich kooli'
Ma' táan in bin ich kooli'	PERSON:1_PL	Ma' táan ek bin ich kooli'
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_SI	Jayp'éel k'iino'ob ku bin tu k'íiwikil koonol
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:3_PL	jayp'éel k'iino'ob ku bino'ob tu k'íiwikil koonol
Jaypéel k'iino'ob ka bin tu k'íiwikil koonol	PERSON:2_PL	Jayp'éel k'iino'ob ka bine'ex tu k'íiwikil koonol
Tin konaj in wotoch	PERSON:2_SI	Ta konaj a wotoch
Te' in taal tu kaajil Kopomae'	PERSON:2_SI	Te' a taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:3_SI	Te' u taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:1_PL	Te' k taal tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:2_PL	Te' a taale'ex tu kaajil Kopomae'
Te' in taal tu kaajil Kopomae'	PERSON:3_PL	Te' u taalo'ob tu kaajil Kopomae'
Ki'imak a wóol a bin tu k'íiwikil koonol	SUBTYPE:INT	Ki'imak wáaj a wóol a bin tu k'íiwikil koonol
Teche' ma' jbúulech wáaj	PERSON:3_SI	Leti'e' ma' jbúul wáaj
Teche' ma' jbúulech wáaj	PERSON:1_PL	To'one' ma' jbúulo'on wáaj
Teche' ma' jbúulech wáaj	PERSON:2_PL	Te'exe' ma' jbúule'ex wáaj
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilikech tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:2_SI	Ma' ta wiliken tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wiliko'ob tu k'íiwikil koonol
Ma' tin wilike'ex tu k'íiwikil koonol	PERSON:1_SI	Ma' tin wilike'ex tu k'íiwikil koonol
Ma' tin wu'uyik ooxoli'	PERSON:2_SI	Ma' ta wu'uyik ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_SI	Ma' tu yu'ubik ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:2_PL	Ma' ta wu'uyike'ex ooxoli'
Ma' tin wu'uyik ooxoli'	PERSON:3_PL	Ma' tu yu'ubiko'ob ooxoli'
Jach k'a'abéet in bin merkaado	TYPE:NEG	Ma' jach k'a'abéet in bin merkaadoi'
Jach k'a'abéet in bin merkaado	SUBTYPE:INT	Jach wáaj k'a'abéet in bin merkaado
Táan u bin koonol tu k'íiwikil koonol	TYPE:NEG	Leti'e' ma' táan u bin koonol tu k'íiwikil koonoli'
Táan u bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_SI	Yaan wáaj a bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_SI	Yaan wáaj u bin koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:3_PL	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:2_PL	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol
Yaan wáaj in bin koonol tu k'íiwikil koonol	PERSON:1_PL	Yaan wáaj k bin koonol tu k'íiwikil koonol
Ma' tin wilikech merkaado	PERSON:2_SI	Ma' ta wiliken merkaado
Ma' ta wu'uyik ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Ka wu'uyik wáaj ooxol
Ma' ta wu'uyik ooxoli'	SUBTYPE:INT	Ma' ta wu'uyik  wáaj ooxoli'
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_SI	Teche' áak'ab ka bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:3_SI	Leti'e' áak'ab ku bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:1_PL	To'one' áak'ab k bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	PERSON:2_PL	Te'exe' áak'ab ka bine'ex tu k'íiwikil koonol
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet wáaj u bin tu k'íiwikil koonoli'
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonoli'
Ma' k'a'abéet wáaj in bin tu k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet wáaj a bine'ex k'íiwikil koonoli'
Tene' ajkoonolen	PERSON:3_SI	Leti'e' ajkoonol
Tene' ajkoonolen	PERSON:2_SI	Teche' ajkoonolech
Tene' ajkoonolen	PERSON:1_PL	To'one' ajkoonolo'on
Tene' ajkoonolen	PERSON:2_PL	Te'exe' ajkoonole'ex
Jach wáaj k'a'abéet in bin merkaado	TYPE:NEG	Ma' wáaj jach k'a'abéet in bin merkaadoi'
Mix teen kajakbalen ta wotoch	PERSON:2_PL	Ma' kajakbale'ex tin wotochi'
Mix teen kajakbalen ta wotoch	PERSON:2_SI	Mix teech kajakbalech ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:3_SI	Mix leti' kajakbal ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:1_PL	Mix to'on kajakbalo'on ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:2_PL	Mix te'ex kajakbale'ex ta wotoch
Mix teen kajakbalen ta wotoch	PERSON:3_PL	Mix leti'ob kajakbalo'ob ta wotoch
Ma' ta wu'uyike'ex ooxoli'	"TYPE:AFF, SUBTYPE:INT"	Te'exe' ka wu'uyike'ex wáaj ooxol
Ma' ta wu'uyike'ex ooxoli'	SUBTYPE:INT	Ma' ta wu'uyike'ex wáaj ooxoli'
Táan in bin koonol merkaado	PERSON:2_SI	Táan a bin koonol merkaado
Táan in bin koonol merkaado	PERSON:3_SI	Táan u bin koonol merkaado
Táan in bin koonol merkaado	PERSON:3_PL	Táan u bino'ob koonol merkaado
Táan in bin koonol merkaado	PERSON:2_PL	Táan a bine'ex koonol merkaado
Táan in bin koonol merkaado	PERSON:1_PL	Táan k bin koonol merkaado
Táan u bin tu kool	TYPE:NEG	Ma' táan u bin ich kooli'
Táan u bin tu kool	SUBTYPE:INT	Táan wáaj u bin ich kool
Táan a báaxale'ex báaxal tu naajil báaxal	SUBTYPE:INT	Táan wáaj a xooke'ex xook tu naajil xook
Ma' tin wilaj u sáastal tin kaajali'	PERSON:2_SI	Ma' ta wilaj u sáastal ta kaajali'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:3_SI	Ma' tu yilaj u sáastal tu kaajali'
Ma' tin wilaj u sáastal tin kaajali'	PERSON:1_PL	Ma' tak ilaj u sáastal k kaajali'
